Group,Attribute,Year,QuestionNo,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Gender,Male gender,2013,sex_1 / popn,0.49547207,6.27454E-07,0.495472064,0.495472077,1171,Percentage of population,Percentage of total population,QC,
Gender,Male gender,2013,sex_1 / popn,0.489969926,2.67006E-06,0.4899699,0.489969952,1320,Percentage of population,Percentage of total population,ON,
Gender,Male gender,2013,sex_1 / popn,0.497790702,1.58601E-06,0.497790687,0.497790718,983,Percentage of population,Percentage of total population,PR,
Gender,Male gender,2013,sex_1 / popn,0.509677808,3.85097E-06,0.509677769,0.509677846,469,Percentage of population,Percentage of total population,AB,
Gender,Male gender,2013,sex_1 / popn,0.492812643,2.02187E-06,0.492812624,0.492812663,805,Percentage of population,Percentage of total population,BC,
Gender,Female gender,2013,sex_2 / popn,0.505975358,1.48748E-06,0.505975343,0.505975373,8279,Percentage of population,Percentage of total population,CA,
Gender,Female gender,2013,sex_2 / popn,0.514690558,3.9531E-06,0.514690518,0.514690598,2314,Percentage of population,Percentage of total population,AT,
Gender,Female gender,2013,sex_2 / popn,0.50452793,6.16192E-07,0.504527923,0.504527936,1464,Percentage of population,Percentage of total population,QC,
Gender,Female gender,2013,sex_2 / popn,0.510030074,3.2782E-06,0.510030041,0.510030107,1716,Percentage of population,Percentage of total population,ON,
Gender,Female gender,2013,sex_2 / popn,0.502209298,1.57206E-06,0.502209282,0.502209313,1203,Percentage of population,Percentage of total population,PR,
Gender,Female gender,2013,sex_2 / popn,0.490322192,2.07513E-06,0.490322172,0.490322212,569,Percentage of population,Percentage of total population,AB,
Gender,Female gender,2013,sex_2 / popn,0.507187357,1.96457E-06,0.507187337,0.507187376,1013,Percentage of population,Percentage of total population,BC,
Education,Less than High School,2013,dh1ged_1 / popn,0.126745903,2.714351512,0.119986587,0.13350522,1884,Percentage of population,Percentage of total population,CA,
Education,Less than High School,2013,dh1ged_1 / popn,0.197269938,3.98489443,0.181825202,0.212714673,697,Percentage of population,Percentage of total population,AT,
Education,Less than High School,2013,dh1ged_1 / popn,0.134734195,5.59283845,0.119929044,0.149539346,318,Percentage of population,Percentage of total population,QC,
Education,Less than High School,2013,dh1ged_1 / popn,0.107563305,5.973600512,0.094939128,0.120187481,279,Percentage of population,Percentage of total population,ON,
Education,Less than High School,2013,dh1ged_1 / popn,0.173547311,5.765286102,0.153889213,0.193205409,329,Percentage of population,Percentage of total population,PR,
Education,Less than High School,2013,dh1ged_1 / popn,0.109213828,10.11777749,0.087503544,0.130924111,93,Percentage of population,Percentage of total population,AB,
Education,Less than High School,2013,dh1ged_1 / popn,0.123949293,9.06118357,0.101882881,0.146015706,168,Percentage of population,Percentage of total population,BC,
Education,Graduated from High School,2013,dh1ged_2 / popn,0.303013529,1.886059004,0.291785073,0.314241985,3742,Percentage of population,Percentage of total population,CA,
Education,Graduated from High School,2013,dh1ged_2 / popn,0.291906033,3.478034482,0.271958936,0.31185313,984,Percentage of population,Percentage of total population,AT,
Education,Graduated from High School,2013,dh1ged_2 / popn,0.266305444,4.179330042,0.244438431,0.288172456,588,Percentage of population,Percentage of total population,QC,
Education,Graduated from High School,2013,dh1ged_2 / popn,0.321847299,3.358885385,0.300607627,0.34308697,790,Percentage of population,Percentage of total population,ON,
Education,Graduated from High School,2013,dh1ged_2 / popn,0.328951696,3.954603481,0.303393051,0.35451034,634,Percentage of population,Percentage of total population,PR,
Education,Graduated from High School,2013,dh1ged_2 / popn,0.320874321,5.632942772,0.285362492,0.35638615,281,Percentage of population,Percentage of total population,AB,
Education,Graduated from High School,2013,dh1ged_2 / popn,0.289834261,5.168692201,0.260401355,0.319267166,465,Percentage of population,Percentage of total population,BC,
Education,Post-secondary diploma,2013,dh1ged_3 / popn,0.315196218,1.79766805,0.304063704,0.326328731,4431,Percentage of population,Percentage of total population,CA,
Education,Post-secondary diploma,2013,dh1ged_3 / popn,0.299815712,3.228352312,0.280798885,0.318832539,1180,Percentage of population,Percentage of total population,AT,
Education,Post-secondary diploma,2013,dh1ged_3 / popn,0.351238923,3.144493056,0.329539108,0.372938737,844,Percentage of population,Percentage of total population,QC,
Education,Post-secondary diploma,2013,dh1ged_3 / popn,0.299063154,3.624470067,0.277766559,0.320359749,872,Percentage of population,Percentage of total population,ON,
Education,Post-secondary diploma,2013,dh1ged_3 / popn,0.296205526,3.876017216,0.273648513,0.31876254,658,Percentage of population,Percentage of total population,PR,
Education,Post-secondary diploma,2013,dh1ged_3 / popn,0.337753436,5.051264307,0.304233544,0.371273328,334,Percentage of population,Percentage of total population,AB,
Education,Post-secondary diploma,2013,dh1ged_3 / popn,0.298174209,4.613469133,0.271147047,0.32520137,543,Percentage of population,Percentage of total population,BC,
Education,University Diploma,2013,dh1ged_4 / popn,0.25504435,2.042308204,0.244810484,0.265278216,3757,Percentage of population,Percentage of total population,CA,
Education,University Diploma,2013,dh1ged_4 / popn,0.211008317,3.682957439,0.195739724,0.22627691,894,Percentage of population,Percentage of total population,AT,
Education,University Diploma,2013,dh1ged_4 / popn,0.247721438,4.072728694,0.22789924,0.267543637,716,Percentage of population,Percentage of total population,QC,
Education,University Diploma,2013,dh1ged_4 / popn,0.271526242,3.370392464,0.253546021,0.289506463,921,Percentage of population,Percentage of total population,ON,
Education,University Diploma,2013,dh1ged_4 / popn,0.201295467,4.640987367,0.182940774,0.21965016,461,Percentage of population,Percentage of total population,PR,
Education,University Diploma,2013,dh1ged_4 / popn,0.232158415,6.403449969,0.202950457,0.261366373,257,Percentage of population,Percentage of total population,AB,
Education,University Diploma,2013,dh1ged_4 / popn,0.288042237,4.540898218,0.262344157,0.313740318,508,Percentage of population,Percentage of total population,BC,
Marital status,Married/common-law,2013,marstat2_1 / popn,0.616518618,0.765675763,0.607244047,0.625793189,8367,Percentage of population,Percentage of total population,CA,
Marital status,Married/common-law,2013,marstat2_1 / popn,0.640342308,1.239466131,0.624748593,0.655936023,2320,Percentage of population,Percentage of total population,AT,
Marital status,Married/common-law,2013,marstat2_1 / popn,0.613535376,1.553642912,0.594807283,0.632263469,1422,Percentage of population,Percentage of total population,QC,
Marital status,Married/common-law,2013,marstat2_1 / popn,0.603175336,1.44072757,0.586101614,0.620249057,1741,Percentage of population,Percentage of total population,ON,
Marital status,Married/common-law,2013,marstat2_1 / popn,0.601598761,1.59497893,0.582746448,0.620451073,1203,Percentage of population,Percentage of total population,PR,
Marital status,Married/common-law,2013,marstat2_1 / popn,0.638148998,2.218061837,0.610339158,0.665958837,622,Percentage of population,Percentage of total population,AB,
Marital status,Married/common-law,2013,marstat2_1 / popn,0.637321352,1.736912304,0.615572362,0.659070343,1059,Percentage of population,Percentage of total population,BC,
Marital status,Separated/divorced,2013,marstat2_2 / popn,0.065833694,3.665190067,0.06109294,0.070574449,1720,Percentage of population,Percentage of total population,CA,
Marital status,Separated/divorced,2013,marstat2_2 / popn,0.061342686,6.210878654,0.053857224,0.068828147,456,Percentage of population,Percentage of total population,AT,
Marital status,Separated/divorced,2013,marstat2_2 / popn,0.070954854,6.323537241,0.062139395,0.079770313,340,Percentage of population,Percentage of total population,QC,
Marital status,Separated/divorced,2013,marstat2_2 / popn,0.071099669,7.090338207,0.061195062,0.081004277,359,Percentage of population,Percentage of total population,ON,
Marital status,Separated/divorced,2013,marstat2_2 / popn,0.058895987,7.98471485,0.0496565,0.068135474,254,Percentage of population,Percentage of total population,PR,
Marital status,Separated/divorced,2013,marstat2_2 / popn,0.056607336,11.64479027,0.043656222,0.06955845,103,Percentage of population,Percentage of total population,AB,
Marital status,Separated/divorced,2013,marstat2_2 / popn,0.055180402,8.652220925,0.045800135,0.064560669,208,Percentage of population,Percentage of total population,BC,
Marital status,Widowed,2013,marstat2_3 / popn,0.046163202,3.443356853,0.043040139,0.049286265,1414,Percentage of population,Percentage of total population,CA,
Marital status,Widowed,2013,marstat2_3 / popn,0.057137322,5.221619765,0.051275564,0.06299908,462,Percentage of population,Percentage of total population,AT,
Marital status,Widowed,2013,marstat2_3 / popn,0.05003298,7.033617892,0.043118844,0.056947115,200,Percentage of population,Percentage of total population,QC,
Marital status,Widowed,2013,marstat2_3 / popn,0.046303132,6.484564772,0.040403921,0.052202344,263,Percentage of population,Percentage of total population,ON,
Marital status,Widowed,2013,marstat2_3 / popn,0.049354962,7.095690504,0.042474332,0.056235593,242,Percentage of population,Percentage of total population,PR,
Marital status,Widowed,2013,marstat2_3 / popn,0.034681519,11.14850625,0.027084949,0.042278088,78,Percentage of population,Percentage of total population,AB,
Marital status,Widowed,2013,marstat2_3 / popn,0.041576237,8.666665584,0.034496779,0.048655694,169,Percentage of population,Percentage of total population,BC,
Marital status,"Single, never married",2013,marstat2_4 / popn,0.271484485,1.399580651,0.264019212,0.278949758,3206,Percentage of population,Percentage of total population,CA,
Marital status,"Single, never married",2013,marstat2_4 / popn,0.241177684,2.812018859,0.227852964,0.254502404,761,Percentage of population,Percentage of total population,AT,
Marital status,"Single, never married",2013,marstat2_4 / popn,0.26547679,2.946007191,0.25011071,0.280842871,671,Percentage of population,Percentage of total population,QC,
Marital status,"Single, never married",2013,marstat2_4 / popn,0.279421863,2.408079256,0.266201788,0.292641937,672,Percentage of population,Percentage of total population,ON,
Marital status,"Single, never married",2013,marstat2_4 / popn,0.290150289,3.012598264,0.272976467,0.307324112,487,Percentage of population,Percentage of total population,PR,
Marital status,"Single, never married",2013,marstat2_4 / popn,0.270562148,4.67025675,0.245735931,0.295388364,235,Percentage of population,Percentage of total population,AB,
Marital status,"Single, never married",2013,marstat2_4 / popn,0.265922009,3.57874269,0.247224339,0.28461968,380,Percentage of population,Percentage of total population,BC,
Labour force status,Employed,2013,dlfs_1 / popn,0.61896845,0.8556987,0.608562251,0.629374649,7948,Percentage of population,Percentage of total population,CA,
Labour force status,Employed,2013,dlfs_1 / popn,0.565640326,1.528391832,0.548654846,0.582625805,1974,Percentage of population,Percentage of total population,AT,
Labour force status,Employed,2013,dlfs_1 / popn,0.613036567,1.602291677,0.593737749,0.632335384,1478,Percentage of population,Percentage of total population,QC,
Labour force status,Employed,2013,dlfs_1 / popn,0.615841187,1.680344707,0.595509667,0.636172708,1687,Percentage of population,Percentage of total population,ON,
Labour force status,Employed,2013,dlfs_1 / popn,0.648583996,1.694490792,0.626991235,0.670176758,1223,Percentage of population,Percentage of total population,PR,
Labour force status,Employed,2013,dlfs_1 / popn,0.703264275,2.243848514,0.672260482,0.734268068,653,Percentage of population,Percentage of total population,AB,
Labour force status,Employed,2013,dlfs_1 / popn,0.581108679,2.421658361,0.55346009,0.608757268,933,Percentage of population,Percentage of total population,BC,
Labour force status,Unemployed,2013,dlfs_2 / popn,0.040010395,6.613579893,0.034811486,0.045209304,481,Percentage of population,Percentage of total population,CA,
Labour force status,Unemployed,2013,dlfs_2 / popn,0.055297832,9.947640544,0.04449019,0.066105473,173,Percentage of population,Percentage of total population,AT,
Labour force status,Unemployed,2013,dlfs_2 / popn,0.038274482,13.05607412,0.028456445,0.04809252,84,Percentage of population,Percentage of total population,QC,
Labour force status,Unemployed,2013,dlfs_2 / popn,0.042266581,12.1459853,0.032180264,0.052352898,96,Percentage of population,Percentage of total population,ON,
Labour force status,Unemployed,2013,dlfs_2 / popn,0.030385278,16.46218955,0.02055754,0.040213015,53,Percentage of population,Percentage of total population,PR,
Labour force status,Unemployed,2013,dlfs_2 / popn,0.029122701,23.98882463,0.015396721,0.042848682,24,Percentage of population,Percentage of total population,AB,…
Labour force status,Unemployed,2013,dlfs_2 / popn,0.042446359,18.77212033,0.026791235,0.058101484,51,Percentage of population,Percentage of total population,BC,*
Labour force status,Not in labour force,2013,dlfs_3 / popn,0.341021155,1.415132397,0.331539566,0.350502744,5456,Percentage of population,Percentage of total population,CA,
Labour force status,Not in labour force,2013,dlfs_3 / popn,0.379061842,2.182564452,0.362807108,0.395316577,1629,Percentage of population,Percentage of total population,AT,
Labour force status,Not in labour force,2013,dlfs_3 / popn,0.348688951,2.542144733,0.33127324,0.366104662,923,Percentage of population,Percentage of total population,QC,
Labour force status,Not in labour force,2013,dlfs_3 / popn,0.341892231,2.778958986,0.323225249,0.360559214,1087,Percentage of population,Percentage of total population,ON,
Labour force status,Not in labour force,2013,dlfs_3 / popn,0.321030726,3.337108858,0.299982296,0.342079157,814,Percentage of population,Percentage of total population,PR,
Labour force status,Not in labour force,2013,dlfs_3 / popn,0.267613024,5.34016325,0.23953513,0.295690917,292,Percentage of population,Percentage of total population,AB,
Labour force status,Not in labour force,2013,dlfs_3 / popn,0.376444962,3.710230147,0.349003636,0.403886287,711,Percentage of population,Percentage of total population,BC,
Personal income category,"Less than $20,000",2013,incg1_1 / popn,0.355120725,1.029620892,0.347936894,0.362304556,4038,Percentage of population,Percentage of total population,CA,
Personal income category,"Less than $20,000",2013,incg1_1 / popn,0.365686264,1.438505887,0.355350966,0.376021563,1214,Percentage of population,Percentage of total population,AT,
Personal income category,"Less than $20,000",2013,incg1_1 / popn,0.348626737,2.111929053,0.334160927,0.363092547,725,Percentage of population,Percentage of total population,QC,
Personal income category,"Less than $20,000",2013,incg1_1 / popn,0.367204261,1.841828948,0.353916257,0.380492265,826,Percentage of population,Percentage of total population,ON,
Personal income category,"Less than $20,000",2013,incg1_1 / popn,0.333787355,2.220053578,0.319228203,0.348346506,557,Percentage of population,Percentage of total population,PR,
Personal income category,"Less than $20,000",2013,incg1_1 / popn,0.290325965,3.042249621,0.27297261,0.307679321,232,Percentage of population,Percentage of total population,AB,
Personal income category,"Less than $20,000",2013,incg1_1 / popn,0.390063215,2.409129397,0.371600402,0.408526028,484,Percentage of population,Percentage of total population,BC,
Personal income category,"$20,000 to $39,999",2013,incg1_2 / popn,0.270605553,1.025503302,0.265153293,0.276057812,4050,Percentage of population,Percentage of total population,CA,
Personal income category,"$20,000 to $39,999",2013,incg1_2 / popn,0.30966499,1.477585281,0.300675245,0.318654736,1203,Percentage of population,Percentage of total population,AT,
Personal income category,"$20,000 to $39,999",2013,incg1_2 / popn,0.310124373,2.082407837,0.297436044,0.322812702,760,Percentage of population,Percentage of total population,QC,
Personal income category,"$20,000 to $39,999",2013,incg1_2 / popn,0.249463722,2.121342594,0.239066413,0.259861031,706,Percentage of population,Percentage of total population,ON,
Personal income category,"$20,000 to $39,999",2013,incg1_2 / popn,0.277176292,2.078197439,0.265858919,0.288493665,630,Percentage of population,Percentage of total population,PR,
Personal income category,"$20,000 to $39,999",2013,incg1_2 / popn,0.239384423,2.95972567,0.225464075,0.253304771,232,Percentage of population,Percentage of total population,AB,
Personal income category,"$20,000 to $39,999",2013,incg1_2 / popn,0.266614654,2.835230826,0.251762988,0.28146632,519,Percentage of population,Percentage of total population,BC,
Personal income category,"$40,000 to $59,999",2013,incg1_3 / popn,0.175204229,1.025480375,0.171674229,0.178734229,2948,Percentage of population,Percentage of total population,CA,
Personal income category,"$40,000 to $59,999",2013,incg1_3 / popn,0.159716579,2.133699686,0.153021033,0.166412126,803,Percentage of population,Percentage of total population,AT,
Personal income category,"$40,000 to $59,999",2013,incg1_3 / popn,0.187706174,1.947487333,0.180523999,0.194888348,582,Percentage of population,Percentage of total population,QC,
Personal income category,"$40,000 to $59,999",2013,incg1_3 / popn,0.174105351,1.897488473,0.167614614,0.180596088,596,Percentage of population,Percentage of total population,ON,
Personal income category,"$40,000 to $59,999",2013,incg1_3 / popn,0.185027746,2.429837366,0.176194572,0.193860921,449,Percentage of population,Percentage of total population,PR,
Personal income category,"$40,000 to $59,999",2013,incg1_3 / popn,0.183004796,3.278088783,0.171218267,0.194791325,187,Percentage of population,Percentage of total population,AB,
Personal income category,"$40,000 to $59,999",2013,incg1_3 / popn,0.153534817,2.84069348,0.144965741,0.162103893,331,Percentage of population,Percentage of total population,BC,
Personal income category,"$60,000 to $79,999",2013,incg1_4 / popn,0.082774484,3.061958978,0.077794837,0.087754131,1633,Percentage of population,Percentage of total population,CA,
Personal income category,"$60,000 to $79,999",2013,incg1_4 / popn,0.080383442,5.112304429,0.072309492,0.088457392,393,Percentage of population,Percentage of total population,AT,
Personal income category,"$60,000 to $79,999",2013,incg1_4 / popn,0.075691049,6.007313823,0.066757427,0.084624672,289,Percentage of population,Percentage of total population,QC,
Personal income category,"$60,000 to $79,999",2013,incg1_4 / popn,0.08646542,5.090230346,0.077818078,0.095112762,365,Percentage of population,Percentage of total population,ON,
Personal income category,"$60,000 to $79,999",2013,incg1_4 / popn,0.093954946,6.211780002,0.082488246,0.105421646,265,Percentage of population,Percentage of total population,PR,
Personal income category,"$60,000 to $79,999",2013,incg1_4 / popn,0.091732171,9.152019514,0.075237588,0.108226754,132,Percentage of population,Percentage of total population,AB,
Personal income category,"$60,000 to $79,999",2013,incg1_4 / popn,0.072714756,7.709899033,0.061700023,0.083729489,189,Percentage of population,Percentage of total population,BC,
Personal income category,"$80,000 to $99,999",2013,incg1_5 / popn,0.048439771,3.939040942,0.044690944,0.052188597,916,Percentage of population,Percentage of total population,CA,
Personal income category,"$80,000 to $99,999",2013,incg1_5 / popn,0.039436918,8.329304466,0.032983134,0.045890703,190,Percentage of population,Percentage of total population,AT,
Personal income category,"$80,000 to $99,999",2013,incg1_5 / popn,0.036317683,9.43448065,0.029585764,0.043049602,136,Percentage of population,Percentage of total population,QC,
Personal income category,"$80,000 to $99,999",2013,incg1_5 / popn,0.050612545,6.614031303,0.044035555,0.057189534,238,Percentage of population,Percentage of total population,ON,
Personal income category,"$80,000 to $99,999",2013,incg1_5 / popn,0.046218733,9.552449089,0.037544411,0.054893054,121,Percentage of population,Percentage of total population,PR,
Personal income category,"$80,000 to $99,999",2013,incg1_5 / popn,0.069040719,11.05687617,0.054042472,0.084038966,95,Percentage of population,Percentage of total population,AB,
Personal income category,"$80,000 to $99,999",2013,incg1_5 / popn,0.05154291,9.835587208,0.04158262,0.0615032,136,Percentage of population,Percentage of total population,BC,
Personal income category,"$100,000 to $119,999",2013,incg1_6 / popn,0.025878797,5.873759824,0.022892294,0.028865301,452,Percentage of population,Percentage of total population,CA,
Personal income category,"$100,000 to $119,999",2013,incg1_6 / popn,0.02211584,12.64093984,0.016623144,0.027608535,85,Percentage of population,Percentage of total population,AT,
Personal income category,"$100,000 to $119,999",2013,incg1_6 / popn,0.016683603,15.61935895,0.01156377,0.021803436,57,Percentage of population,Percentage of total population,QC,
Personal income category,"$100,000 to $119,999",2013,incg1_6 / popn,0.02213509,10.26819414,0.017669507,0.026600672,98,Percentage of population,Percentage of total population,ON,
Personal income category,"$100,000 to $119,999",2013,incg1_6 / popn,0.03376429,12.9719902,0.025158971,0.04236961,83,Percentage of population,Percentage of total population,PR,
Personal income category,"$100,000 to $119,999",2013,incg1_6 / popn,0.049836194,13.66629735,0.036454889,0.0632175,60,Percentage of population,Percentage of total population,AB,
Personal income category,"$100,000 to $119,999",2013,incg1_6 / popn,0.030667838,14.22863361,0.022094517,0.039241159,69,Percentage of population,Percentage of total population,BC,
Personal income category,"$120,000 and more",2013,incg1_7 / popn,0.041976441,4.788067622,0.038027609,0.045925272,677,Percentage of population,Percentage of total population,CA,
Personal income category,"$120,000 and more",2013,incg1_7 / popn,0.022995966,11.61647183,0.017747545,0.028244387,113,Percentage of population,Percentage of total population,AT,
Personal income category,"$120,000 and more",2013,incg1_7 / popn,0.024850381,12.20077454,0.018893441,0.030807321,86,Percentage of population,Percentage of total population,QC,
Personal income category,"$120,000 and more",2013,incg1_7 / popn,0.050013611,7.233506297,0.042905735,0.057121487,207,Percentage of population,Percentage of total population,ON,
Personal income category,"$120,000 and more",2013,incg1_7 / popn,0.030070638,12.02896809,0.022963844,0.037177433,81,Percentage of population,Percentage of total population,PR,
Personal income category,"$120,000 and more",2013,incg1_7 / popn,0.076675732,10.41519535,0.060985546,0.092365918,100,Percentage of population,Percentage of total population,AB,
Personal income category,"$120,000 and more",2013,incg1_7 / popn,0.034861811,11.43833695,0.027027234,0.042696388,90,Percentage of population,Percentage of total population,BC,
Family income category,"Less than $20,000",2013,hhincg1_1 / popn,0.048554228,4.366969117,0.044388318,0.052720139,1210,Percentage of population,Percentage of total population,CA,
Family income category,"Less than $20,000",2013,hhincg1_1 / popn,0.065807919,6.435054856,0.057487731,0.074128107,425,Percentage of population,Percentage of total population,AT,
