geoAbb,seriesDate,dateLabel,item2,GovAgency,Business,CommNPO,BusNPO,GovAgencyStat,BusinessStat,CommNPOStat,BusNPOStat
MB,2021,2021 Q1,Pénurie de main-d'œuvre,0.7859999999999999,0.13699999999999998,0.185,0.226,E,A,C,E
SK,2021,2021 Q1,Pénurie de main-d'œuvre,0.031,0.12,0.127,0.006999999999999999,B,A,B,A
AB,2021,2021 Q1,Pénurie de main-d'œuvre,0.087,0.096,0.078,0.157,D,A,B,D
BC,2021,2021 Q1,Pénurie de main-d'œuvre,NA,0.244,0.22699999999999998,0.005,NA,A,D,A
YT,2021,2021 Q1,Pénurie de main-d'œuvre,0,0.18100000000000002,0.08,0.039,A,B,C,B
NT,2021,2021 Q1,Pénurie de main-d'œuvre,0.03,0.152,0.145,0.162,B,B,C,E
NU,2021,2021 Q1,Pénurie de main-d'œuvre,0,0.299,0.17300000000000001,0.11,A,C,C,D
CA,2021,2021 Q1,Obtention de financement,0.102,0.10400000000000001,0.08900000000000001,0.098,C,A,A,B
NL,2021,2021 Q1,Obtention de financement,0,0.084,0.078,0.07200000000000001,A,A,B,B
PE,2021,2021 Q1,Obtention de financement,0,0.08800000000000001,0.039,0,A,A,A,A
NS,2021,2021 Q1,Obtention de financement,0,0.087,0.11699999999999999,NA,A,A,B,NA
NB,2021,2021 Q1,Obtention de financement,0.015,0.09,0.152,0.321,A,A,B,E
QC,2021,2021 Q1,Obtention de financement,0.14,0.083,0.23,0.11800000000000001,E,A,D,D
ON,2021,2021 Q1,Obtention de financement,0.019,0.11599999999999999,0.067,0.033,A,A,B,B
MB,2021,2021 Q1,Obtention de financement,0,0.076,0.006,0.065,A,A,A,C
SK,2021,2021 Q1,Obtention de financement,0.031,0.086,0.133,0,B,A,C,A
AB,2021,2021 Q1,Obtention de financement,NA,0.099,0.013000000000000001,0.22899999999999998,NA,A,A,E
BC,2021,2021 Q1,Obtention de financement,0.03,0.12300000000000001,0.027999999999999997,0.125,B,A,A,E
YT,2021,2021 Q1,Obtention de financement,0,0.102,0.09699999999999999,0,A,B,C,A
NT,2021,2021 Q1,Obtention de financement,0,0.07,0.08800000000000001,0,A,B,B,A
NU,2021,2021 Q1,Obtention de financement,0.154,0.099,0.095,0,E,B,B,A
CA,2021,2021 Q1,Pénurie d'espace ou d'équipement,0.07,0.052000000000000005,0.067,0.040999999999999995,B,A,A,A
NL,2021,2021 Q1,Pénurie d'espace ou d'équipement,0.14,0.051,0.106,0.02,D,A,C,A
PE,2021,2021 Q1,Pénurie d'espace ou d'équipement,0.096,0.044000000000000004,0.028999999999999998,0,C,A,A,A
NS,2021,2021 Q1,Pénurie d'espace ou d'équipement,0,0.046,0.125,0.005,A,A,C,A
NB,2021,2021 Q1,Pénurie d'espace ou d'équipement,0.039,0.054000000000000006,0.054000000000000006,0.111,C,A,A,D
QC,2021,2021 Q1,Pénurie d'espace ou d'équipement,0.08,0.057,0.106,0.006,D,A,B,A
ON,2021,2021 Q1,Pénurie d'espace ou d'équipement,0.08,0.047,0.054000000000000006,0.026000000000000002,D,A,B,A
MB,2021,2021 Q1,Pénurie d'espace ou d'équipement,NA,0.061,0.038,0.017,NA,A,A,A
SK,2021,2021 Q1,Pénurie d'espace ou d'équipement,0.031,0.022000000000000002,0.055999999999999994,0.06,B,A,B,C
AB,2021,2021 Q1,Pénurie d'espace ou d'équipement,0,0.035,0.040999999999999995,NA,A,A,A,NA
BC,2021,2021 Q1,Pénurie d'espace ou d'équipement,0.004,0.076,0.062,0,A,A,B,A
YT,2021,2021 Q1,Pénurie d'espace ou d'équipement,0,0.10099999999999999,0.233,0,A,B,E,A
NT,2021,2021 Q1,Pénurie d'espace ou d'équipement,0,0.061,0.091,NA,A,B,B,NA
NU,2021,2021 Q1,Pénurie d'espace ou d'équipement,0.057999999999999996,0.10300000000000001,0.299,0,B,B,D,A
CA,2021,2021 Q1,Flux de trésorerie ou dette,0.078,0.25,0.168,0.073,B,A,A,A
NL,2021,2021 Q1,Flux de trésorerie ou dette,0,0.23800000000000002,0.21600000000000003,0.444,A,A,C,E
PE,2021,2021 Q1,Flux de trésorerie ou dette,0.139,0.21100000000000002,0.107,0.10800000000000001,D,A,B,C
NS,2021,2021 Q1,Flux de trésorerie ou dette,0,0.24,0.301,NA,A,A,D,NA
NB,2021,2021 Q1,Flux de trésorerie ou dette,0.015,0.207,0.268,0.14,A,A,C,C
QC,2021,2021 Q1,Flux de trésorerie ou dette,0.126,0.16,0.105,0.034,E,A,B,B
ON,2021,2021 Q1,Flux de trésorerie ou dette,0.004,0.275,0.166,0.031,A,A,C,B
MB,2021,2021 Q1,Flux de trésorerie ou dette,0.011000000000000001,0.23,0.135,0.085,A,A,B,C
SK,2021,2021 Q1,Flux de trésorerie ou dette,0.042,0.245,0.23399999999999999,0.027000000000000003,B,A,C,A
AB,2021,2021 Q1,Flux de trésorerie ou dette,0.092,0.341,0.095,0.185,D,A,B,E
BC,2021,2021 Q1,Flux de trésorerie ou dette,NA,0.23800000000000002,0.221,0.11800000000000001,NA,A,D,E
YT,2021,2021 Q1,Flux de trésorerie ou dette,0,0.14800000000000002,0.061,0.039,A,B,B,B
NT,2021,2021 Q1,Flux de trésorerie ou dette,0,0.16899999999999998,0.153,0,A,B,C,A
NU,2021,2021 Q1,Flux de trésorerie ou dette,0,0.155,0.05,0.11,A,B,A,D
CA,2021,2021 Q1,Fluctuations in demand,0.145,0.327,0.151,0.162,C,A,A,C
NL,2021,2021 Q1,Fluctuations in demand,0.08199999999999999,0.259,0.16699999999999998,0.20600000000000002,C,A,C,E
PE,2021,2021 Q1,Fluctuations in demand,0.10300000000000001,0.213,0.067,0.07200000000000001,C,A,B,C
NS,2021,2021 Q1,Fluctuations in demand,0,0.298,0.14300000000000002,NA,A,A,C,NA
NB,2021,2021 Q1,Fluctuations in demand,0.077,0.28600000000000003,0.138,0.299,D,A,C,E
QC,2021,2021 Q1,Fluctuations in demand,0.127,0.21,0.145,0.183,E,A,C,E
ON,2021,2021 Q1,Fluctuations in demand,0.166,0.34,0.13699999999999998,0.109,E,A,B,D
MB,2021,2021 Q1,Fluctuations in demand,NA,0.36700000000000005,0.175,0.019,NA,A,C,A
SK,2021,2021 Q1,Fluctuations in demand,0.027000000000000003,0.314,0.179,0.08199999999999999,A,A,C,B
AB,2021,2021 Q1,Fluctuations in demand,0.11699999999999999,0.45799999999999996,0.085,0.049,E,A,B,C
BC,2021,2021 Q1,Fluctuations in demand,NA,0.33899999999999997,0.2,NA,NA,A,D,NA
YT,2021,2021 Q1,Fluctuations in demand,0,0.266,0.12,0.039,A,B,C,B
NT,2021,2021 Q1,Fluctuations in demand,0,0.26899999999999996,0.08,0.06,A,B,B,B
NU,2021,2021 Q1,Fluctuations in demand,0,0.233,0.122,0.11,A,B,D,D
CA,2021,2021 Q1,Augmentation de la concurrence,0.05,0.19899999999999998,0.07200000000000001,0.12,B,A,A,C
NL,2021,2021 Q1,Augmentation de la concurrence,0,0.168,0.121,0.017,A,A,C,A
PE,2021,2021 Q1,Augmentation de la concurrence,0,0.131,0.013999999999999999,0,A,A,A,A
NS,2021,2021 Q1,Augmentation de la concurrence,0,0.16,0.069,0,A,A,B,A
NB,2021,2021 Q1,Augmentation de la concurrence,0,0.146,0.024,0.205,A,A,A,E
QC,2021,2021 Q1,Augmentation de la concurrence,0.008,0.172,0.02,0.009000000000000001,A,A,A,A
ON,2021,2021 Q1,Augmentation de la concurrence,0,0.21600000000000003,0.106,NA,A,A,C,NA
MB,2021,2021 Q1,Augmentation de la concurrence,0,0.177,0.018000000000000002,0.218,A,A,A,E
SK,2021,2021 Q1,Augmentation de la concurrence,0.005,0.18899999999999997,0.079,0.057999999999999996,A,A,B,B
AB,2021,2021 Q1,Augmentation de la concurrence,NA,0.209,0.179,NA,NA,A,D,NA
BC,2021,2021 Q1,Augmentation de la concurrence,NA,0.21100000000000002,0.049,0.033,NA,A,B,B
YT,2021,2021 Q1,Augmentation de la concurrence,0,0.17300000000000001,0,0.039,A,B,A,B
NT,2021,2021 Q1,Augmentation de la concurrence,0,0.131,0.032,0,A,B,B,A
NU,2021,2021 Q1,Augmentation de la concurrence,0,0.027999999999999997,0,0,A,A,A,A
CA,2021,2021 Q1,Insuffisance de la demande,0.23800000000000002,0.301,0.166,0.191,D,A,B,C
NL,2021,2021 Q1,Insuffisance de la demande,0.08199999999999999,0.264,0.204,0.22899999999999998,C,A,C,E
PE,2021,2021 Q1,Insuffisance de la demande,0.073,0.168,0.047,0.021,C,A,A,A
NS,2021,2021 Q1,Insuffisance de la demande,0,0.212,0.11199999999999999,0.024,A,A,B,A
NB,2021,2021 Q1,Insuffisance de la demande,0.015,0.24,0.19,0.10800000000000001,A,A,C,C
QC,2021,2021 Q1,Insuffisance de la demande,NA,0.21899999999999997,0.183,NA,NA,A,C,NA
ON,2021,2021 Q1,Insuffisance de la demande,0.024,0.341,0.188,0.114,A,A,C,D
MB,2021,2021 Q1,Insuffisance de la demande,0.02,0.272,0.11900000000000001,0.165,A,A,B,E
SK,2021,2021 Q1,Insuffisance de la demande,0.044000000000000004,0.293,0.16399999999999998,0.027000000000000003,B,A,C,A
AB,2021,2021 Q1,Insuffisance de la demande,NA,0.349,0.036000000000000004,0.245,NA,A,A,E
BC,2021,2021 Q1,Insuffisance de la demande,NA,0.308,0.20199999999999999,0.18,NA,A,D,E
YT,2021,2021 Q1,Insuffisance de la demande,0,0.218,0.13699999999999998,0,A,B,C,A
NT,2021,2021 Q1,Insuffisance de la demande,0,0.257,0.10400000000000001,0.071,A,B,C,B
NU,2021,2021 Q1,Insuffisance de la demande,0.154,0.193,0,0.11,E,B,A,D
CA,2021,2021 Q1,Maintien des stocks,0.046,0.14,0.048,0.05,B,A,A,A
NL,2021,2021 Q1,Maintien des stocks,0,0.154,0.006999999999999999,0.017,A,A,A,A
PE,2021,2021 Q1,Maintien des stocks,0.156,0.11,0.045,0,D,A,B,A
NS,2021,2021 Q1,Maintien des stocks,0,0.155,0.008,NA,A,A,A,NA
NB,2021,2021 Q1,Maintien des stocks,0.061,0.165,0.08800000000000001,0.111,C,A,C,D
QC,2021,2021 Q1,Maintien des stocks,0.078,0.113,0.004,0.001,D,A,A,A
ON,2021,2021 Q1,Maintien des stocks,0,0.163,0.076,0.055,A,A,B,C
MB,2021,2021 Q1,Maintien des stocks,0.057,0.15,0.046,0,C,A,B,A
SK,2021,2021 Q1,Maintien des stocks,0.031,0.11599999999999999,0.033,0.034,B,A,A,B
AB,2021,2021 Q1,Maintien des stocks,0,0.11199999999999999,0.139,NA,A,A,D,NA
BC,2021,2021 Q1,Maintien des stocks,0,0.141,0.012,0.02,A,A,A,A
YT,2021,2021 Q1,Maintien des stocks,1,0.162,0,0,A,B,A,A
NT,2021,2021 Q1,Maintien des stocks,0,0.17800000000000002,0.027999999999999997,0,A,B,A,A
NU,2021,2021 Q1,Maintien des stocks,0,0.107,0.023,0,A,B,A,A
CA,2021,2021 Q1,Défis liés à l'exportation,0.011000000000000001,0.036000000000000004,0.001,0.008,A,A,A,A
NL,2021,2021 Q1,Défis liés à l'exportation,0,0.02,0,0.017,A,A,A,A
PE,2021,2021 Q1,Défis liés à l'exportation,0,0.038,0,0,A,A,A,A
NS,2021,2021 Q1,Défis liés à l'exportation,0,0.034,0.001,0.02,A,A,A,A
NB,2021,2021 Q1,Défis liés à l'exportation,0,0.038,0,0,A,A,A,A
QC,2021,2021 Q1,Défis liés à l'exportation,0,0.031,0.001,0.006999999999999999,A,A,A,A
ON,2021,2021 Q1,Défis liés à l'exportation,0,0.033,0,0,A,A,A,A
MB,2021,2021 Q1,Défis liés à l'exportation,0,0.038,0.016,0,A,A,A,A
SK,2021,2021 Q1,Défis liés à l'exportation,0,0.055,0,0,A,A,A,A
AB,2021,2021 Q1,Défis liés à l'exportation,0,0.040999999999999995,0,0.107,A,A,A,E
BC,2021,2021 Q1,Défis liés à l'exportation,NA,0.045,0,0,NA,A,A,A
YT,2021,2021 Q1,Défis liés à l'exportation,0,0.003,0,0.039,A,A,A,B
NT,2021,2021 Q1,Défis liés à l'exportation,0,0.015,0,0,A,A,A,A
NU,2021,2021 Q1,Défis liés à l'exportation,0,0.006999999999999999,0,0,A,A,A,A
CA,2021,2021 Q1,Aucun,0.195,0.177,0.19899999999999998,0.266,C,A,B,C
NL,2021,2021 Q1,Aucun,0.6679999999999999,0.284,0.28800000000000003,0.348,E,A,D,E
PE,2021,2021 Q1,Aucun,0.171,0.23800000000000002,0.44799999999999995,0.415,D,A,D,E
NS,2021,2021 Q1,Aucun,NA,0.242,0.17,0.147,NA,A,B,D
NB,2021,2021 Q1,Aucun,0.831,0.192,0.21600000000000003,0.151,E,A,C,D
QC,2021,2021 Q1,Aucun,0.012,0.20800000000000002,0.27399999999999997,0.322,A,A,D,E
ON,2021,2021 Q1,Aucun,0.22,0.172,0.163,0.10800000000000001,E,A,C,C
MB,2021,2021 Q1,Aucun,0.129,0.182,0.252,0.254,D,A,C,E
SK,2021,2021 Q1,Aucun,NA,0.217,0.184,NA,NA,A,C,NA
AB,2021,2021 Q1,Aucun,NA,0.14,0.262,0.051,NA,A,C,B
BC,2021,2021 Q1,Aucun,NA,0.149,0.11800000000000001,NA,NA,A,C,NA
YT,2021,2021 Q1,Aucun,0,0.21100000000000002,NA,0.8079999999999999,A,B,NA,E
NT,2021,2021 Q1,Aucun,NA,0.182,0.317,NA,NA,B,D,NA
NU,2021,2021 Q1,Aucun,0.536,0.168,0.171,NA,E,B,C,NA
CA,2021.25,2021 Q2,Recrutement d'employés qualifiés,0.264,0.278,0.28300000000000003,0.354,C,A,B,C
NL,2021.25,2021 Q2,Recrutement d'employés qualifiés,0.262,0.205,0.068,0.18,E,A,A,E
PE,2021.25,2021 Q2,Recrutement d'employés qualifiés,0.59,0.353,0.158,0.575,E,A,C,E
NS,2021.25,2021 Q2,Recrutement d'employés qualifiés,NA,0.326,0.22,0.11699999999999999,NA,A,C,C
NB,2021.25,2021 Q2,Recrutement d'employés qualifiés,NA,0.25,0.28800000000000003,0.159,NA,A,C,D
QC,2021.25,2021 Q2,Recrutement d'employés qualifiés,0.332,0.436,0.293,NA,E,A,C,NA
ON,2021.25,2021 Q2,Recrutement d'employés qualifiés,0.251,0.239,0.33299999999999996,0.2,E,A,D,E
MB,2021.25,2021 Q2,Recrutement d'employés qualifiés,NA,0.267,0.33799999999999997,0.149,NA,A,C,E
SK,2021.25,2021 Q2,Recrutement d'employés qualifiés,NA,0.22,0.242,NA,NA,A,B,NA
AB,2021.25,2021 Q2,Recrutement d'employés qualifiés,0.036000000000000004,0.171,0.225,NA,B,A,C,NA
BC,2021.25,2021 Q2,Recrutement d'employés qualifiés,0.23,0.268,0.226,NA,E,A,C,NA
YT,2021.25,2021 Q2,Recrutement d'employés qualifiés,NA,0.373,0.342,0.159,NA,B,D,E
NT,2021.25,2021 Q2,Recrutement d'employés qualifiés,0.265,0.299,0.503,0.25,E,B,E,E
NU,2021.25,2021 Q2,Recrutement d'employés qualifiés,0.34700000000000003,0.348,0.358,0.165,E,B,D,D
CA,2021.25,2021 Q2,Augmentation des coûts liés aux intrants,0.22,0.391,0.18600000000000003,0.204,C,A,B,C
NL,2021.25,2021 Q2,Augmentation des coûts liés aux intrants,0.163,0.36,0.096,0.05,E,A,B,B
PE,2021.25,2021 Q2,Augmentation des coûts liés aux intrants,0.172,0.435,0.225,0.31,D,A,C,E
NS,2021.25,2021 Q2,Augmentation des coûts liés aux intrants,0.344,0.373,0.16,0.055,E,A,B,C
NB,2021.25,2021 Q2,Augmentation des coûts liés aux intrants,0.183,0.35100000000000003,0.21,0.248,E,A,C,E
QC,2021.25,2021 Q2,Augmentation des coûts liés aux intrants,0.08800000000000001,0.35700000000000004,0.13,0.07400000000000001,C,A,B,B
ON,2021.25,2021 Q2,Augmentation des coûts liés aux intrants,0.23800000000000002,0.39,0.294,0.115,E,A,D,D
MB,2021.25,2021 Q2,Augmentation des coûts liés aux intrants,0.004,0.379,0.087,NA,A,A,A,NA
SK,2021.25,2021 Q2,Augmentation des coûts liés aux intrants,NA,0.519,0.198,NA,NA,A,B,NA
AB,2021.25,2021 Q2,Augmentation des coûts liés aux intrants,NA,0.405,0.152,NA,NA,A,B,NA
BC,2021.25,2021 Q2,Augmentation des coûts liés aux intrants,0.111,0.41100000000000003,0.109,0.209,D,A,B,E
YT,2021.25,2021 Q2,Augmentation des coûts liés aux intrants,NA,0.302,0.266,0.025,NA,B,D,A
NT,2021.25,2021 Q2,Augmentation des coûts liés aux intrants,0.151,0.36200000000000004,0.166,0.094,E,B,C,D
NU,2021.25,2021 Q2,Augmentation des coûts liés aux intrants,0.175,0.16399999999999998,0.11900000000000001,0.091,E,B,C,C
CA,2021.25,2021 Q2,Coûts liés à l'assurance,0.25,0.264,0.242,0.24100000000000002,D,A,B,C
NL,2021.25,2021 Q2,Coûts liés à l'assurance,0.016,0.267,0.141,0.115,A,A,B,D
PE,2021.25,2021 Q2,Coûts liés à l'assurance,0.177,0.183,0.075,NA,D,A,B,NA
NS,2021.25,2021 Q2,Coûts liés à l'assurance,0.19899999999999998,0.24600000000000002,0.20600000000000002,0.026000000000000002,E,A,C,A
NB,2021.25,2021 Q2,Coûts liés à l'assurance,NA,0.273,0.183,0.129,NA,A,B,C
QC,2021.25,2021 Q2,Coûts liés à l'assurance,0.040999999999999995,0.222,0.18,0.057999999999999996,B,A,C,B
ON,2021.25,2021 Q2,Coûts liés à l'assurance,NA,0.271,0.39299999999999996,NA,NA,A,D,NA
MB,2021.25,2021 Q2,Coûts liés à l'assurance,0,0.185,0.055999999999999994,NA,A,A,B,NA
SK,2021.25,2021 Q2,Coûts liés à l'assurance,0.055999999999999994,0.27899999999999997,0.121,0,B,A,B,A
AB,2021.25,2021 Q2,Coûts liés à l'assurance,NA,0.332,0.16899999999999998,NA,NA,A,C,NA
BC,2021.25,2021 Q2,Coûts liés à l'assurance,0.096,0.264,0.267,0.326,D,A,D,E
YT,2021.25,2021 Q2,Coûts liés à l'assurance,NA,0.23800000000000002,0.13699999999999998,NA,NA,B,C,NA
NT,2021.25,2021 Q2,Coûts liés à l'assurance,0.151,0.21,0.23399999999999999,0.023,E,B,D,A
NU,2021.25,2021 Q2,Coûts liés à l'assurance,0,0.064,0,0,A,A,A,A
CA,2021.25,2021 Q2,Pénurie de main-d'œuvre,0.146,0.24100000000000002,0.19399999999999998,0.149,B,A,A,B
NL,2021.25,2021 Q2,Pénurie de main-d'œuvre,0.165,0.171,0.078,0.009000000000000001,E,A,B,A
PE,2021.25,2021 Q2,Pénurie de main-d'œuvre,0.491,0.255,0.127,0.262,E,A,C,E
NS,2021.25,2021 Q2,Pénurie de main-d'œuvre,NA,0.237,0.129,0.035,NA,A,B,A
NB,2021.25,2021 Q2,Pénurie de main-d'œuvre,NA,0.228,0.215,0.162,NA,A,C,E
QC,2021.25,2021 Q2,Pénurie de main-d'œuvre,0.285,0.397,0.255,NA,E,A,C,NA
ON,2021.25,2021 Q2,Pénurie de main-d'œuvre,0.047,0.213,0.177,0.11599999999999999,B,A,C,C
MB,2021.25,2021 Q2,Pénurie de main-d'œuvre,NA,0.201,0.225,0,NA,A,C,A
SK,2021.25,2021 Q2,Pénurie de main-d'œuvre,NA,0.153,0.134,NA,NA,A,B,NA
AB,2021.25,2021 Q2,Pénurie de main-d'œuvre,0.052000000000000005,0.105,0.175,0.002,B,A,C,A
BC,2021.25,2021 Q2,Pénurie de main-d'œuvre,0.10400000000000001,0.253,0.157,0.185,D,A,C,E
YT,2021.25,2021 Q2,Pénurie de main-d'œuvre,0,0.24,0.226,0.02,A,B,D,A
NT,2021.25,2021 Q2,Pénurie de main-d'œuvre,0.114,0.289,0.428,0,C,B,E,A
NU,2021.25,2021 Q2,Pénurie de main-d'œuvre,0.131,0.191,0.237,0.091,D,B,D,C
CA,2021.25,2021 Q2,Conservation d'employés qualifiés,0.201,0.22,0.259,0.145,C,A,B,B
NL,2021.25,2021 Q2,Conservation d'employés qualifiés,0,0.139,0.032,0.14300000000000002,A,A,A,E
PE,2021.25,2021 Q2,Conservation d'employés qualifiés,0.345,0.239,0.134,0.316,E,A,B,E
NS,2021.25,2021 Q2,Conservation d'employés qualifiés,NA,0.218,0.106,0.026000000000000002,NA,A,B,A
NB,2021.25,2021 Q2,Conservation d'employés qualifiés,NA,0.19,0.20199999999999999,0.145,NA,A,C,D
QC,2021.25,2021 Q2,Conservation d'employés qualifiés,0.132,0.28,0.38,0.278,C,A,D,E
ON,2021.25,2021 Q2,Conservation d'employés qualifiés,0.11699999999999999,0.22,0.23,0.08,C,A,C,C
MB,2021.25,2021 Q2,Conservation d'employés qualifiés,NA,0.19,0.256,NA,NA,A,C,NA
SK,2021.25,2021 Q2,Conservation d'employés qualifiés,NA,0.17300000000000001,0.171,0.11599999999999999,NA,A,B,E
AB,2021.25,2021 Q2,Conservation d'employés qualifiés,0.034,0.146,0.259,0,B,A,D,A
BC,2021.25,2021 Q2,Conservation d'employés qualifiés,NA,0.231,0.19899999999999998,0.179,NA,A,C,E
YT,2021.25,2021 Q2,Conservation d'employés qualifiés,NA,0.184,0.26899999999999996,0.139,NA,B,D,E
NT,2021.25,2021 Q2,Conservation d'employés qualifiés,0.067,0.285,0.355,0.099,C,B,E,D
NU,2021.25,2021 Q2,Conservation d'employés qualifiés,0,0.221,0.33899999999999997,0.091,A,B,D,C
CA,2021.25,2021 Q2,Coûts liés au transport,0.113,0.239,0.064,0.053,B,A,A,A
NL,2021.25,2021 Q2,Coûts liés au transport,0,0.221,0.046,0.115,A,A,B,D
PE,2021.25,2021 Q2,Coûts liés au transport,0.1,0.196,0.021,0.19399999999999998,C,A,A,E
NS,2021.25,2021 Q2,Coûts liés au transport,0.14,0.213,0.064,0,E,A,B,A
NB,2021.25,2021 Q2,Coûts liés au transport,0.013999999999999999,0.255,0.1,0.18100000000000002,A,A,B,D
QC,2021.25,2021 Q2,Coûts liés au transport,0.025,0.184,0.026000000000000002,0.10800000000000001,B,A,A,C
ON,2021.25,2021 Q2,Coûts liés au transport,0,0.256,0.081,0,A,A,B,A
MB,2021.25,2021 Q2,Coûts liés au transport,0,0.264,0.042,0,A,A,A,A
SK,2021.25,2021 Q2,Coûts liés au transport,0.027000000000000003,0.314,0.059000000000000004,0,A,A,B,A
AB,2021.25,2021 Q2,Coûts liés au transport,NA,0.276,0.061,0,NA,A,C,A
BC,2021.25,2021 Q2,Coûts liés au transport,0.09300000000000001,0.22699999999999998,0.126,0.051,D,A,C,C
YT,2021.25,2021 Q2,Coûts liés au transport,0,0.205,0.075,NA,A,B,B,NA
NT,2021.25,2021 Q2,Coûts liés au transport,0.25,0.22399999999999998,0.111,NA,E,B,C,NA
NU,2021.25,2021 Q2,Coûts liés au transport,0.051,0.135,0.042,0.091,B,B,A,C
CA,2021.25,2021 Q2,Obtention de financement,0.069,0.126,0.146,0.08199999999999999,B,A,B,B
NL,2021.25,2021 Q2,Obtention de financement,0,0.066,0.115,0.134,A,A,C,E
PE,2021.25,2021 Q2,Obtention de financement,0,0.07,0.057,0.307,A,A,B,E
NS,2021.25,2021 Q2,Obtention de financement,0.153,0.075,0.09,0.081,E,A,B,C
NB,2021.25,2021 Q2,Obtention de financement,0.111,0.084,0.157,0.10400000000000001,E,A,C,D
QC,2021.25,2021 Q2,Obtention de financement,0.003,0.122,0.312,0.135,A,A,D,D
ON,2021.25,2021 Q2,Obtention de financement,0,0.15,0.094,0.055,A,A,B,C
MB,2021.25,2021 Q2,Obtention de financement,0,0.086,0.106,0,A,A,B,A
SK,2021.25,2021 Q2,Obtention de financement,0,0.09300000000000001,0.052000000000000005,0,A,A,B,A
AB,2021.25,2021 Q2,Obtention de financement,NA,0.115,0.091,0.016,NA,A,C,A
