Group,Attribute,Year,QuestionNo,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Unsure how to get more involved,Do not report barrier,2013,vd1dhrs,140.046651,6.084704474,123.3043572,156.7889449,954,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,ON,

Unsure how to get more involved,Report barrier,2013,vd1dhrs,102.0136308,16.30678678,69.33007198,134.6971896,139,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,ON,

Unsure how to get more involved,Do not report barrier,2013,vd1dhrs,148.0889086,9.139334596,121.4975913,174.6802258,453,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,QC,

Unsure how to get more involved,Report barrier,2013,vd1dhrs,98.74878827,28.19439699,44.04752858,153.450048,70,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,QC,*

Unsure how to get more involved,Do not report barrier,2013,vd1dhrs,144.6076251,5.618586137,128.6443875,160.5708628,873,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AT,

Unsure how to get more involved,Report barrier,2013,vd1dhrs,102.1815779,18.81174517,64.41527835,139.9478775,109,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AT,*

Health problems/physically unable,Do not report barrier,2013,vd1dhrs,133.6413429,2.789820406,126.3161373,140.9665485,5875,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA,

Health problems/physically unable,Report barrier,2013,vd1dhrs,145.8170433,5.597510416,129.780678,161.8534086,1515,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA,

Health problems/physically unable,Do not report barrier,2013,vd1dhrs,144.7394979,5.45674153,129.2219468,160.2570491,1465,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,BC,

Health problems/physically unable,Report barrier,2013,vd1dhrs,155.3528673,11.35919798,120.6816026,190.0241321,432,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,BC,

Health problems/physically unable,Do not report barrier,2013,vd1dhrs,115.2327869,6.788688206,99.86311242,130.6024614,1014,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AB,

Health problems/physically unable,Report barrier,2013,vd1dhrs,108.1247169,10.37282202,86.0891285,130.1603053,204,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AB,

Health problems/physically unable,Do not report barrier,2013,vd1dhrs,139.1035183,4.914260867,125.6728055,152.5342311,1348,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,PR,

Health problems/physically unable,Report barrier,2013,vd1dhrs,150.3645389,10.34276328,119.8093655,180.9197124,327,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,PR,

Health problems/physically unable,Do not report barrier,2013,vd1dhrs,129.3746916,6.708345846,112.3229982,146.4263849,857,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,ON,

Health problems/physically unable,Report barrier,2013,vd1dhrs,159.325117,11.36803462,123.7396741,194.9105599,234,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,ON,

Health problems/physically unable,Do not report barrier,2013,vd1dhrs,134.2437587,9.566191837,109.0126734,159.474844,431,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,QC,

Health problems/physically unable,Report barrier,2013,vd1dhrs,175.2309425,19.67368839,107.498096,242.9637889,94,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,QC,*

Health problems/physically unable,Do not report barrier,2013,vd1dhrs,137.4134886,5.831780175,121.6688298,153.1581473,760,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AT,

Health problems/physically unable,Report barrier,2013,vd1dhrs,140.0423571,14.66098825,99.70333182,180.3813823,224,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AT,

Did not have the time,Do not report barrier,2013,vd1dhrs,145.5384088,4.246624902,133.3954571,157.6813605,2237,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA,

Did not have the time,Report barrier,2013,vd1dhrs,132.2946738,3.021489309,124.4411211,140.1482265,5144,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA,

Did not have the time,Do not report barrier,2013,vd1dhrs,168.4443316,9.049528071,138.4951421,198.3935212,632,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,BC,

Did not have the time,Report barrier,2013,vd1dhrs,137.6108377,5.847801238,121.8002511,153.4214243,1263,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,BC,

Did not have the time,Do not report barrier,2013,vd1dhrs,153.9415498,11.99897295,117.6502377,190.2328619,353,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AB,

Did not have the time,Report barrier,2013,vd1dhrs,98.98542505,6.564632254,86.21855621,111.7522939,864,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AB,

Did not have the time,Do not report barrier,2013,vd1dhrs,142.4970975,7.213032979,122.3028964,162.6912987,498,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,PR,

Did not have the time,Report barrier,2013,vd1dhrs,140.8083291,5.369753172,125.9528928,155.6637653,1176,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,PR,

Did not have the time,Do not report barrier,2013,vd1dhrs,144.1590709,10.05596048,115.6772157,172.6409262,319,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,ON,

Did not have the time,Report barrier,2013,vd1dhrs,130.2822173,6.703618535,113.1230117,147.4414228,770,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,ON,

Did not have the time,Do not report barrier,2013,vd1dhrs,133.8540827,15.62199065,92.77027029,174.9378951,134,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,QC,

Did not have the time,Report barrier,2013,vd1dhrs,142.7124534,9.886079196,114.9927423,170.4321645,390,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,QC,

Did not have the time,Do not report barrier,2013,vd1dhrs,140.6800898,9.008642346,115.7803548,165.5798247,301,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AT,

Did not have the time,Report barrier,2013,vd1dhrs,137.1756277,6.707034078,119.0992998,155.2519556,681,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AT,

Financial cost of volunteering,Do not report barrier,2013,vd1dhrs,131.0808108,2.589858354,124.4109331,137.7506886,6501,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA,

Financial cost of volunteering,Report barrier,2013,vd1dhrs,166.6570494,7.258854062,142.8889478,190.425151,879,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA,

Financial cost of volunteering,Do not report barrier,2013,vd1dhrs,139.9856497,4.941935586,126.3936505,153.5776488,1658,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,BC,

Financial cost of volunteering,Report barrier,2013,vd1dhrs,193.8961596,14.17936987,139.8793561,247.912963,237,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,BC,

Financial cost of volunteering,Do not report barrier,2013,vd1dhrs,110.5029609,6.562441811,96.25534747,124.7505743,1090,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AB,

Financial cost of volunteering,Report barrier,2013,vd1dhrs,144.5300682,14.90231731,102.2130795,186.847057,127,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AB,

Financial cost of volunteering,Do not report barrier,2013,vd1dhrs,137.9936883,4.426730822,125.9919244,149.9954522,1463,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,PR,

Financial cost of volunteering,Report barrier,2013,vd1dhrs,160.6608229,13.11570344,119.2604438,202.0612019,210,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,PR,

Financial cost of volunteering,Do not report barrier,2013,vd1dhrs,131.1917338,6.136267781,115.3751197,147.0083478,969,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,ON,

Financial cost of volunteering,Report barrier,2013,vd1dhrs,159.6578905,14.50470881,114.1588599,205.156921,120,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,ON,

Financial cost of volunteering,Do not report barrier,2013,vd1dhrs,132.0733513,10.07138052,105.9392877,158.207415,452,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,QC,

Financial cost of volunteering,Report barrier,2013,vd1dhrs,188.0555444,19.35279416,116.5511782,259.5599106,72,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,QC,*

Financial cost of volunteering,Do not report barrier,2013,vd1dhrs,132.2026113,5.837979688,117.0389053,147.3663173,869,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AT,

Financial cost of volunteering,Report barrier,2013,vd1dhrs,175.6786591,14.64572099,125.1273384,226.2299798,113,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AT,

Unable to make commitment,Do not report barrier,2013,vd1dhrs,168.7903741,3.284278351,157.8988069,179.6819413,3527,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA,

Unable to make commitment,Report barrier,2013,vd1dhrs,104.7637021,3.93090222,96.67263471,112.8547696,3841,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA,

Unable to make commitment,Do not report barrier,2013,vd1dhrs,177.0607511,7.113748015,152.3136962,201.807806,883,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,BC,

Unable to make commitment,Report barrier,2013,vd1dhrs,118.9232756,6.442927828,103.8692423,133.9773089,1008,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,BC,

Unable to make commitment,Do not report barrier,2013,vd1dhrs,141.3274034,8.167174681,118.6496011,164.0052058,589,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AB,

Unable to make commitment,Report barrier,2013,vd1dhrs,87.2651871,8.566145429,72.5783185,101.9520557,629,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AB,

Unable to make commitment,Do not report barrier,2013,vd1dhrs,185.9875206,5.560584647,165.668302,206.3067392,825,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,PR,

Unable to make commitment,Report barrier,2013,vd1dhrs,97.90414779,6.968855982,84.49919394,111.3091016,843,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,PR,

Unable to make commitment,Do not report barrier,2013,vd1dhrs,161.8039679,7.707034063,137.3032287,186.3047071,498,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,ON,

Unable to make commitment,Report barrier,2013,vd1dhrs,112.0810423,8.97195344,92.32400074,131.8380839,588,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,ON,

Unable to make commitment,Do not report barrier,2013,vd1dhrs,153.3681522,9.656296812,124.2711308,182.4651736,233,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,QC,

Unable to make commitment,Report barrier,2013,vd1dhrs,130.9819578,13.95172249,95.07802282,166.8858928,290,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,QC,

Unable to make commitment,Do not report barrier,2013,vd1dhrs,166.9378424,6.906440742,144.2855672,189.5901175,499,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AT,

Unable to make commitment,Report barrier,2013,vd1dhrs,107.1604926,8.03762735,90.23796189,124.0830233,483,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AT,

Preferred to give money instead,Do not report barrier,2013,vd1dhrs,155.0004008,2.8459176,146.3336186,163.667183,5078,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA,

Preferred to give money instead,Report barrier,2013,vd1dhrs,87.58952701,5.299999017,78.46877364,96.71028037,2252,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA,

Preferred to give money instead,Do not report barrier,2013,vd1dhrs,163.9521186,5.698547252,145.5958701,182.3083671,1346,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,BC,

Preferred to give money instead,Report barrier,2013,vd1dhrs,97.16801462,10.32330427,77.45991273,116.8761165,538,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,BC,

Preferred to give money instead,Do not report barrier,2013,vd1dhrs,135.8790864,7.070639698,117.0029082,154.7552645,760,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AB,

Preferred to give money instead,Report barrier,2013,vd1dhrs,76.27433574,9.636238402,61.83362024,90.71505125,450,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AB,

Preferred to give money instead,Do not report barrier,2013,vd1dhrs,160.2084775,4.939234468,144.6614317,175.7555233,1195,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,PR,

Preferred to give money instead,Report barrier,2013,vd1dhrs,86.76084596,9.94974259,69.80035713,103.7213348,467,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,PR,

Preferred to give money instead,Do not report barrier,2013,vd1dhrs,149.0090106,6.470534263,130.0657203,167.9523008,706,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,ON,

Preferred to give money instead,Report barrier,2013,vd1dhrs,99.66607272,13.9825951,72.28579371,127.0463517,366,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,ON,

Preferred to give money instead,Do not report barrier,2013,vd1dhrs,157.247366,9.882450778,126.7156804,187.7790516,347,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,QC,

Preferred to give money instead,Report barrier,2013,vd1dhrs,101.9152782,17.10655489,67.66180679,136.1687496,174,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,QC,*

Preferred to give money instead,Do not report barrier,2013,vd1dhrs,157.1365231,5.653382986,139.6827917,174.5902545,724,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AT,

Preferred to give money instead,Report barrier,2013,vd1dhrs,81.82025618,10.94304748,64.22879718,99.41171519,257,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AT,

No interest,Do not report barrier,2013,vd1dhrs,137.9937447,2.703507279,130.6639859,145.3235035,5845,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA,

No interest,Report barrier,2013,vd1dhrs,128.8807916,5.75776004,114.3012289,143.4603544,1510,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA,

No interest,Do not report barrier,2013,vd1dhrs,153.9528076,5.43345037,137.5179457,170.3876695,1533,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,BC,

No interest,Report barrier,2013,vd1dhrs,117.5370984,10.78915227,92.62186097,142.4523357,359,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,BC,

No interest,Do not report barrier,2013,vd1dhrs,117.5786413,6.923293696,101.5851259,133.5721568,931,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AB,

No interest,Report barrier,2013,vd1dhrs,100.4499513,11.84244169,77.07806699,123.8218355,282,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AB,

No interest,Do not report barrier,2013,vd1dhrs,144.5680722,4.66265842,131.3243905,157.8117538,1339,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,PR,

No interest,Report barrier,2013,vd1dhrs,132.4034463,10.8279171,104.2360338,160.5708587,328,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,PR,

No interest,Do not report barrier,2013,vd1dhrs,134.6892986,6.95810876,116.2761929,153.1024042,809,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,ON,

No interest,Report barrier,2013,vd1dhrs,131.44532,11.62789542,101.4157587,161.4748812,272,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,ON,

No interest,Do not report barrier,2013,vd1dhrs,137.0955477,9.978289251,110.2184617,163.9726338,430,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,QC,

No interest,Report barrier,2013,vd1dhrs,159.2933867,17.38748799,104.876044,213.7107294,93,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,QC,*

No interest,Do not report barrier,2013,vd1dhrs,138.1017242,5.944212219,121.9731436,154.2303048,803,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AT,

No interest,Report barrier,2013,vd1dhrs,138.7681772,12.05084136,105.9125324,171.6238221,176,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AT,
