,Group,Attribute,Year,QuestionNo,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
20,Universités et collèges,Do not support cause,2013,nv_020,0.396097349,3.672183557,0.367519532,0.424675167,1055,Assez de temps déjà donné,Barriers to volunteering by cause support,BC,
21,Universités et collèges,Support cause,2013,nv_020,0.35389135,25.82319011,0.174342519,0.533440181,841,Assez de temps déjà donné,Barriers to volunteering by cause support,BC,*
22,Universités et collèges,Do not support cause,2013,nv_020,0.543238629,3.252783521,0.508521121,0.577956137,541,Assez de temps déjà donné,Barriers to volunteering by cause support,AB,
23,Universités et collèges,Support cause,2013,nv_020,0.486304427,18.27634621,0.311681871,0.660926983,678,Assez de temps déjà donné,Barriers to volunteering by cause support,AB,*
24,Santé,Do not support cause,2013,nv_020,0.430615548,2.049063788,0.413279587,0.447951509,4011,Assez de temps déjà donné,Barriers to volunteering by cause support,CA,
25,Santé,Support cause,2013,nv_020,0.382342105,5.531383292,0.340790421,0.423893788,3372,Assez de temps déjà donné,Barriers to volunteering by cause support,CA,
26,Santé,Do not support cause,2013,nv_020,0.39727633,3.877432767,0.367011398,0.427541263,1055,Assez de temps déjà donné,Barriers to volunteering by cause support,BC,
27,Santé,Support cause,2013,nv_020,0.371760609,10.45116887,0.295424332,0.448096887,841,Assez de temps déjà donné,Barriers to volunteering by cause support,BC,
28,Santé,Do not support cause,2013,nv_020,0.539823297,3.466126094,0.503061332,0.576585263,541,Assez de temps déjà donné,Barriers to volunteering by cause support,AB,
29,Santé,Support cause,2013,nv_020,0.538891703,9.446249961,0.438877041,0.638906365,678,Assez de temps déjà donné,Barriers to volunteering by cause support,AB,
30,Hôpitaux,Do not support cause,2013,nv_020,0.422644493,1.995260237,0.40607621,0.439212776,4011,Assez de temps déjà donné,Barriers to volunteering by cause support,CA,
31,Hôpitaux,Support cause,2013,nv_020,0.462386292,8.061863861,0.389147166,0.535625418,3372,Assez de temps déjà donné,Barriers to volunteering by cause support,CA,
32,Hôpitaux,Do not support cause,2013,nv_020,0.392195203,3.781423205,0.363057165,0.421333241,1055,Assez de temps déjà donné,Barriers to volunteering by cause support,BC,
33,Hôpitaux,Support cause,2013,nv_020,0.431420097,13.02699944,0.321000156,0.541840037,841,Assez de temps déjà donné,Barriers to volunteering by cause support,BC,
34,Hôpitaux,Do not support cause,2013,nv_020,0.536101977,3.410974081,0.500174347,0.572029607,541,Assez de temps déjà donné,Barriers to volunteering by cause support,AB,
35,Hôpitaux,Support cause,2013,nv_020,0.606173104,12.07380233,0.46237821,0.749967999,678,Assez de temps déjà donné,Barriers to volunteering by cause support,AB,
36,Services sociaux,Do not support cause,2013,nv_020,0.426529406,2.18406504,0.408226616,0.444832195,4011,Assez de temps déjà donné,Barriers to volunteering by cause support,CA,
37,Services sociaux,Support cause,2013,nv_020,0.418236955,4.163411803,0.384025266,0.452448644,3372,Assez de temps déjà donné,Barriers to volunteering by cause support,CA,
38,Services sociaux,Do not support cause,2013,nv_020,0.378307924,4.297877247,0.346362976,0.410252872,1055,Assez de temps déjà donné,Barriers to volunteering by cause support,BC,
39,Services sociaux,Support cause,2013,nv_020,0.436127226,6.925096758,0.376788013,0.49546644,841,Assez de temps déjà donné,Barriers to volunteering by cause support,BC,
40,Services sociaux,Do not support cause,2013,nv_020,0.547749116,3.712151341,0.507799731,0.587698501,541,Assez de temps déjà donné,Barriers to volunteering by cause support,AB,
41,Services sociaux,Support cause,2013,nv_020,0.517068381,6.705607782,0.448946149,0.585190613,678,Assez de temps déjà donné,Barriers to volunteering by cause support,AB,
42,Environnement,Do not support cause,2013,nv_020,0.426868774,1.987473156,0.410200202,0.443537347,4011,Assez de temps déjà donné,Barriers to volunteering by cause support,CA,
43,Environnement,Support cause,2013,nv_020,0.387784026,8.184708918,0.325425492,0.45014256,3372,Assez de temps déjà donné,Barriers to volunteering by cause support,CA,
44,Environnement,Do not support cause,2013,nv_020,0.397050843,3.705303709,0.368145863,0.425955823,1055,Assez de temps déjà donné,Barriers to volunteering by cause support,BC,
45,Environnement,Support cause,2013,nv_020,0.359465171,14.98363035,0.253643014,0.465287328,841,Assez de temps déjà donné,Barriers to volunteering by cause support,BC,
46,Environnement,Do not support cause,2013,nv_020,0.53995128,3.404515256,0.503834202,0.576068357,541,Assez de temps déjà donné,Barriers to volunteering by cause support,AB,
47,Environnement,Support cause,2013,nv_020,0.533874975,15.54455152,0.370825088,0.696924862,678,Assez de temps déjà donné,Barriers to volunteering by cause support,AB,
48,Aménagement et logement,Do not support cause,2013,nv_020,0.417459358,2.10877704,0.400163281,0.434755435,4011,Assez de temps déjà donné,Barriers to volunteering by cause support,CA,
49,Aménagement et logement,Support cause,2013,nv_020,0.489689678,5.421445642,0.437529532,0.541849824,3372,Assez de temps déjà donné,Barriers to volunteering by cause support,CA,
50,Aménagement et logement,Do not support cause,2013,nv_020,0.383157272,3.925357594,0.353607166,0.412707378,1055,Assez de temps déjà donné,Barriers to volunteering by cause support,BC,
51,Aménagement et logement,Support cause,2013,nv_020,0.502054023,10.02098864,0.403206962,0.600901085,841,Assez de temps déjà donné,Barriers to volunteering by cause support,BC,
52,Aménagement et logement,Do not support cause,2013,nv_020,0.529390259,3.494940087,0.493039087,0.565741431,541,Assez de temps déjà donné,Barriers to volunteering by cause support,AB,
53,Aménagement et logement,Support cause,2013,nv_020,0.689120602,8.160278147,0.578635699,0.799605505,678,Assez de temps déjà donné,Barriers to volunteering by cause support,AB,
54,"Droit, plaidoyer et politique",Do not support cause,2013,nv_020,0.42340183,1.995895765,0.406798571,0.440005088,4011,Assez de temps déjà donné,Barriers to volunteering by cause support,CA,
55,"Droit, plaidoyer et politique",Support cause,2013,nv_020,0.448897657,8.645324712,0.372649142,0.525146172,3372,Assez de temps déjà donné,Barriers to volunteering by cause support,CA,
56,"Droit, plaidoyer et politique",Do not support cause,2013,nv_020,0.391563367,3.659004305,0.363414059,0.419712674,1055,Assez de temps déjà donné,Barriers to volunteering by cause support,BC,
57,"Droit, plaidoyer et politique",Support cause,2013,nv_020,0.465945985,16.32423323,0.316504523,0.615387447,841,Assez de temps déjà donné,Barriers to volunteering by cause support,BC,
58,"Droit, plaidoyer et politique",Do not support cause,2013,nv_020,0.541654056,3.24465449,0.507124325,0.576183788,541,Assez de temps déjà donné,Barriers to volunteering by cause support,AB,
59,"Droit, plaidoyer et politique",Support cause,2013,nv_020,0.498593666,18.08588774,0.321424015,0.675763317,678,Assez de temps déjà donné,Barriers to volunteering by cause support,AB,*
60,"Subventions, collecte de fonds",Do not support cause,2013,nv_020,0.422125043,2.000095937,0.405537017,0.438713068,4011,Assez de temps déjà donné,Barriers to volunteering by cause support,CA,
61,"Subventions, collecte de fonds",Support cause,2013,nv_020,0.486700101,8.516026644,0.40526696,0.568133243,3372,Assez de temps déjà donné,Barriers to volunteering by cause support,CA,
62,"Subventions, collecte de fonds",Do not support cause,2013,nv_020,0.392382836,3.631860689,0.364383875,0.420381798,1055,Assez de temps déjà donné,Barriers to volunteering by cause support,BC,
63,"Subventions, collecte de fonds",Support cause,2013,nv_020,0.449604963,18.90562509,0.282601729,0.616608196,841,Assez de temps déjà donné,Barriers to volunteering by cause support,BC,*
64,"Subventions, collecte de fonds",Do not support cause,2013,nv_020,0.534913015,3.348223214,0.499724551,0.570101479,541,Assez de temps déjà donné,Barriers to volunteering by cause support,AB,
65,"Subventions, collecte de fonds",Support cause,2013,nv_020,0.645120565,11.85784529,0.494823878,0.795417253,678,Assez de temps déjà donné,Barriers to volunteering by cause support,AB,
66,International,Do not support cause,2013,nv_020,0.4251584,1.969567831,0.408706182,0.441610618,4011,Assez de temps déjà donné,Barriers to volunteering by cause support,CA,
67,International,Support cause,2013,nv_020,0.389009422,14.32134302,0.279551649,0.498467196,3372,Assez de temps déjà donné,Barriers to volunteering by cause support,CA,
68,International,Do not support cause,2013,nv_020,0.397068215,3.57164472,0.369204686,0.424931743,1055,Assez de temps déjà donné,Barriers to volunteering by cause support,BC,
69,International,Support cause,2013,nv_020,0.152094805,85.74625569,-0.104136558,0.408326169,841,Assez de temps déjà donné,Barriers to volunteering by cause support,BC,…
70,International,Do not support cause,2013,nv_020,0.540657781,3.258807574,0.506041221,0.575274342,541,Assez de temps déjà donné,Barriers to volunteering by cause support,AB,
71,International,Support cause,2013,nv_020,0.492922407,25.95810742,0.241528743,0.744316071,678,Assez de temps déjà donné,Barriers to volunteering by cause support,AB,*
72,Religion,Do not support cause,2013,nv_020,0.42100438,2.199435211,0.402811539,0.439197221,4011,Assez de temps déjà donné,Barriers to volunteering by cause support,CA,
73,Religion,Support cause,2013,nv_020,0.438735637,4.109013069,0.403316076,0.474155199,3372,Assez de temps déjà donné,Barriers to volunteering by cause support,CA,
74,Religion,Do not support cause,2013,nv_020,0.376135213,4.390623289,0.343688335,0.408582091,1055,Assez de temps déjà donné,Barriers to volunteering by cause support,BC,
75,Religion,Support cause,2013,nv_020,0.456829951,6.699998906,0.396694297,0.516965606,841,Assez de temps déjà donné,Barriers to volunteering by cause support,BC,
76,Religion,Do not support cause,2013,nv_020,0.546342738,3.370098736,0.510167571,0.582517905,541,Assez de temps déjà donné,Barriers to volunteering by cause support,AB,
77,Religion,Support cause,2013,nv_020,0.482646403,11.07265683,0.377647768,0.587645039,678,Assez de temps déjà donné,Barriers to volunteering by cause support,AB,
78,Entreprises et professionnels,Do not support cause,2013,nv_020,0.423323762,1.986607692,0.406800815,0.439846708,4011,Assez de temps déjà donné,Barriers to volunteering by cause support,CA,
79,Entreprises et professionnels,Support cause,2013,nv_020,0.468096219,10.93834439,0.367498191,0.568694247,3372,Assez de temps déjà donné,Barriers to volunteering by cause support,CA,
80,Entreprises et professionnels,Do not support cause,2013,nv_020,0.391793005,3.647376344,0.363716697,0.419869313,1055,Assez de temps déjà donné,Barriers to volunteering by cause support,BC,
81,Entreprises et professionnels,Support cause,2013,nv_020,0.467708574,15.9580217,0.321066996,0.614350152,841,Assez de temps déjà donné,Barriers to volunteering by cause support,BC,
82,Entreprises et professionnels,Do not support cause,2013,nv_020,0.538530589,3.313264071,0.503474039,0.573587138,541,Assez de temps déjà donné,Barriers to volunteering by cause support,AB,
83,Entreprises et professionnels,Support cause,2013,nv_020,0.609999919,18.58226663,0.387294284,0.832705554,678,Assez de temps déjà donné,Barriers to volunteering by cause support,AB,*
84,Autre,Do not support cause,2013,nv_020,0.423904896,1.955076256,0.407621879,0.440187913,4011,Assez de temps déjà donné,Barriers to volunteering by cause support,CA,
85,Autre,Support cause,2013,nv_020,0.44769791,12.35700842,0.339005016,0.556390804,3372,Assez de temps déjà donné,Barriers to volunteering by cause support,CA,
86,Autre,Do not support cause,2013,nv_020,0.394180865,3.624761284,0.366108585,0.422253145,1055,Assez de temps déjà donné,Barriers to volunteering by cause support,BC,
87,Autre,Support cause,2013,nv_020,0.396507617,24.94384915,0.202187507,0.590827727,841,Assez de temps déjà donné,Barriers to volunteering by cause support,BC,*
88,Autre,Do not support cause,2013,nv_020,0.54362107,3.282479802,0.508561944,0.578680196,541,Assez de temps déjà donné,Barriers to volunteering by cause support,AB,
89,Autre,Support cause,2013,nv_020,0.396116741,27.46406182,0.182374328,0.609859153,678,Assez de temps déjà donné,Barriers to volunteering by cause support,AB,*
90,Arts et culture,Do not support cause,2013,nv_030,0.083717695,5.681065347,0.07437333,0.09306206,6824,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,CA,
91,Arts et culture,Support cause,2013,nv_030,0.079000287,22.28024804,0.044418181,0.113582392,568,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,CA,*
92,Arts et culture,Do not support cause,2013,nv_030,0.061523053,12.37659809,0.046562697,0.076483408,1788,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,BC,
93,Arts et culture,Support cause,2013,nv_030,0.095478111,34.73916605,0.030311378,0.160644843,112,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,BC,…
94,Arts et culture,Do not support cause,2013,nv_030,0.06434702,12.43600443,0.048624866,0.080069174,1133,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,AB,
95,Arts et culture,Support cause,2013,nv_030,0.14019158,42.94038004,0.021917234,0.258465926,85,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,AB,…
96,Sport et loisir,Do not support cause,2013,nv_030,0.079740262,6.446681577,0.069640372,0.089840151,6824,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,CA,
97,Sport et loisir,Support cause,2013,nv_030,0.094878961,10.63340629,0.075057071,0.114700851,568,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,CA,
98,Sport et loisir,Do not support cause,2013,nv_030,0.067048426,13.38181678,0.049420289,0.084676563,1788,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,BC,
99,Sport et loisir,Support cause,2013,nv_030,0.052557803,23.67465423,0.028110914,0.077004691,112,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,BC,*
100,Sport et loisir,Do not support cause,2013,nv_030,0.066474624,15.55268161,0.046162099,0.086787149,1133,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,AB,
101,Sport et loisir,Support cause,2013,nv_030,0.079054624,21.63566875,0.045449899,0.112659349,85,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,AB,*
102,Éducation et recherche,Do not support cause,2013,nv_030,0.083529671,5.902125933,0.073843503,0.093215839,6824,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,CA,
103,Éducation et recherche,Support cause,2013,nv_030,0.082787958,14.18742993,0.059711261,0.105864655,568,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,CA,
104,Éducation et recherche,Do not support cause,2013,nv_030,0.065226527,12.28975166,0.049476906,0.080976147,1788,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,BC,
105,Éducation et recherche,Support cause,2013,nv_030,0.055519844,32.49151873,0.020077618,0.090962069,112,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,BC,*
106,Éducation et recherche,Do not support cause,2013,nv_030,0.069218972,12.68105923,0.051973169,0.086464775,1133,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,AB,
107,Éducation et recherche,Support cause,2013,nv_030,0.070546865,39.10581574,0.016344054,0.124749676,85,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,AB,…
108,Universités et collèges,Do not support cause,2013,nv_030,0.082460571,5.673629392,0.073268571,0.091652572,6824,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,CA,
109,Universités et collèges,Support cause,2013,nv_030,0.099622349,24.6110755,0.051450855,0.147793842,568,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,CA,*
110,Universités et collèges,Do not support cause,2013,nv_030,0.063424083,12.10763517,0.048336618,0.078511547,1788,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,BC,
111,Universités et collèges,Support cause,2013,nv_030,0.061427281,53.53238522,-0.003179876,0.126034437,112,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,BC,…
112,Universités et collèges,Do not support cause,2013,nv_030,0.068717581,12.78723336,0.051453352,0.08598181,1133,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,AB,
113,Universités et collèges,Support cause,2013,nv_030,0.080661679,57.82514991,-0.010978677,0.172302035,85,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,AB,…
114,Santé,Do not support cause,2013,nv_030,0.085380463,5.737732802,0.075755445,0.095005482,6824,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,CA,
115,Santé,Support cause,2013,nv_030,0.069771398,15.8658309,0.048022213,0.091520583,568,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,CA,
116,Santé,Do not support cause,2013,nv_030,0.063594907,12.51451714,0.04795842,0.079231393,1788,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,BC,
117,Santé,Support cause,2013,nv_030,0.061430268,29.72028187,0.025559715,0.097300821,112,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,BC,*
118,Santé,Do not support cause,2013,nv_030,0.074095513,12.96735391,0.055217946,0.092973079,1133,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,AB,
119,Santé,Support cause,2013,nv_030,0.036054732,46.82966557,0.002881631,0.069227832,85,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,AB,…
120,Hôpitaux,Do not support cause,2013,nv_030,0.084625862,5.632334095,0.075261154,0.09399057,6824,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,CA,
121,Hôpitaux,Support cause,2013,nv_030,0.056974071,24.20178355,0.029882925,0.084065216,568,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,CA,*
122,Hôpitaux,Do not support cause,2013,nv_030,0.06374309,12.17992698,0.048489202,0.078996977,1788,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,BC,
123,Hôpitaux,Support cause,2013,nv_030,0.055892914,38.62097682,0.0134815,0.098304328,112,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,BC,…
124,Hôpitaux,Do not support cause,2013,nv_030,0.070046928,13.09821151,0.052020743,0.088073114,1133,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,AB,
125,Hôpitaux,Support cause,2013,nv_030,0.058637101,57.14371313,-0.007195906,0.124470108,85,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,AB,…
126,Services sociaux,Do not support cause,2013,nv_030,0.083871272,6.674647972,0.072872497,0.094870047,6824,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,CA,
127,Services sociaux,Support cause,2013,nv_030,0.081920457,11.03807413,0.064154508,0.099686406,568,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,CA,
128,Services sociaux,Do not support cause,2013,nv_030,0.061138009,13.01405076,0.045505577,0.07677044,1788,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,BC,
129,Services sociaux,Support cause,2013,nv_030,0.069121031,24.4078786,0.035974126,0.102267936,112,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,BC,*
130,Services sociaux,Do not support cause,2013,nv_030,0.067557579,15.75126508,0.046650553,0.088464605,1133,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,AB,
131,Services sociaux,Support cause,2013,nv_030,0.074804548,20.14460196,0.045197887,0.104411209,85,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,AB,*
132,Environnement,Do not support cause,2013,nv_030,0.084257104,5.715276231,0.074795898,0.09371831,6824,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,CA,
133,Environnement,Support cause,2013,nv_030,0.070095406,21.08281831,0.041060464,0.099130348,568,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,CA,*
134,Environnement,Do not support cause,2013,nv_030,0.060708795,12.62976196,0.045644475,0.075773114,1788,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,BC,
135,Environnement,Support cause,2013,nv_030,0.095719802,35.84107298,0.028315823,0.163123781,112,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,BC,…
136,Environnement,Do not support cause,2013,nv_030,0.071027869,12.69074658,0.053317863,0.088737874,1133,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,AB,
137,Environnement,Support cause,2013,nv_030,0.031578086,60.23104683,-0.005790697,0.068946868,85,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,AB,…
138,Aménagement et logement,Do not support cause,2013,nv_030,0.082862844,5.986447631,0.073116724,0.092608965,6824,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,CA,
139,Aménagement et logement,Support cause,2013,nv_030,0.088229146,15.56101636,0.061254685,0.115203607,568,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,CA,
140,Aménagement et logement,Do not support cause,2013,nv_030,0.058736802,12.98097543,0.043756507,0.073717097,1788,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,BC,
141,Aménagement et logement,Support cause,2013,nv_030,0.10827995,27.13017939,0.050562989,0.165996911,112,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,BC,*
142,Aménagement et logement,Do not support cause,2013,nv_030,0.070397779,13.07053161,0.052319589,0.088475969,1133,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,AB,
143,Aménagement et logement,Support cause,2013,nv_030,0.055880409,54.35372055,-0.003794477,0.115555294,85,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,AB,…
144,"Droit, plaidoyer et politique",Do not support cause,2013,nv_030,0.083103461,5.61944819,0.073928261,0.092278661,6824,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,CA,
145,"Droit, plaidoyer et politique",Support cause,2013,nv_030,0.089846348,25.95830363,0.044023774,0.135668922,568,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,CA,*
146,"Droit, plaidoyer et politique",Do not support cause,2013,nv_030,0.061015765,12.02730582,0.046597495,0.075434035,1788,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,BC,
147,"Droit, plaidoyer et politique",Support cause,2013,nv_030,0.12606239,42.19111203,0.021564084,0.230560697,112,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,BC,…
148,"Droit, plaidoyer et politique",Do not support cause,2013,nv_030,0.071686895,12.82734352,0.053620178,0.089753611,1133,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,AB,
149,"Droit, plaidoyer et politique",Support cause,2013,nv_030,0.022395537,112.758441,-0.027219497,0.072010571,85,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,AB,…
150,"Subventions, collecte de fonds",Do not support cause,2013,nv_030,0.085197566,5.584910832,0.075848975,0.094546157,6824,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,CA,
151,"Subventions, collecte de fonds",Support cause,2013,nv_030,0.034341267,41.27343038,0.006493548,0.062188986,568,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,CA,…
152,"Subventions, collecte de fonds",Do not support cause,2013,nv_030,0.062614724,11.94863596,0.047915394,0.077314054,1788,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,BC,
153,"Subventions, collecte de fonds",Support cause,2013,nv_030,0.085089111,50.68381882,0.000357384,0.169820838,112,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,BC,…
154,"Subventions, collecte de fonds",Do not support cause,2013,nv_030,0.069101127,13.02297968,0.051420477,0.086781778,1133,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,AB,
155,"Subventions, collecte de fonds",Support cause,2013,nv_030,0.077307694,56.50831726,-0.008522054,0.163137442,85,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,AB,…
156,International,Do not support cause,2013,nv_030,0.082796595,5.624358876,0.073647287,0.091945903,6824,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,CA,
157,International,Support cause,2013,nv_030,0.112144191,33.77682564,0.037722702,0.18656568,568,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,CA,…
158,International,Do not support cause,2013,nv_030,0.06384765,11.85435938,0.048977144,0.078718156,1788,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,BC,
159,International,Support cause,2013,nv_030,0.019642825,165.4128679,-0.044194691,0.08348034,112,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,BC,…
160,International,Do not support cause,2013,nv_030,0.069151705,12.66973354,0.051938049,0.086365361,1133,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,AB,
161,International,Support cause,2013,nv_030,0.084595757,68.3186341,-0.028955121,0.198146634,85,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,AB,…
162,Religion,Do not support cause,2013,nv_030,0.084872568,6.023083657,0.074828978,0.094916158,6824,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,CA,
163,Religion,Support cause,2013,nv_030,0.077148649,13.89837395,0.05608202,0.098215279,568,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,CA,
164,Religion,Do not support cause,2013,nv_030,0.072624321,12.69840904,0.054505325,0.090743318,1788,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,BC,
165,Religion,Support cause,2013,nv_030,0.030974903,32.09634302,0.011441934,0.050507871,112,Expérience bénévole passée insatisfaisante,Barriers to volunteering by cause support,BC,*
