geoAbb,item2,CommNPO,BusNPO,CommNPOStat,BusNPOStat
MB,Risque de fermeture,0.081,0,B,A
MB,Autre,0.026000000000000002,0,A,A
MB,Aucun,0.087,0,B,A
SK,Réduction du nombre de programmes,0.335,0,D,A
SK,Annulation de programmes,0.075,0.03,B,B
SK,Incapacité d'accepter de nouveaux clients,0.06,0,A,A
SK,Réduction du personnel,0.168,0,D,A
SK,Dépendance accrue aux bénévoles,0.48100000000000004,0,D,A
SK,Réduction des dépenses non liées au personnel,0.19699999999999998,0,C,A
SK,Exploration d'autres sources de revenus,0.349,0,D,A
SK,Risque de fermeture,0.044000000000000004,0,B,A
SK,Autre,0.040999999999999995,0,B,A
SK,Aucun,0.145,NA,C,NA
AB,Réduction du nombre de programmes,0.401,0,E,A
AB,Annulation de programmes,0.19899999999999998,0,E,A
AB,Incapacité d'accepter de nouveaux clients,0.045,0,A,A
AB,Réduction du personnel,0.18899999999999997,0.040999999999999995,E,B
AB,Dépendance accrue aux bénévoles,0.28800000000000003,0,E,A
AB,Réduction des dépenses non liées au personnel,0.172,NA,C,NA
AB,Exploration d'autres sources de revenus,0.135,NA,C,NA
AB,Risque de fermeture,0.051,0,B,A
AB,Autre,0.011000000000000001,0,A,A
AB,Aucun,0.175,0.019,E,A
BC,Réduction du nombre de programmes,0.267,NA,D,NA
BC,Annulation de programmes,0.124,0,C,A
BC,Incapacité d'accepter de nouveaux clients,0.136,0.012,C,A
BC,Réduction du personnel,0.203,0,D,A
BC,Dépendance accrue aux bénévoles,0.446,0.147,D,E
BC,Réduction des dépenses non liées au personnel,0.41200000000000003,0.111,E,D
BC,Exploration d'autres sources de revenus,0.562,0.813,D,E
BC,Risque de fermeture,0.019,0,A,A
BC,Autre,0.008,0.147,A,E
BC,Aucun,0.158,0.059000000000000004,D,B
YT,Réduction du nombre de programmes,0.32,NA,E,..
YT,Annulation de programmes,0.038,NA,B,..
YT,Incapacité d'accepter de nouveaux clients,0,NA,A,..
YT,Réduction du personnel,0,NA,A,..
YT,Dépendance accrue aux bénévoles,0.239,NA,E,..
YT,Réduction des dépenses non liées au personnel,0.214,NA,E,..
YT,Exploration d'autres sources de revenus,0.11,NA,C,..
YT,Risque de fermeture,0,NA,A,..
YT,Autre,0,NA,A,..
YT,Aucun,0.44299999999999995,NA,E,..
NT,Réduction du nombre de programmes,0.22399999999999998,1,E,A
NT,Annulation de programmes,0.065,0,B,A
NT,Incapacité d'accepter de nouveaux clients,0.23199999999999998,0,D,A
NT,Réduction du personnel,0.04,0,B,A
NT,Dépendance accrue aux bénévoles,0.29600000000000004,0,E,A
NT,Réduction des dépenses non liées au personnel,0.37,0,E,A
NT,Exploration d'autres sources de revenus,0.331,0,E,A
NT,Risque de fermeture,0.037000000000000005,0,B,A
NT,Autre,0,0,A,A
NT,Aucun,0.15,0,D,A
NU,Réduction du nombre de programmes,0.13,NA,E,..
NU,Annulation de programmes,0.13,NA,E,..
NU,Incapacité d'accepter de nouveaux clients,0.18600000000000003,NA,E,..
NU,Réduction du personnel,0.13,NA,E,..
NU,Dépendance accrue aux bénévoles,0,NA,A,..
NU,Réduction des dépenses non liées au personnel,NA,NA,NA,..
NU,Exploration d'autres sources de revenus,NA,NA,NA,..
NU,Risque de fermeture,0,NA,A,..
NU,Autre,0,NA,A,..
NU,Aucun,0,NA,A,..
