geoAbb,seriesDate,dateLabel,busChar,item2,valIncrease,valSame,valDecrease,valNA,statusIncrease,statusSame,statusDecrease,statusNA
CA,2022,2022 Q1,Organismes communautaires à but non lucratif,Nombre d'employés,0.11800000000000001,0.862,0.02,0,A,A,A,A
CA,2022,2022 Q1,Organismes communautaires à but non lucratif,Postes vacants,0.09300000000000001,0.498,0.052000000000000005,0.35700000000000004,A,B,A,B
CA,2022,2022 Q1,Organismes communautaires à but non lucratif,Ventes,0.07400000000000001,0.33899999999999997,0.066,0.521,A,B,A,B
CA,2022,2022 Q1,Organismes communautaires à but non lucratif,Prix de vente,0.067,0.326,0.021,0.585,A,B,A,B
CA,2022,2022 Q1,Organismes communautaires à but non lucratif,Demande,0.35200000000000004,0.579,0.069,0,B,B,A,A
CA,2022,2022 Q1,Organismes communautaires à but non lucratif,Importations,0.002,0.042,0.002,0.9540000000000001,A,A,A,A
CA,2022,2022 Q1,Organismes communautaires à but non lucratif,Exportations,0,0.036000000000000004,0,0.9640000000000001,A,A,A,A
CA,2022,2022 Q1,Organismes communautaires à but non lucratif,Résultat opérationnel,0.106,0.736,0.157,0,A,B,A,A
CA,2022,2022 Q1,Organismes communautaires à but non lucratif,Dépenses opérationnelles,0.359,0.591,0.05,0,B,B,A,A
CA,2022,2022 Q1,Organismes communautaires à but non lucratif,Rentabilité,0.032,0.379,0.163,0.426,A,B,B,B
CA,2022,2022 Q1,Organismes communautaires à but non lucratif,Réserves de trésorerie,0.039,0.584,0.205,0.172,A,B,B,B
CA,2022,2022 Q1,Organismes communautaires à but non lucratif,Dépenses en capital,0.146,0.524,0.066,0.264,A,B,B,B
CA,2022,2022 Q1,Organismes communautaires à but non lucratif,Dépenses liées à la formation,0.157,0.47,0.07200000000000001,0.301,B,B,B,B
CA,2022,2022 Q1,Organismes communautaires à but non lucratif,Budget de marketing,0.124,0.51,0.036000000000000004,0.33,B,B,A,B
CA,2022,2022 Q1,Organismes communautaires à but non lucratif,Dépenses liées à la recherche et au développement,0.051,0.201,0.005,0.743,A,B,A,B
CA,2022,2022 Q1,Institutions commerciales à but non lucratif,Nombre d'employés,0.155,0.8009999999999999,0.043,0,B,B,A,A
CA,2022,2022 Q1,Institutions commerciales à but non lucratif,Postes vacants,0.031,0.5489999999999999,0.099,0.322,A,C,B,C
CA,2022,2022 Q1,Institutions commerciales à but non lucratif,Ventes,0.196,0.436,0.136,0.23199999999999998,C,C,C,B
CA,2022,2022 Q1,Institutions commerciales à but non lucratif,Prix de vente,0.243,0.429,0.008,0.32,C,C,A,C
CA,2022,2022 Q1,Institutions commerciales à but non lucratif,Demande,0.281,0.638,0.081,0,C,C,B,A
CA,2022,2022 Q1,Institutions commerciales à but non lucratif,Importations,0,0.073,0,0.927,A,B,A,B
CA,2022,2022 Q1,Institutions commerciales à but non lucratif,Exportations,0.001,0.069,0.013000000000000001,0.9159999999999999,A,B,A,B
CA,2022,2022 Q1,Institutions commerciales à but non lucratif,Résultat opérationnel,0.222,0.573,0.205,0,C,C,C,A
CA,2022,2022 Q1,Institutions commerciales à but non lucratif,Dépenses opérationnelles,0.434,0.49200000000000005,0.07400000000000001,0,C,C,B,A
CA,2022,2022 Q1,Institutions commerciales à but non lucratif,Rentabilité,0.078,0.42100000000000004,0.19699999999999998,0.305,B,C,C,C
CA,2022,2022 Q1,Institutions commerciales à but non lucratif,Réserves de trésorerie,0.107,0.63,0.18899999999999997,0.07400000000000001,B,C,B,A
CA,2022,2022 Q1,Institutions commerciales à but non lucratif,Dépenses en capital,0.163,0.579,0.04,0.218,B,C,A,C
CA,2022,2022 Q1,Institutions commerciales à but non lucratif,Dépenses liées à la formation,0.228,0.56,0.037000000000000005,0.175,C,C,A,B
CA,2022,2022 Q1,Institutions commerciales à but non lucratif,Budget de marketing,0.239,0.494,0.04,0.226,C,C,A,B
CA,2022,2022 Q1,Institutions commerciales à but non lucratif,Dépenses liées à la recherche et au développement,0.18,0.254,0.03,0.536,C,B,A,C
NL,2022,2022 Q1,Institutions gouvernementales,Nombre d'employés,0,1,0,0,A,A,A,A
NL,2022,2022 Q1,Institutions gouvernementales,Postes vacants,0,0.706,0,0.294,A,E,A,E
NL,2022,2022 Q1,Institutions gouvernementales,Ventes,0.155,NA,0,NA,E,NA,A,NA
NL,2022,2022 Q1,Institutions gouvernementales,Prix de vente,0.196,0.37,0,NA,E,E,A,NA
NL,2022,2022 Q1,Institutions gouvernementales,Demande,NA,NA,0,0,NA,NA,A,A
NL,2022,2022 Q1,Institutions gouvernementales,Importations,0,0.04,0,0.96,A,B,A,B
NL,2022,2022 Q1,Institutions gouvernementales,Exportations,0,0,0,1,A,A,A,A
NL,2022,2022 Q1,Institutions gouvernementales,Résultat opérationnel,0.067,0.754,0.179,0,C,E,E,A
NL,2022,2022 Q1,Institutions gouvernementales,Dépenses opérationnelles,0.18899999999999997,0.7709999999999999,0.04,0,D,E,B,A
NL,2022,2022 Q1,Institutions gouvernementales,Rentabilité,0,NA,0.179,NA,A,NA,E,NA
NL,2022,2022 Q1,Institutions gouvernementales,Réserves de trésorerie,0,NA,0.14,NA,A,NA,E,NA
NL,2022,2022 Q1,Institutions gouvernementales,Dépenses en capital,0.08199999999999999,NA,0.155,NA,C,NA,E,NA
NL,2022,2022 Q1,Institutions gouvernementales,Dépenses liées à la formation,0,NA,0.14,NA,A,NA,E,NA
NL,2022,2022 Q1,Institutions gouvernementales,Budget de marketing,0.155,0.28600000000000003,0,NA,E,E,A,NA
NL,2022,2022 Q1,Institutions gouvernementales,Dépenses liées à la recherche et au développement,0,NA,0,NA,A,NA,A,NA
NL,2022,2022 Q1,Entreprises,Nombre d'employés,0.113,0.797,0.09,0,A,A,A,A
NL,2022,2022 Q1,Entreprises,Postes vacants,0.079,0.578,0.038,0.305,A,A,A,A
NL,2022,2022 Q1,Entreprises,Ventes,0.151,0.66,0.18899999999999997,0,A,A,A,A
NL,2022,2022 Q1,Entreprises,Prix de vente,0.361,0.605,0.035,0,A,A,A,A
NL,2022,2022 Q1,Entreprises,Demande,0.166,0.654,0.18,0,A,A,A,A
NL,2022,2022 Q1,Entreprises,Importations,0.006999999999999999,0.177,0.017,0.799,A,A,A,A
NL,2022,2022 Q1,Entreprises,Exportations,0.012,0.11800000000000001,0.006999999999999999,0.863,A,A,A,A
NL,2022,2022 Q1,Entreprises,Résultat opérationnel,0.16,0.594,0.24600000000000002,0,A,A,A,A
NL,2022,2022 Q1,Entreprises,Dépenses opérationnelles,0.44799999999999995,0.502,0.05,0,A,A,A,A
NL,2022,2022 Q1,Entreprises,Rentabilité,0.085,0.505,0.41,0,A,A,A,A
NL,2022,2022 Q1,Entreprises,Réserves de trésorerie,0.042,0.527,0.315,0.11599999999999999,A,A,A,A
NL,2022,2022 Q1,Entreprises,Dépenses en capital,0.134,0.627,0.078,0.16,A,A,A,A
NL,2022,2022 Q1,Entreprises,Dépenses liées à la formation,0.10300000000000001,0.52,0.079,0.298,A,A,A,A
NL,2022,2022 Q1,Entreprises,Budget de marketing,0.091,0.546,0.09300000000000001,0.27,A,A,A,A
NL,2022,2022 Q1,Entreprises,Dépenses liées à la recherche et au développement,0.042,0.278,0.045,0.636,A,A,A,A
NL,2022,2022 Q1,Organismes communautaires à but non lucratif,Nombre d'employés,0.102,0.848,0.051,0,B,B,A,A
NL,2022,2022 Q1,Organismes communautaires à but non lucratif,Postes vacants,0.076,0.408,0.064,0.452,B,C,B,C
NL,2022,2022 Q1,Organismes communautaires à but non lucratif,Ventes,0.039,0.353,0.095,0.512,A,C,B,C
NL,2022,2022 Q1,Organismes communautaires à but non lucratif,Prix de vente,0.07,0.395,0.019,0.517,B,C,A,C
NL,2022,2022 Q1,Organismes communautaires à but non lucratif,Demande,0.18,0.752,0.069,0,B,C,A,A
NL,2022,2022 Q1,Organismes communautaires à but non lucratif,Importations,0,0.08,0,0.92,A,B,A,B
NL,2022,2022 Q1,Organismes communautaires à but non lucratif,Exportations,0,0.078,0.002,0.92,A,B,A,B
NL,2022,2022 Q1,Organismes communautaires à but non lucratif,Résultat opérationnel,0.086,0.7609999999999999,0.153,0,B,C,B,A
NL,2022,2022 Q1,Organismes communautaires à but non lucratif,Dépenses opérationnelles,0.289,0.665,0.047,0,C,C,A,A
NL,2022,2022 Q1,Organismes communautaires à but non lucratif,Rentabilité,0.076,0.433,0.122,0.368,C,C,B,C
NL,2022,2022 Q1,Organismes communautaires à but non lucratif,Réserves de trésorerie,0.016,0.581,0.193,0.21,A,C,C,C
NL,2022,2022 Q1,Organismes communautaires à but non lucratif,Dépenses en capital,0.10800000000000001,0.532,0.032,0.32899999999999996,B,C,A,C
NL,2022,2022 Q1,Organismes communautaires à but non lucratif,Dépenses liées à la formation,0.105,0.526,0.013999999999999999,0.355,B,C,A,C
NL,2022,2022 Q1,Organismes communautaires à but non lucratif,Budget de marketing,0.10099999999999999,0.505,0.034,0.36,B,C,A,C
NL,2022,2022 Q1,Organismes communautaires à but non lucratif,Dépenses liées à la recherche et au développement,0.031,0.264,0.032,0.674,A,C,A,C
NL,2022,2022 Q1,Institutions commerciales à but non lucratif,Nombre d'employés,0.095,0.905,0,0,C,C,A,A
NL,2022,2022 Q1,Institutions commerciales à but non lucratif,Postes vacants,0,0.718,0,0.282,A,E,A,E
NL,2022,2022 Q1,Institutions commerciales à but non lucratif,Ventes,NA,NA,0.08900000000000001,0.19899999999999998,NA,NA,C,E
NL,2022,2022 Q1,Institutions commerciales à but non lucratif,Prix de vente,0,0.738,0.063,0.19899999999999998,A,E,C,E
NL,2022,2022 Q1,Institutions commerciales à but non lucratif,Demande,NA,NA,0.026000000000000002,0,NA,NA,A,A
NL,2022,2022 Q1,Institutions commerciales à but non lucratif,Importations,0,NA,0,NA,A,NA,A,NA
NL,2022,2022 Q1,Institutions commerciales à but non lucratif,Exportations,0.055,NA,0,NA,C,NA,A,NA
NL,2022,2022 Q1,Institutions commerciales à but non lucratif,Résultat opérationnel,0.055,0.882,0.063,0,C,D,C,A
NL,2022,2022 Q1,Institutions commerciales à but non lucratif,Dépenses opérationnelles,NA,NA,0,0,NA,NA,A,A
NL,2022,2022 Q1,Institutions commerciales à but non lucratif,Rentabilité,NA,NA,0.08900000000000001,0.057999999999999996,NA,NA,C,B
NL,2022,2022 Q1,Institutions commerciales à but non lucratif,Réserves de trésorerie,0,0.7759999999999999,0.063,0.161,A,E,C,E
NL,2022,2022 Q1,Institutions commerciales à but non lucratif,Dépenses en capital,0,0.851,0.063,0.085,A,D,C,C
NL,2022,2022 Q1,Institutions commerciales à but non lucratif,Dépenses liées à la formation,NA,NA,0.07,0.085,NA,NA,C,B
NL,2022,2022 Q1,Institutions commerciales à but non lucratif,Budget de marketing,NA,NA,0.063,0.125,NA,NA,C,C
NL,2022,2022 Q1,Institutions commerciales à but non lucratif,Dépenses liées à la recherche et au développement,0,NA,0.063,NA,A,NA,C,NA
PE,2022,2022 Q1,Institutions gouvernementales,Nombre d'employés,0.021,0.937,0.042,0,A,B,B,A
PE,2022,2022 Q1,Institutions gouvernementales,Postes vacants,0.042,0.723,0.133,0.102,B,D,C,B
PE,2022,2022 Q1,Institutions gouvernementales,Ventes,NA,NA,0,0.087,NA,NA,A,C
PE,2022,2022 Q1,Institutions gouvernementales,Prix de vente,NA,0.583,0,0.11,NA,E,A,C
PE,2022,2022 Q1,Institutions gouvernementales,Demande,NA,NA,0,0,NA,NA,A,A
PE,2022,2022 Q1,Institutions gouvernementales,Importations,0,0.121,0,0.879,A,C,A,C
PE,2022,2022 Q1,Institutions gouvernementales,Exportations,0,0,0,1,A,A,A,A
PE,2022,2022 Q1,Institutions gouvernementales,Résultat opérationnel,NA,NA,0.046,0,NA,NA,B,A
PE,2022,2022 Q1,Institutions gouvernementales,Dépenses opérationnelles,0.115,0.885,0,0,C,C,A,A
PE,2022,2022 Q1,Institutions gouvernementales,Rentabilité,NA,0.5429999999999999,0.079,0.10300000000000001,NA,E,B,C
PE,2022,2022 Q1,Institutions gouvernementales,Réserves de trésorerie,0.021,0.778,0.098,0.10300000000000001,A,D,C,C
PE,2022,2022 Q1,Institutions gouvernementales,Dépenses en capital,NA,NA,0,0.016,NA,NA,A,A
PE,2022,2022 Q1,Institutions gouvernementales,Dépenses liées à la formation,NA,NA,0.019,0.049,NA,NA,A,B
PE,2022,2022 Q1,Institutions gouvernementales,Budget de marketing,0,0.838,0.019,0.14300000000000002,A,C,A,C
PE,2022,2022 Q1,Institutions gouvernementales,Dépenses liées à la recherche et au développement,0,0.47,0.019,0.511,A,E,A,E
PE,2022,2022 Q1,Entreprises,Nombre d'employés,0.153,0.7609999999999999,0.087,0,A,A,A,A
PE,2022,2022 Q1,Entreprises,Postes vacants,0.077,0.573,0.071,0.27899999999999997,A,A,A,A
PE,2022,2022 Q1,Entreprises,Ventes,0.18600000000000003,0.654,0.16,0,A,A,A,A
PE,2022,2022 Q1,Entreprises,Prix de vente,0.34,0.594,0.065,0,A,A,A,A
PE,2022,2022 Q1,Entreprises,Demande,0.255,0.61,0.135,0,A,A,A,A
PE,2022,2022 Q1,Entreprises,Importations,0.027000000000000003,0.163,0.027999999999999997,0.7809999999999999,A,A,A,A
PE,2022,2022 Q1,Entreprises,Exportations,0.019,0.124,0.037000000000000005,0.82,A,A,A,A
PE,2022,2022 Q1,Entreprises,Résultat opérationnel,0.187,0.578,0.235,0,A,A,A,A
PE,2022,2022 Q1,Entreprises,Dépenses opérationnelles,0.436,0.502,0.063,0,A,A,A,A
PE,2022,2022 Q1,Entreprises,Rentabilité,0.11599999999999999,0.5579999999999999,0.326,0,A,A,A,A
PE,2022,2022 Q1,Entreprises,Réserves de trésorerie,0.085,0.506,0.292,0.11800000000000001,A,B,A,A
PE,2022,2022 Q1,Entreprises,Dépenses en capital,0.182,0.555,0.098,0.165,A,A,A,A
PE,2022,2022 Q1,Entreprises,Dépenses liées à la formation,0.133,0.435,0.051,0.382,A,A,A,A
PE,2022,2022 Q1,Entreprises,Budget de marketing,0.11,0.49200000000000005,0.102,0.29600000000000004,A,A,A,A
PE,2022,2022 Q1,Entreprises,Dépenses liées à la recherche et au développement,0.054000000000000006,0.258,0.039,0.648,A,A,A,A
PE,2022,2022 Q1,Organismes communautaires à but non lucratif,Nombre d'employés,0.11800000000000001,0.855,0.027000000000000003,0,C,C,A,A
PE,2022,2022 Q1,Organismes communautaires à but non lucratif,Postes vacants,0.069,0.434,0.032,0.466,B,C,B,C
PE,2022,2022 Q1,Organismes communautaires à but non lucratif,Ventes,0.09300000000000001,0.33,0.096,0.48,B,C,B,C
PE,2022,2022 Q1,Organismes communautaires à but non lucratif,Prix de vente,0.078,0.446,0,0.47600000000000003,B,C,A,C
PE,2022,2022 Q1,Organismes communautaires à but non lucratif,Demande,0.222,0.696,0.08199999999999999,0,C,C,A,A
PE,2022,2022 Q1,Organismes communautaires à but non lucratif,Importations,0.006999999999999999,0.057,0,0.937,A,B,A,B
PE,2022,2022 Q1,Organismes communautaires à but non lucratif,Exportations,0,0.054000000000000006,0,0.946,A,B,A,B
PE,2022,2022 Q1,Organismes communautaires à but non lucratif,Résultat opérationnel,0.128,0.7140000000000001,0.158,0,B,C,B,A
PE,2022,2022 Q1,Organismes communautaires à but non lucratif,Dépenses opérationnelles,0.18899999999999997,0.763,0.047,0,C,C,B,A
PE,2022,2022 Q1,Organismes communautaires à but non lucratif,Rentabilité,0.092,0.424,0.09300000000000001,0.391,C,C,A,C
PE,2022,2022 Q1,Organismes communautaires à but non lucratif,Réserves de trésorerie,0.046,0.564,0.14,0.25,B,C,B,C
PE,2022,2022 Q1,Organismes communautaires à but non lucratif,Dépenses en capital,0.13,0.507,0.035,0.327,C,C,A,C
PE,2022,2022 Q1,Organismes communautaires à but non lucratif,Dépenses liées à la formation,0.07,0.473,0.039,0.418,B,C,A,C
PE,2022,2022 Q1,Organismes communautaires à but non lucratif,Budget de marketing,0.06,0.41600000000000004,0.034,0.491,B,C,A,C
PE,2022,2022 Q1,Organismes communautaires à but non lucratif,Dépenses liées à la recherche et au développement,0.006999999999999999,0.185,0.019,0.789,A,C,A,C
PE,2022,2022 Q1,Institutions commerciales à but non lucratif,Nombre d'employés,0.105,0.754,0.142,0,B,E,E,A
PE,2022,2022 Q1,Institutions commerciales à but non lucratif,Postes vacants,0.057,0.397,0.131,0.414,B,E,E,E
PE,2022,2022 Q1,Institutions commerciales à but non lucratif,Ventes,0.258,0.258,0.157,0.32799999999999996,E,D,E,D
PE,2022,2022 Q1,Institutions commerciales à but non lucratif,Prix de vente,0.18600000000000003,0.428,0.013000000000000001,0.373,E,E,A,E
PE,2022,2022 Q1,Institutions commerciales à but non lucratif,Demande,0.33399999999999996,0.457,0.21,0,E,E,E,A
PE,2022,2022 Q1,Institutions commerciales à but non lucratif,Importations,0,0,0,1,A,A,A,A
PE,2022,2022 Q1,Institutions commerciales à but non lucratif,Exportations,0,0,0,1,A,A,A,A
PE,2022,2022 Q1,Institutions commerciales à but non lucratif,Résultat opérationnel,0.149,0.575,0.276,0,D,E,E,A
PE,2022,2022 Q1,Institutions commerciales à but non lucratif,Dépenses opérationnelles,0.233,0.649,0.11800000000000001,0,D,E,E,A
PE,2022,2022 Q1,Institutions commerciales à but non lucratif,Rentabilité,0.026000000000000002,0.298,0.135,0.541,A,E,C,E
PE,2022,2022 Q1,Institutions commerciales à but non lucratif,Réserves de trésorerie,0,0.601,0.308,0.091,A,E,E,B
PE,2022,2022 Q1,Institutions commerciales à but non lucratif,Dépenses en capital,0.17800000000000002,0.654,0,0.16899999999999998,C,E,A,D
PE,2022,2022 Q1,Institutions commerciales à but non lucratif,Dépenses liées à la formation,0.163,0.501,0.07200000000000001,0.264,D,E,C,D
PE,2022,2022 Q1,Institutions commerciales à but non lucratif,Budget de marketing,0.113,0.652,0,0.235,B,E,A,D
PE,2022,2022 Q1,Institutions commerciales à but non lucratif,Dépenses liées à la recherche et au développement,0.177,0.32,0,0.503,D,E,A,E
NS,2022,2022 Q1,Institutions gouvernementales,Nombre d'employés,NA,NA,0.005,0,NA,NA,A,A
NS,2022,2022 Q1,Institutions gouvernementales,Postes vacants,0,NA,NA,0.077,A,NA,NA,C
NS,2022,2022 Q1,Institutions gouvernementales,Ventes,NA,0.109,0.04,NA,NA,C,B,NA
NS,2022,2022 Q1,Institutions gouvernementales,Prix de vente,NA,0.14400000000000002,0.005,NA,NA,D,A,NA
NS,2022,2022 Q1,Institutions gouvernementales,Demande,NA,NA,0.051,0,NA,NA,B,A
NS,2022,2022 Q1,Institutions gouvernementales,Importations,NA,0,0,NA,NA,A,A,NA
NS,2022,2022 Q1,Institutions gouvernementales,Exportations,0,0,0,1,A,A,A,A
NS,2022,2022 Q1,Institutions gouvernementales,Résultat opérationnel,NA,NA,0.091,0,NA,NA,C,A
NS,2022,2022 Q1,Institutions gouvernementales,Dépenses opérationnelles,NA,NA,0,0,NA,NA,A,A
NS,2022,2022 Q1,Institutions gouvernementales,Rentabilité,NA,0.20600000000000002,0.054000000000000006,NA,NA,E,B,NA
NS,2022,2022 Q1,Institutions gouvernementales,Réserves de trésorerie,0,NA,NA,0.064,A,NA,NA,C
NS,2022,2022 Q1,Institutions gouvernementales,Dépenses en capital,NA,NA,0.04,0.071,NA,NA,B,C
NS,2022,2022 Q1,Institutions gouvernementales,Dépenses liées à la formation,0,0.963,0,0.037000000000000005,A,B,A,B
NS,2022,2022 Q1,Institutions gouvernementales,Budget de marketing,0,NA,0.045,NA,A,NA,B,NA
NS,2022,2022 Q1,Institutions gouvernementales,Dépenses liées à la recherche et au développement,0,0.102,0.005,0.893,A,D,A,D
NS,2022,2022 Q1,Entreprises,Nombre d'employés,0.129,0.795,0.076,0,A,A,A,A
NS,2022,2022 Q1,Entreprises,Postes vacants,0.07200000000000001,0.529,0.062,0.337,A,A,A,A
NS,2022,2022 Q1,Entreprises,Ventes,0.162,0.65,0.188,0,A,A,A,A
NS,2022,2022 Q1,Entreprises,Prix de vente,0.361,0.589,0.051,0,A,A,A,A
NS,2022,2022 Q1,Entreprises,Demande,0.23399999999999999,0.655,0.111,0,A,A,A,A
NS,2022,2022 Q1,Entreprises,Importations,0.01,0.182,0.021,0.7859999999999999,A,A,A,A
NS,2022,2022 Q1,Entreprises,Exportations,0.019,0.14,0.012,0.8290000000000001,A,A,A,A
NS,2022,2022 Q1,Entreprises,Résultat opérationnel,0.204,0.618,0.17800000000000002,0,A,A,A,A
NS,2022,2022 Q1,Entreprises,Dépenses opérationnelles,0.46399999999999997,0.479,0.057,0,A,A,A,A
NS,2022,2022 Q1,Entreprises,Rentabilité,0.115,0.574,0.311,0,A,A,A,A
NS,2022,2022 Q1,Entreprises,Réserves de trésorerie,0.08,0.56,0.259,0.10099999999999999,A,A,A,A
NS,2022,2022 Q1,Entreprises,Dépenses en capital,0.161,0.626,0.078,0.135,A,A,A,A
NS,2022,2022 Q1,Entreprises,Dépenses liées à la formation,0.139,0.49200000000000005,0.037000000000000005,0.332,A,A,A,A
NS,2022,2022 Q1,Entreprises,Budget de marketing,0.121,0.48700000000000004,0.078,0.315,A,A,A,A
NS,2022,2022 Q1,Entreprises,Dépenses liées à la recherche et au développement,0.048,0.275,0.032,0.645,A,A,A,A
NS,2022,2022 Q1,Organismes communautaires à but non lucratif,Nombre d'employés,0.17600000000000002,0.795,0.028999999999999998,0,C,C,A,A
NS,2022,2022 Q1,Organismes communautaires à but non lucratif,Postes vacants,0.096,0.46299999999999997,0.075,0.36700000000000005,B,C,B,C
NS,2022,2022 Q1,Organismes communautaires à but non lucratif,Ventes,0.071,0.237,0.099,0.593,A,C,B,C
NS,2022,2022 Q1,Organismes communautaires à but non lucratif,Prix de vente,0.091,0.335,0.022000000000000002,0.552,B,C,A,C
NS,2022,2022 Q1,Organismes communautaires à but non lucratif,Demande,0.297,0.47700000000000004,0.226,0,C,C,C,A
NS,2022,2022 Q1,Organismes communautaires à but non lucratif,Importations,0,0.044000000000000004,0,0.956,A,A,A,A
NS,2022,2022 Q1,Organismes communautaires à but non lucratif,Exportations,0.002,0.06,0,0.938,A,B,A,B
NS,2022,2022 Q1,Organismes communautaires à but non lucratif,Résultat opérationnel,0.142,0.659,0.19899999999999998,0,B,C,B,A
NS,2022,2022 Q1,Organismes communautaires à but non lucratif,Dépenses opérationnelles,0.307,0.594,0.099,0,C,C,C,A
NS,2022,2022 Q1,Organismes communautaires à but non lucratif,Rentabilité,0.068,0.342,0.188,0.40299999999999997,B,C,C,C
NS,2022,2022 Q1,Organismes communautaires à but non lucratif,Réserves de trésorerie,0.051,0.579,0.152,0.218,A,C,B,C
NS,2022,2022 Q1,Organismes communautaires à but non lucratif,Dépenses en capital,0.182,0.545,0.048,0.225,C,C,A,C
NS,2022,2022 Q1,Organismes communautaires à but non lucratif,Dépenses liées à la formation,0.098,0.552,0.023,0.327,B,C,A,C
NS,2022,2022 Q1,Organismes communautaires à but non lucratif,Budget de marketing,0.1,0.39,0.035,0.475,B,C,A,C
NS,2022,2022 Q1,Organismes communautaires à but non lucratif,Dépenses liées à la recherche et au développement,0.015,0.17800000000000002,0.006999999999999999,0.8009999999999999,A,B,A,B
NS,2022,2022 Q1,Institutions commerciales à but non lucratif,Nombre d'employés,0.07,0.9209999999999999,0.009000000000000001,0,B,B,A,A
NS,2022,2022 Q1,Institutions commerciales à but non lucratif,Postes vacants,0.009000000000000001,0.5820000000000001,0.14800000000000002,0.262,A,E,D,D
NS,2022,2022 Q1,Institutions commerciales à but non lucratif,Ventes,0.022000000000000002,0.389,0.054000000000000006,0.535,A,D,B,E
NS,2022,2022 Q1,Institutions commerciales à but non lucratif,Prix de vente,0.016,0.381,0.048,0.556,A,D,B,E
NS,2022,2022 Q1,Institutions commerciales à but non lucratif,Demande,0.171,0.732,0.09699999999999999,0,D,D,B,A
NS,2022,2022 Q1,Institutions commerciales à but non lucratif,Importations,0,0.028999999999999998,0,0.971,A,A,A,A
NS,2022,2022 Q1,Institutions commerciales à but non lucratif,Exportations,0,0.005,0,0.995,A,A,A,A
NS,2022,2022 Q1,Institutions commerciales à but non lucratif,Résultat opérationnel,0.044000000000000004,0.7809999999999999,0.174,0,B,D,C,A
NS,2022,2022 Q1,Institutions commerciales à but non lucratif,Dépenses opérationnelles,0.341,0.5720000000000001,0.087,0,D,D,C,A
