Group,Attribute,Year,QuestionNo,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Age group,75 years and over,2013,agegr10_7 / vd1dhrs,0.062838601,18.5635061,0.039919939,0.085757263,162,Percentage of donations,Percentage of total donations,AT,*

Age group,75 years and over,2013,agegr10_7 / vd1dhrs,0.068301744,20.02078796,0.041434959,0.095168528,76,Percentage of donations,Percentage of total donations,QC,*

Age group,75 years and over,2013,agegr10_7 / vd1dhrs,0.052158805,15.33164586,0.03644725,0.067870359,130,Percentage of donations,Percentage of total donations,ON,

Age group,75 years and over,2013,agegr10_7 / vd1dhrs,0.072636222,14.92012921,0.051343628,0.093928816,112,Percentage of donations,Percentage of total donations,PR,

Age group,75 years and over,2013,agegr10_7 / vd1dhrs,0.047801764,33.05404768,0.016758219,0.078845309,34,Percentage of donations,Percentage of total donations,AB,*

Age group,75 years and over,2013,agegr10_7 / vd1dhrs,0.069398867,21.40460076,0.040213695,0.098584039,88,Percentage of donations,Percentage of total donations,BC,*

Gender,Male gender,2013,sex_1 / vd1dhrs,0.511609341,3.483436879,0.476594742,0.546623939,3239,Percentage of donations,Percentage of total donations,CA,

Gender,Male gender,2013,sex_1 / vd1dhrs,0.516000012,6.491354332,0.450190636,0.581809387,796,Percentage of donations,Percentage of total donations,AT,

Gender,Male gender,2013,sex_1 / vd1dhrs,0.563415881,5.830323057,0.498876552,0.627955209,557,Percentage of donations,Percentage of total donations,QC,

Gender,Male gender,2013,sex_1 / vd1dhrs,0.490666379,6.90420576,0.424107995,0.557224763,746,Percentage of donations,Percentage of total donations,ON,

Gender,Male gender,2013,sex_1 / vd1dhrs,0.467791818,7.581142001,0.39811473,0.537468907,469,Percentage of donations,Percentage of total donations,PR,

Gender,Male gender,2013,sex_1 / vd1dhrs,0.565402252,8.459090541,0.471433394,0.65937111,238,Percentage of donations,Percentage of total donations,AB,

Gender,Male gender,2013,sex_1 / vd1dhrs,0.495232015,6.306647647,0.43386853,0.556595501,433,Percentage of donations,Percentage of total donations,BC,

Gender,Female gender,2013,sex_2 / vd1dhrs,0.488390659,3.649043791,0.45337606,0.523405259,4480,Percentage of donations,Percentage of total donations,CA,

Gender,Female gender,2013,sex_2 / vd1dhrs,0.483999988,6.920534833,0.418190615,0.549809361,1198,Percentage of donations,Percentage of total donations,AT,

Gender,Female gender,2013,sex_2 / vd1dhrs,0.436584119,7.524086102,0.372044792,0.501123447,707,Percentage of donations,Percentage of total donations,QC,

Gender,Female gender,2013,sex_2 / vd1dhrs,0.509333621,6.651164386,0.442775237,0.575892004,998,Percentage of donations,Percentage of total donations,ON,

Gender,Female gender,2013,sex_2 / vd1dhrs,0.532208182,6.663550603,0.462531094,0.601885269,656,Percentage of donations,Percentage of total donations,PR,

Gender,Female gender,2013,sex_2 / vd1dhrs,0.434597748,11.00509368,0.340628888,0.528566608,316,Percentage of donations,Percentage of total donations,AB,

Gender,Female gender,2013,sex_2 / vd1dhrs,0.504767985,6.187503928,0.443404497,0.566131472,605,Percentage of donations,Percentage of total donations,BC,

Education,Less than High School,2013,dh1ged_1 / vd1dhrs,0.117885887,14.13629345,0.085144271,0.150627503,685,Percentage of donations,Percentage of total donations,CA,

Education,Less than High School,2013,dh1ged_1 / vd1dhrs,0.169527745,25.25462099,0.085410627,0.253644862,208,Percentage of donations,Percentage of total donations,AT,*

Education,Less than High School,2013,dh1ged_1 / vd1dhrs,0.100060057,18.67205397,0.063352492,0.136767622,109,Percentage of donations,Percentage of total donations,QC,*

Education,Less than High School,2013,dh1ged_1 / vd1dhrs,0.135983642,26.19282601,0.066003991,0.205963292,139,Percentage of donations,Percentage of total donations,ON,*

Education,Less than High School,2013,dh1ged_1 / vd1dhrs,0.127792356,18.25275537,0.081963813,0.173620899,115,Percentage of donations,Percentage of total donations,PR,*

Education,Less than High School,2013,dh1ged_1 / vd1dhrs,0.085543058,28.31568347,0.037953183,0.133132933,46,Percentage of donations,Percentage of total donations,AB,*

Education,Less than High School,2013,dh1ged_1 / vd1dhrs,0.073552163,22.04604671,0.0416934,0.105410927,68,Percentage of donations,Percentage of total donations,BC,*

Education,Graduated from High School,2013,dh1ged_2 / vd1dhrs,0.238807974,5.806067966,0.211566307,0.266049641,1680,Percentage of donations,Percentage of total donations,CA,

Education,Graduated from High School,2013,dh1ged_2 / vd1dhrs,0.228016221,12.23615531,0.173199448,0.282832994,429,Percentage of donations,Percentage of total donations,AT,

Education,Graduated from High School,2013,dh1ged_2 / vd1dhrs,0.216419912,12.56546785,0.162990718,0.269849106,220,Percentage of donations,Percentage of total donations,QC,

Education,Graduated from High School,2013,dh1ged_2 / vd1dhrs,0.236641655,11.17423385,0.184688528,0.288594782,363,Percentage of donations,Percentage of total donations,ON,

Education,Graduated from High School,2013,dh1ged_2 / vd1dhrs,0.270673504,12.42240702,0.20461112,0.336735888,289,Percentage of donations,Percentage of total donations,PR,

Education,Graduated from High School,2013,dh1ged_2 / vd1dhrs,0.249847686,15.58129134,0.173361761,0.326333611,136,Percentage of donations,Percentage of total donations,AB,

Education,Graduated from High School,2013,dh1ged_2 / vd1dhrs,0.245560597,12.21972862,0.186605279,0.304515915,243,Percentage of donations,Percentage of total donations,BC,

Education,Post-secondary diploma,2013,dh1ged_3 / vd1dhrs,0.289569551,5.458530559,0.258514562,0.32062454,2382,Percentage of donations,Percentage of total donations,CA,

Education,Post-secondary diploma,2013,dh1ged_3 / vd1dhrs,0.301223908,9.846541974,0.242949762,0.359498054,642,Percentage of donations,Percentage of total donations,AT,

Education,Post-secondary diploma,2013,dh1ged_3 / vd1dhrs,0.322489238,9.788457668,0.26046917,0.384509305,423,Percentage of donations,Percentage of total donations,QC,

Education,Post-secondary diploma,2013,dh1ged_3 / vd1dhrs,0.263505767,10.46081835,0.209348277,0.317663257,485,Percentage of donations,Percentage of total donations,ON,

Education,Post-secondary diploma,2013,dh1ged_3 / vd1dhrs,0.289959754,10.83597303,0.228228034,0.351691474,363,Percentage of donations,Percentage of total donations,PR,

Education,Post-secondary diploma,2013,dh1ged_3 / vd1dhrs,0.359613314,16.18893382,0.24523156,0.473995069,164,Percentage of donations,Percentage of total donations,AB,

Education,Post-secondary diploma,2013,dh1ged_3 / vd1dhrs,0.265257379,11.23806008,0.206689221,0.323825537,305,Percentage of donations,Percentage of total donations,BC,

Education,University Diploma,2013,dh1ged_4 / vd1dhrs,0.353736589,4.704080029,0.321043389,0.386429788,2498,Percentage of donations,Percentage of total donations,CA,

Education,University Diploma,2013,dh1ged_4 / vd1dhrs,0.301232126,9.663910033,0.244037279,0.358426974,596,Percentage of donations,Percentage of total donations,AT,

Education,University Diploma,2013,dh1ged_4 / vd1dhrs,0.361030793,9.980760574,0.290234483,0.431827104,430,Percentage of donations,Percentage of total donations,QC,

Education,University Diploma,2013,dh1ged_4 / vd1dhrs,0.363868937,8.206229827,0.305202272,0.422535602,657,Percentage of donations,Percentage of total donations,ON,

Education,University Diploma,2013,dh1ged_4 / vd1dhrs,0.311574386,12.40474441,0.235637583,0.387511189,306,Percentage of donations,Percentage of total donations,PR,

Education,University Diploma,2013,dh1ged_4 / vd1dhrs,0.304995941,14.76372106,0.216526633,0.39346525,167,Percentage of donations,Percentage of total donations,AB,

Education,University Diploma,2013,dh1ged_4 / vd1dhrs,0.415629861,8.160872498,0.34898816,0.482271562,342,Percentage of donations,Percentage of total donations,BC,

Marital status,Married/common-law,2013,marstat2_1 / vd1dhrs,0.634386972,2.613724319,0.601809545,0.666964399,4631,Percentage of donations,Percentage of total donations,CA,

Marital status,Married/common-law,2013,marstat2_1 / vd1dhrs,0.645782274,5.739576305,0.572959252,0.718605295,1239,Percentage of donations,Percentage of total donations,AT,

Marital status,Married/common-law,2013,marstat2_1 / vd1dhrs,0.637045886,4.739699549,0.577722727,0.696369045,705,Percentage of donations,Percentage of total donations,QC,

Marital status,Married/common-law,2013,marstat2_1 / vd1dhrs,0.60491246,5.124044062,0.544013745,0.665811175,1033,Percentage of donations,Percentage of total donations,ON,

Marital status,Married/common-law,2013,marstat2_1 / vd1dhrs,0.571342934,6.853304262,0.494412246,0.648273622,673,Percentage of donations,Percentage of total donations,PR,

Marital status,Married/common-law,2013,marstat2_1 / vd1dhrs,0.756790081,4.680448653,0.687197065,0.826383097,354,Percentage of donations,Percentage of total donations,AB,

Marital status,Married/common-law,2013,marstat2_1 / vd1dhrs,0.63234012,4.843163028,0.572169766,0.692510474,627,Percentage of donations,Percentage of total donations,BC,

Marital status,Separated/divorced,2013,marstat2_2 / vd1dhrs,0.060807135,8.758710893,0.050343141,0.071271129,821,Percentage of donations,Percentage of total donations,CA,

Marital status,Separated/divorced,2013,marstat2_2 / vd1dhrs,0.069111069,17.10375589,0.045886811,0.092335327,194,Percentage of donations,Percentage of total donations,AT,*

Marital status,Separated/divorced,2013,marstat2_2 / vd1dhrs,0.08071199,17.42841651,0.053074492,0.108349488,152,Percentage of donations,Percentage of total donations,QC,*

Marital status,Separated/divorced,2013,marstat2_2 / vd1dhrs,0.059350384,15.884656,0.040827692,0.077873075,193,Percentage of donations,Percentage of total donations,ON,

Marital status,Separated/divorced,2013,marstat2_2 / vd1dhrs,0.052008325,19.45270009,0.032131112,0.071885538,121,Percentage of donations,Percentage of total donations,PR,*

Marital status,Separated/divorced,2013,marstat2_2 / vd1dhrs,0.056107713,30.75856041,0.022200561,0.090014865,52,Percentage of donations,Percentage of total donations,AB,*

Marital status,Separated/divorced,2013,marstat2_2 / vd1dhrs,0.05057772,18.30486159,0.032387898,0.068767541,109,Percentage of donations,Percentage of total donations,BC,*

Marital status,Widowed,2013,marstat2_3 / vd1dhrs,0.041818942,9.716397387,0.033835668,0.049802216,571,Percentage of donations,Percentage of total donations,CA,

Marital status,Widowed,2013,marstat2_3 / vd1dhrs,0.032687501,16.21515132,0.022273791,0.04310121,184,Percentage of donations,Percentage of total donations,AT,

Marital status,Widowed,2013,marstat2_3 / vd1dhrs,0.046728475,25.67674488,0.023154962,0.070301989,65,Percentage of donations,Percentage of total donations,QC,*

Marital status,Widowed,2013,marstat2_3 / vd1dhrs,0.040938395,15.87295928,0.028171319,0.053705471,117,Percentage of donations,Percentage of total donations,ON,

Marital status,Widowed,2013,marstat2_3 / vd1dhrs,0.04880473,18.48951914,0.031075484,0.066533977,98,Percentage of donations,Percentage of total donations,PR,*

Marital status,Widowed,2013,marstat2_3 / vd1dhrs,0.033295786,33.31939445,0.011499168,0.055092404,30,Percentage of donations,Percentage of total donations,AB,…

Marital status,Widowed,2013,marstat2_3 / vd1dhrs,0.049138665,22.19753901,0.027708233,0.070569097,77,Percentage of donations,Percentage of total donations,BC,*

Marital status,"Single, never married",2013,marstat2_4 / vd1dhrs,0.262986951,6.032769514,0.23181574,0.294158162,1693,Percentage of donations,Percentage of total donations,CA,

Marital status,"Single, never married",2013,marstat2_4 / vd1dhrs,0.252419157,15.1052599,0.177506835,0.327331478,376,Percentage of donations,Percentage of total donations,AT,

Marital status,"Single, never married",2013,marstat2_4 / vd1dhrs,0.235513648,11.26305915,0.183397155,0.287630142,342,Percentage of donations,Percentage of total donations,QC,

Marital status,"Single, never married",2013,marstat2_4 / vd1dhrs,0.294798761,10.37214504,0.234723319,0.354874204,400,Percentage of donations,Percentage of total donations,ON,

Marital status,"Single, never married",2013,marstat2_4 / vd1dhrs,0.32784401,12.54366187,0.247047178,0.408640843,233,Percentage of donations,Percentage of total donations,PR,

Marital status,"Single, never married",2013,marstat2_4 / vd1dhrs,0.153806421,18.732023,0.097200496,0.210412346,118,Percentage of donations,Percentage of total donations,AB,*

Marital status,"Single, never married",2013,marstat2_4 / vd1dhrs,0.267943495,11.25576252,0.208689057,0.327197933,224,Percentage of donations,Percentage of total donations,BC,

Labour force status,Employed,2013,dlfs_1 / vd1dhrs,0.578213989,3.113663576,0.542841711,0.613586266,4497,Percentage of donations,Percentage of total donations,CA,

Labour force status,Employed,2013,dlfs_1 / vd1dhrs,0.584555751,5.747256717,0.51854886,0.650562641,1095,Percentage of donations,Percentage of total donations,AT,

Labour force status,Employed,2013,dlfs_1 / vd1dhrs,0.557220919,6.872327409,0.481983482,0.632458357,742,Percentage of donations,Percentage of total donations,QC,

Labour force status,Employed,2013,dlfs_1 / vd1dhrs,0.565933082,6.03947964,0.498779784,0.63308638,1028,Percentage of donations,Percentage of total donations,ON,

Labour force status,Employed,2013,dlfs_1 / vd1dhrs,0.614241352,6.254582586,0.538759921,0.689722783,696,Percentage of donations,Percentage of total donations,PR,

Labour force status,Employed,2013,dlfs_1 / vd1dhrs,0.644663031,7.743675966,0.546582529,0.742743533,368,Percentage of donations,Percentage of total donations,AB,

Labour force status,Employed,2013,dlfs_1 / vd1dhrs,0.551750145,5.988511646,0.4868323,0.61666799,568,Percentage of donations,Percentage of total donations,BC,

Labour force status,Unemployed,2013,dlfs_2 / vd1dhrs,0.049824753,20.46924379,0.029786969,0.069862538,250,Percentage of donations,Percentage of total donations,CA,*

Labour force status,Unemployed,2013,dlfs_2 / vd1dhrs,0.042828042,37.89791349,0.010938648,0.074717436,78,Percentage of donations,Percentage of total donations,AT,…

Labour force status,Unemployed,2013,dlfs_2 / vd1dhrs,0.058407058,28.93737759,0.025200241,0.091613874,43,Percentage of donations,Percentage of total donations,QC,*

Labour force status,Unemployed,2013,dlfs_2 / vd1dhrs,0.06232846,33.19846467,0.021674099,0.102982821,56,Percentage of donations,Percentage of total donations,ON,*

Labour force status,Unemployed,2013,dlfs_2 / vd1dhrs,0.01981589,36.70000505,0.005527528,0.034104253,28,Percentage of donations,Percentage of total donations,PR,…

Labour force status,Unemployed,2013,dlfs_2 / vd1dhrs,0.055157595,46.37066626,0.004905821,0.10540937,14,Percentage of donations,Percentage of total donations,AB,…

Labour force status,Unemployed,2013,dlfs_2 / vd1dhrs,0.019815079,35.35809773,0.006049723,0.033580435,31,Percentage of donations,Percentage of total donations,BC,…

Labour force status,Not in labour force,2013,dlfs_3 / vd1dhrs,0.371961258,4.808068359,0.33682374,0.407098776,2515,Percentage of donations,Percentage of total donations,CA,

Labour force status,Not in labour force,2013,dlfs_3 / vd1dhrs,0.372616207,8.786647194,0.30829004,0.436942373,707,Percentage of donations,Percentage of total donations,AT,

Labour force status,Not in labour force,2013,dlfs_3 / vd1dhrs,0.384372023,9.30790042,0.314079968,0.454664078,399,Percentage of donations,Percentage of total donations,QC,

Labour force status,Not in labour force,2013,dlfs_3 / vd1dhrs,0.371738458,9.209794245,0.304473301,0.439003615,563,Percentage of donations,Percentage of total donations,ON,

Labour force status,Not in labour force,2013,dlfs_3 / vd1dhrs,0.365942757,10.48873618,0.290531,0.441354514,351,Percentage of donations,Percentage of total donations,PR,

Labour force status,Not in labour force,2013,dlfs_3 / vd1dhrs,0.300179373,15.42364413,0.209215157,0.39114359,133,Percentage of donations,Percentage of total donations,AB,

Labour force status,Not in labour force,2013,dlfs_3 / vd1dhrs,0.428434776,7.785871291,0.36289655,0.493973001,362,Percentage of donations,Percentage of total donations,BC,

Personal income category,"Less than $20,000",2013,incg1_1 / vd1dhrs,0.36535853,4.777215246,0.331066215,0.399650844,1991,Percentage of donations,Percentage of total donations,CA,

Personal income category,"Less than $20,000",2013,incg1_1 / vd1dhrs,0.410337217,8.653597682,0.340571775,0.48010266,539,Percentage of donations,Percentage of total donations,AT,

Personal income category,"Less than $20,000",2013,incg1_1 / vd1dhrs,0.362546446,9.348444101,0.29595695,0.429135942,321,Percentage of donations,Percentage of total donations,QC,

Personal income category,"Less than $20,000",2013,incg1_1 / vd1dhrs,0.381917245,8.539246896,0.317841807,0.445992683,467,Percentage of donations,Percentage of total donations,ON,

Personal income category,"Less than $20,000",2013,incg1_1 / vd1dhrs,0.3445014,9.634769707,0.279288266,0.409714534,261,Percentage of donations,Percentage of total donations,PR,

Personal income category,"Less than $20,000",2013,incg1_1 / vd1dhrs,0.231331722,19.01320345,0.144915907,0.317747536,129,Percentage of donations,Percentage of total donations,AB,*

Personal income category,"Less than $20,000",2013,incg1_1 / vd1dhrs,0.429503404,7.354277289,0.367443749,0.491563058,274,Percentage of donations,Percentage of total donations,BC,

Personal income category,"$20,000 to $39,999",2013,incg1_2 / vd1dhrs,0.258105239,6.757976088,0.223835072,0.292375405,1945,Percentage of donations,Percentage of total donations,CA,

Personal income category,"$20,000 to $39,999",2013,incg1_2 / vd1dhrs,0.230570673,9.179199328,0.188988076,0.27215327,548,Percentage of donations,Percentage of total donations,AT,

Personal income category,"$20,000 to $39,999",2013,incg1_2 / vd1dhrs,0.27185906,10.84290434,0.213943911,0.329774209,339,Percentage of donations,Percentage of total donations,QC,

Personal income category,"$20,000 to $39,999",2013,incg1_2 / vd1dhrs,0.247083739,14.05431911,0.17885667,0.315310808,360,Percentage of donations,Percentage of total donations,ON,

Personal income category,"$20,000 to $39,999",2013,incg1_2 / vd1dhrs,0.290851064,11.29149301,0.226326546,0.355375582,315,Percentage of donations,Percentage of total donations,PR,

Personal income category,"$20,000 to $39,999",2013,incg1_2 / vd1dhrs,0.301788992,16.66751512,0.202961677,0.400616306,114,Percentage of donations,Percentage of total donations,AB,*

Personal income category,"$20,000 to $39,999",2013,incg1_2 / vd1dhrs,0.234982124,9.59343333,0.190691518,0.279272731,269,Percentage of donations,Percentage of total donations,BC,

Personal income category,"$40,000 to $59,999",2013,incg1_3 / vd1dhrs,0.156083359,5.703503244,0.138592907,0.173573811,1557,Percentage of donations,Percentage of total donations,CA,

Personal income category,"$40,000 to $59,999",2013,incg1_3 / vd1dhrs,0.172771887,11.21225453,0.134711888,0.210831885,423,Percentage of donations,Percentage of total donations,AT,

Personal income category,"$40,000 to $59,999",2013,incg1_3 / vd1dhrs,0.173444198,13.47269841,0.12753316,0.219355235,278,Percentage of donations,Percentage of total donations,QC,

Personal income category,"$40,000 to $59,999",2013,incg1_3 / vd1dhrs,0.146803108,10.5693859,0.116317999,0.177288216,326,Percentage of donations,Percentage of total donations,ON,

Personal income category,"$40,000 to $59,999",2013,incg1_3 / vd1dhrs,0.141206911,14.28746631,0.101568712,0.180845109,234,Percentage of donations,Percentage of total donations,PR,

Personal income category,"$40,000 to $59,999",2013,incg1_3 / vd1dhrs,0.164615069,20.95008512,0.096857452,0.232372685,98,Percentage of donations,Percentage of total donations,AB,*

Personal income category,"$40,000 to $59,999",2013,incg1_3 / vd1dhrs,0.157537134,11.97040533,0.120486594,0.194587674,198,Percentage of donations,Percentage of total donations,BC,

Personal income category,"$60,000 to $79,999",2013,incg1_4 / vd1dhrs,0.082375479,8.143552894,0.069195503,0.095555455,943,Percentage of donations,Percentage of total donations,CA,

Personal income category,"$60,000 to $79,999",2013,incg1_4 / vd1dhrs,0.098711802,15.70198423,0.068259063,0.12916454,244,Percentage of donations,Percentage of total donations,AT,

Personal income category,"$60,000 to $79,999",2013,incg1_4 / vd1dhrs,0.069607175,18.48093261,0.044332788,0.094881563,165,Percentage of donations,Percentage of total donations,QC,*

Personal income category,"$60,000 to $79,999",2013,incg1_4 / vd1dhrs,0.097352511,14.0340957,0.070509308,0.124195714,217,Percentage of donations,Percentage of total donations,ON,

Personal income category,"$60,000 to $79,999",2013,incg1_4 / vd1dhrs,0.098838337,20.69071105,0.058658924,0.139017749,141,Percentage of donations,Percentage of total donations,PR,*

Personal income category,"$60,000 to $79,999",2013,incg1_4 / vd1dhrs,0.045358762,27.44354341,0.020901709,0.069815815,67,Percentage of donations,Percentage of total donations,AB,*

Personal income category,"$60,000 to $79,999",2013,incg1_4 / vd1dhrs,0.06657985,16.49008219,0.045008944,0.088150755,109,Percentage of donations,Percentage of total donations,BC,

Personal income category,"$80,000 to $99,999",2013,incg1_5 / vd1dhrs,0.052845284,9.604211079,0.04287355,0.062817017,576,Percentage of donations,Percentage of total donations,CA,

Personal income category,"$80,000 to $99,999",2013,incg1_5 / vd1dhrs,0.042157903,21.17380238,0.024619881,0.059695924,116,Percentage of donations,Percentage of total donations,AT,*

Personal income category,"$80,000 to $99,999",2013,incg1_5 / vd1dhrs,0.051539455,24.60701976,0.026622121,0.07645679,77,Percentage of donations,Percentage of total donations,QC,*

Personal income category,"$80,000 to $99,999",2013,incg1_5 / vd1dhrs,0.055733922,16.09079313,0.03811417,0.073353675,163,Percentage of donations,Percentage of total donations,ON,

Personal income category,"$80,000 to $99,999",2013,incg1_5 / vd1dhrs,0.04617404,23.32879228,0.025010278,0.067337802,82,Percentage of donations,Percentage of total donations,PR,*

Personal income category,"$80,000 to $99,999",2013,incg1_5 / vd1dhrs,0.068957775,24.1466343,0.036243102,0.101672449,55,Percentage of donations,Percentage of total donations,AB,*

