seriesDate,geoAbb,busChar,item2,valIncrease,valSame,valDecrease,valNA,statusIncrease,statusSame,statusDecrease,statusNA
2023.75,CA,Organismes communautaires à but non lucratif,Postes vacants,0.045,0.517,0.075,0.36200000000000004,A,B,A,B
2023.75,CA,Organismes communautaires à but non lucratif,Ventes,0.081,0.359,0.065,0.496,A,B,A,B
2023.75,CA,Organismes communautaires à but non lucratif,Prix de vente,0.071,0.38,0.006,0.542,A,B,A,B
2023.75,CA,Organismes communautaires à but non lucratif,Demande,0.322,0.596,0.08199999999999999,0,B,B,A,A
2023.75,CA,Organismes communautaires à but non lucratif,Importations,0.003,0.09,0.009000000000000001,0.898,A,A,A,A
2023.75,CA,Organismes communautaires à but non lucratif,Exportations,0.002,0.054000000000000006,0.008,0.937,A,A,A,A
2023.75,CA,Organismes communautaires à but non lucratif,Résultat opérationnel,0.187,0.688,0.126,0,A,B,A,A
2023.75,CA,Organismes communautaires à but non lucratif,Dépenses opérationnelles,0.40700000000000003,0.56,0.032,0,B,B,A,A
2023.75,CA,Organismes communautaires à but non lucratif,Rentabilité,0.033,0.409,0.145,0.413,A,B,A,B
2023.75,CA,Organismes communautaires à but non lucratif,Réserves de trésorerie,0.059000000000000004,0.584,0.18899999999999997,0.16899999999999998,A,B,A,B
2023.75,CA,Organismes communautaires à but non lucratif,Dépenses en capital,0.17,0.5539999999999999,0.053,0.22399999999999998,B,B,A,B
2023.75,CA,Organismes communautaires à but non lucratif,Dépenses liées à la formation,0.12300000000000001,0.5920000000000001,0.02,0.264,A,B,A,B
2023.75,CA,Organismes communautaires à but non lucratif,Budget de marketing,0.09699999999999999,0.495,0.036000000000000004,0.37200000000000005,A,B,A,B
2023.75,CA,Organismes communautaires à but non lucratif,Dépenses liées à la recherche et au développement,0.035,0.209,0.028999999999999998,0.727,A,A,A,A
2023.75,CA,Institutions commerciales à but non lucratif,Nombre d'employés,0.25,0.711,0.039,0,D,D,A,A
2023.75,CA,Institutions commerciales à but non lucratif,Postes vacants,0.038,0.5720000000000001,0.10099999999999999,0.289,A,C,B,C
2023.75,CA,Institutions commerciales à but non lucratif,Ventes,0.147,0.396,0.040999999999999995,0.41600000000000004,D,C,A,C
2023.75,CA,Institutions commerciales à but non lucratif,Prix de vente,0.18899999999999997,0.36200000000000004,0.008,0.441,D,C,A,C
2023.75,CA,Institutions commerciales à but non lucratif,Demande,0.374,0.593,0.033,0,D,D,A,A
2023.75,CA,Institutions commerciales à but non lucratif,Importations,0.009000000000000001,0.11699999999999999,0.003,0.871,A,B,A,B
2023.75,CA,Institutions commerciales à but non lucratif,Exportations,0.005,0.091,0.02,0.883,A,A,A,B
2023.75,CA,Institutions commerciales à but non lucratif,Résultat opérationnel,0.213,0.635,0.152,0,D,D,B,A
2023.75,CA,Institutions commerciales à but non lucratif,Dépenses opérationnelles,0.424,0.54,0.036000000000000004,0,C,C,A,A
2023.75,CA,Institutions commerciales à but non lucratif,Rentabilité,0.124,0.428,0.193,0.255,D,C,C,C
2023.75,CA,Institutions commerciales à but non lucratif,Réserves de trésorerie,0.247,0.495,0.136,0.122,D,C,B,B
2023.75,CA,Institutions commerciales à but non lucratif,Dépenses en capital,0.215,0.488,0.071,0.226,D,C,B,C
2023.75,CA,Institutions commerciales à but non lucratif,Dépenses liées à la formation,0.259,0.5870000000000001,0.022000000000000002,0.132,D,C,A,B
2023.75,CA,Institutions commerciales à but non lucratif,Budget de marketing,0.255,0.484,0.033,0.228,D,C,A,C
2023.75,CA,Institutions commerciales à but non lucratif,Dépenses liées à la recherche et au développement,0.16699999999999998,0.308,0.019,0.506,D,C,A,C
2023.75,NL,Institutions gouvernementales,Nombre d'employés,NA,NA,0,0,NA,NA,A,A
2023.75,NL,Institutions gouvernementales,Postes vacants,NA,0.242,0.023,NA,NA,E,A,NA
2023.75,NL,Institutions gouvernementales,Ventes,NA,NA,0,0.111,NA,NA,A,C
2023.75,NL,Institutions gouvernementales,Prix de vente,NA,NA,0,0.111,NA,NA,A,C
2023.75,NL,Institutions gouvernementales,Demande,NA,NA,0.10300000000000001,0,NA,NA,C,A
2023.75,NL,Institutions gouvernementales,Importations,0,NA,0,NA,A,NA,A,NA
2023.75,NL,Institutions gouvernementales,Exportations,0,NA,0,NA,A,NA,A,NA
2023.75,NL,Institutions gouvernementales,Résultat opérationnel,0,1,0,0,A,A,A,A
2023.75,NL,Institutions gouvernementales,Dépenses opérationnelles,NA,NA,0.027999999999999997,0,NA,NA,A,A
2023.75,NL,Institutions gouvernementales,Rentabilité,0,0.753,0,0.247,A,E,A,E
2023.75,NL,Institutions gouvernementales,Réserves de trésorerie,0,0.884,0.033,0.083,A,C,A,C
2023.75,NL,Institutions gouvernementales,Dépenses en capital,0.033,NA,NA,0.06,A,NA,NA,C
2023.75,NL,Institutions gouvernementales,Dépenses liées à la formation,0.033,0.9390000000000001,0.027999999999999997,0,A,B,A,A
2023.75,NL,Institutions gouvernementales,Budget de marketing,0,0.9670000000000001,0,0.033,A,A,A,A
2023.75,NL,Institutions gouvernementales,Dépenses liées à la recherche et au développement,0,NA,0,NA,A,NA,A,NA
2023.75,NL,Entreprises,Nombre d'employés,0.081,0.7609999999999999,0.158,0,A,A,A,A
2023.75,NL,Entreprises,Postes vacants,0.065,0.5720000000000001,0.09300000000000001,0.26899999999999996,A,B,A,A
2023.75,NL,Entreprises,Ventes,0.14300000000000002,0.632,0.225,0,A,B,A,A
2023.75,NL,Entreprises,Prix de vente,0.28800000000000003,0.654,0.057999999999999996,0,A,A,A,A
2023.75,NL,Entreprises,Demande,0.17800000000000002,0.632,0.191,0,A,B,A,A
2023.75,NL,Entreprises,Importations,0.006999999999999999,0.166,0.017,0.81,A,A,A,A
2023.75,NL,Entreprises,Exportations,0.01,0.11,0.013000000000000001,0.868,A,A,A,A
2023.75,NL,Entreprises,Résultat opérationnel,0.134,0.564,0.302,0,A,B,B,A
2023.75,NL,Entreprises,Dépenses opérationnelles,0.40399999999999997,0.48200000000000004,0.114,0,B,B,A,A
2023.75,NL,Entreprises,Rentabilité,0.075,0.583,0.342,0,A,B,B,A
2023.75,NL,Entreprises,Réserves de trésorerie,0.061,0.563,0.26899999999999996,0.106,A,B,A,A
2023.75,NL,Entreprises,Dépenses en capital,0.17,0.617,0.109,0.105,A,B,A,A
2023.75,NL,Entreprises,Dépenses liées à la formation,0.092,0.514,0.069,0.326,A,B,A,B
2023.75,NL,Entreprises,Budget de marketing,0.11,0.573,0.071,0.24600000000000002,A,B,A,A
2023.75,NL,Entreprises,Dépenses liées à la recherche et au développement,0.013999999999999999,0.281,0.063,0.643,A,A,A,B
2023.75,NL,Organismes communautaires à but non lucratif,Nombre d'employés,0.064,0.883,0.053,0,A,B,B,A
2023.75,NL,Organismes communautaires à but non lucratif,Postes vacants,0.023,0.599,0.022000000000000002,0.35600000000000004,A,D,A,D
2023.75,NL,Organismes communautaires à but non lucratif,Ventes,0.061,0.531,0.055,0.353,A,D,A,C
2023.75,NL,Organismes communautaires à but non lucratif,Prix de vente,0.06,0.631,0.002,0.306,A,C,A,C
2023.75,NL,Organismes communautaires à but non lucratif,Demande,0.375,0.5660000000000001,0.059000000000000004,0,D,D,A,A
2023.75,NL,Organismes communautaires à but non lucratif,Importations,0,0.055,0.005,0.9390000000000001,A,A,A,A
2023.75,NL,Organismes communautaires à but non lucratif,Exportations,0,0.019,0.008,0.973,A,A,A,A
2023.75,NL,Organismes communautaires à but non lucratif,Résultat opérationnel,0.057,0.8320000000000001,0.11,0,A,B,B,A
2023.75,NL,Organismes communautaires à but non lucratif,Dépenses opérationnelles,0.303,0.659,0.037000000000000005,0,C,C,A,A
2023.75,NL,Organismes communautaires à but non lucratif,Rentabilité,0.025,0.45399999999999996,0.225,0.29600000000000004,A,C,C,C
2023.75,NL,Organismes communautaires à but non lucratif,Réserves de trésorerie,0.017,0.602,0.18899999999999997,0.192,A,D,C,C
2023.75,NL,Organismes communautaires à but non lucratif,Dépenses en capital,0.08199999999999999,0.525,0.062,0.331,B,D,A,D
2023.75,NL,Organismes communautaires à but non lucratif,Dépenses liées à la formation,0.18100000000000002,0.462,0.012,0.345,C,C,A,C
2023.75,NL,Organismes communautaires à but non lucratif,Budget de marketing,0.062,0.535,0.062,0.342,A,C,B,C
2023.75,NL,Organismes communautaires à but non lucratif,Dépenses liées à la recherche et au développement,0.039,0.253,0.011000000000000001,0.6970000000000001,A,C,A,C
2023.75,NL,Institutions commerciales à but non lucratif,Nombre d'employés,0.069,0.858,0.073,0,B,C,B,A
2023.75,NL,Institutions commerciales à but non lucratif,Postes vacants,0.012,NA,0.03,NA,A,NA,A,NA
2023.75,NL,Institutions commerciales à but non lucratif,Ventes,0,NA,0.021,NA,A,NA,A,NA
2023.75,NL,Institutions commerciales à but non lucratif,Prix de vente,0,NA,0,NA,A,NA,A,NA
2023.75,NL,Institutions commerciales à but non lucratif,Demande,0.079,0.912,0.009000000000000001,0,C,C,A,A
2023.75,NL,Institutions commerciales à but non lucratif,Importations,0,0.081,0,0.919,A,B,A,B
2023.75,NL,Institutions commerciales à but non lucratif,Exportations,0,0.042,0.03,0.9279999999999999,A,B,A,B
2023.75,NL,Institutions commerciales à but non lucratif,Résultat opérationnel,NA,NA,0.10099999999999999,0,NA,NA,D,A
2023.75,NL,Institutions commerciales à but non lucratif,Dépenses opérationnelles,NA,NA,0.03,0,NA,NA,B,A
2023.75,NL,Institutions commerciales à but non lucratif,Rentabilité,0.031,NA,0.037000000000000005,NA,B,NA,B,NA
2023.75,NL,Institutions commerciales à but non lucratif,Réserves de trésorerie,0.038,0.9079999999999999,0.012,0.043,A,B,A,B
2023.75,NL,Institutions commerciales à but non lucratif,Dépenses en capital,0.13,NA,0,NA,E,NA,A,NA
2023.75,NL,Institutions commerciales à but non lucratif,Dépenses liées à la formation,0.115,NA,0,NA,D,NA,A,NA
2023.75,NL,Institutions commerciales à but non lucratif,Budget de marketing,0.005,NA,0,NA,A,NA,A,NA
2023.75,NL,Institutions commerciales à but non lucratif,Dépenses liées à la recherche et au développement,0,0.292,0,0.708,A,E,A,E
2023.75,PE,Institutions gouvernementales,Nombre d'employés,0.405,0.595,0,0,E,E,A,A
2023.75,PE,Institutions gouvernementales,Postes vacants,0,0.626,0.316,0.057999999999999996,A,E,E,B
2023.75,PE,Institutions gouvernementales,Ventes,0,0.332,0.16,0.508,A,E,E,E
2023.75,PE,Institutions gouvernementales,Prix de vente,0.022000000000000002,0.506,0,0.473,A,E,A,E
2023.75,PE,Institutions gouvernementales,Demande,0.284,0.716,0,0,E,E,A,A
2023.75,PE,Institutions gouvernementales,Importations,0,0,0,1,A,A,A,A
2023.75,PE,Institutions gouvernementales,Exportations,0,0,0,1,A,A,A,A
2023.75,PE,Institutions gouvernementales,Résultat opérationnel,0.055,0.763,0.182,0,B,E,E,A
2023.75,PE,Institutions gouvernementales,Dépenses opérationnelles,0.284,0.716,0,0,E,E,A,A
2023.75,PE,Institutions gouvernementales,Rentabilité,0,0.40299999999999997,0.182,0.414,A,E,E,E
2023.75,PE,Institutions gouvernementales,Réserves de trésorerie,0,0.40299999999999997,0.182,0.414,A,E,E,E
2023.75,PE,Institutions gouvernementales,Dépenses en capital,0.077,0.498,0.16,0.265,B,E,E,E
2023.75,PE,Institutions gouvernementales,Dépenses liées à la formation,0.414,0.39,0.16,0.036000000000000004,E,E,E,A
2023.75,PE,Institutions gouvernementales,Budget de marketing,0.043,0.26,0.16,0.536,B,D,E,E
2023.75,PE,Institutions gouvernementales,Dépenses liées à la recherche et au développement,0.055999999999999994,0.098,0.16,0.6859999999999999,C,C,E,E
2023.75,PE,Entreprises,Nombre d'employés,0.08199999999999999,0.7609999999999999,0.157,0,A,A,A,A
2023.75,PE,Entreprises,Postes vacants,0.043,0.584,0.079,0.295,A,B,A,B
2023.75,PE,Entreprises,Ventes,0.133,0.6779999999999999,0.188,0,A,B,A,A
2023.75,PE,Entreprises,Prix de vente,0.195,0.713,0.092,0,A,A,A,A
2023.75,PE,Entreprises,Demande,0.162,0.659,0.179,0,A,B,A,A
2023.75,PE,Entreprises,Importations,0.006999999999999999,0.214,0.04,0.74,A,A,A,A
2023.75,PE,Entreprises,Exportations,0.012,0.162,0.011000000000000001,0.815,A,A,A,A
2023.75,PE,Entreprises,Résultat opérationnel,0.166,0.596,0.23800000000000002,0,A,B,B,A
2023.75,PE,Entreprises,Dépenses opérationnelles,0.37,0.521,0.109,0,B,B,A,A
2023.75,PE,Entreprises,Rentabilité,0.1,0.5539999999999999,0.34600000000000003,0,A,B,B,A
2023.75,PE,Entreprises,Réserves de trésorerie,0.096,0.515,0.295,0.094,A,B,B,A
2023.75,PE,Entreprises,Dépenses en capital,0.192,0.603,0.1,0.105,B,B,A,A
2023.75,PE,Entreprises,Dépenses liées à la formation,0.10400000000000001,0.532,0.07,0.294,A,B,A,B
2023.75,PE,Entreprises,Budget de marketing,0.055,0.5579999999999999,0.113,0.27399999999999997,A,B,A,B
2023.75,PE,Entreprises,Dépenses liées à la recherche et au développement,0.051,0.3,0.055999999999999994,0.593,A,B,A,B
2023.75,PE,Organismes communautaires à but non lucratif,Nombre d'employés,0.193,0.684,0.12300000000000001,0,C,D,C,A
2023.75,PE,Organismes communautaires à but non lucratif,Postes vacants,0.026000000000000002,0.45,0.07,0.45399999999999996,A,C,B,C
2023.75,PE,Organismes communautaires à but non lucratif,Ventes,0.113,0.385,0.09300000000000001,0.409,C,C,B,C
2023.75,PE,Organismes communautaires à but non lucratif,Prix de vente,0.068,0.545,0.044000000000000004,0.34299999999999997,B,C,B,C
2023.75,PE,Organismes communautaires à but non lucratif,Demande,0.252,0.684,0.064,0,D,D,A,A
2023.75,PE,Organismes communautaires à but non lucratif,Importations,0,0.078,0,0.922,A,B,A,B
2023.75,PE,Organismes communautaires à but non lucratif,Exportations,0,0.06,0,0.94,A,B,A,B
2023.75,PE,Organismes communautaires à but non lucratif,Résultat opérationnel,0.079,0.745,0.17600000000000002,0,B,C,C,A
2023.75,PE,Organismes communautaires à but non lucratif,Dépenses opérationnelles,0.483,0.495,0.021,0,D,D,A,A
2023.75,PE,Organismes communautaires à but non lucratif,Rentabilité,0.01,0.37799999999999995,0.156,0.456,A,C,C,C
2023.75,PE,Organismes communautaires à but non lucratif,Réserves de trésorerie,0.038,0.59,0.258,0.114,A,D,D,B
2023.75,PE,Organismes communautaires à but non lucratif,Dépenses en capital,0.217,0.573,0.02,0.19,C,D,A,C
2023.75,PE,Organismes communautaires à but non lucratif,Dépenses liées à la formation,0.139,0.507,0.044000000000000004,0.31,C,C,B,C
2023.75,PE,Organismes communautaires à but non lucratif,Budget de marketing,0.096,0.496,0.013000000000000001,0.395,C,C,A,D
2023.75,PE,Organismes communautaires à but non lucratif,Dépenses liées à la recherche et au développement,0.019,0.243,0,0.738,A,C,A,C
2023.75,PE,Institutions commerciales à but non lucratif,Nombre d'employés,0.03,0.855,0.115,0,B,C,C,A
2023.75,PE,Institutions commerciales à but non lucratif,Postes vacants,0,0.423,0.03,0.547,A,E,B,E
2023.75,PE,Institutions commerciales à but non lucratif,Ventes,0,0.45899999999999996,0.061,0.48,A,E,B,E
2023.75,PE,Institutions commerciales à but non lucratif,Prix de vente,0.13,0.29600000000000004,0,0.575,E,E,A,E
2023.75,PE,Institutions commerciales à but non lucratif,Demande,NA,NA,0.053,0,NA,NA,A,A
2023.75,PE,Institutions commerciales à but non lucratif,Importations,0,0.32,0.006999999999999999,0.6729999999999999,A,E,A,E
2023.75,PE,Institutions commerciales à but non lucratif,Exportations,0,NA,0.03,0.68,A,NA,B,E
2023.75,PE,Institutions commerciales à but non lucratif,Résultat opérationnel,0.14,0.813,0.047,0,E,E,A,A
2023.75,PE,Institutions commerciales à but non lucratif,Dépenses opérationnelles,0.297,0.6609999999999999,0.042,0,E,E,A,A
2023.75,PE,Institutions commerciales à but non lucratif,Rentabilité,0,0.6990000000000001,0.039,0.262,A,E,A,D
2023.75,PE,Institutions commerciales à but non lucratif,Réserves de trésorerie,0.03,0.561,0.34299999999999997,0.065,B,E,E,B
2023.75,PE,Institutions commerciales à but non lucratif,Dépenses en capital,0,0.496,NA,0.152,A,E,NA,C
2023.75,PE,Institutions commerciales à but non lucratif,Dépenses liées à la formation,0.166,0.677,0.025,0.132,E,E,A,C
2023.75,PE,Institutions commerciales à but non lucratif,Budget de marketing,0.039,0.8140000000000001,0.025,0.122,B,C,A,C
2023.75,PE,Institutions commerciales à but non lucratif,Dépenses liées à la recherche et au développement,0.006999999999999999,0.623,0.011000000000000001,0.36,A,E,A,E
2023.75,NS,Institutions gouvernementales,Nombre d'employés,0,1,0,0,A,A,A,A
2023.75,NS,Institutions gouvernementales,Postes vacants,0.14400000000000002,0.7979999999999999,0,0.057999999999999996,E,E,A,C
2023.75,NS,Institutions gouvernementales,Ventes,0.153,NA,0,NA,E,NA,A,NA
2023.75,NS,Institutions gouvernementales,Prix de vente,0.153,NA,0,NA,E,NA,A,NA
2023.75,NS,Institutions gouvernementales,Demande,0.153,0.825,0.022000000000000002,0,E,E,A,A
2023.75,NS,Institutions gouvernementales,Importations,0,0.355,0,0.645,A,E,A,E
2023.75,NS,Institutions gouvernementales,Exportations,0,0.16699999999999998,0,0.833,A,E,A,E
2023.75,NS,Institutions gouvernementales,Résultat opérationnel,0.113,0.887,0,0,D,D,A,A
2023.75,NS,Institutions gouvernementales,Dépenses opérationnelles,0.267,0.733,0,0,E,E,A,A
2023.75,NS,Institutions gouvernementales,Rentabilité,0,NA,0,NA,A,NA,A,NA
2023.75,NS,Institutions gouvernementales,Réserves de trésorerie,NA,NA,0,0.07,NA,NA,A,C
2023.75,NS,Institutions gouvernementales,Dépenses en capital,NA,NA,0,0.087,NA,NA,A,C
2023.75,NS,Institutions gouvernementales,Dépenses liées à la formation,NA,NA,0,0.136,NA,NA,A,D
2023.75,NS,Institutions gouvernementales,Budget de marketing,0,NA,0,NA,A,NA,A,NA
2023.75,NS,Institutions gouvernementales,Dépenses liées à la recherche et au développement,0,NA,0,NA,A,NA,A,NA
2023.75,NS,Entreprises,Nombre d'employés,0.105,0.753,0.142,0,A,A,A,A
2023.75,NS,Entreprises,Postes vacants,0.062,0.604,0.051,0.284,A,A,A,A
2023.75,NS,Entreprises,Ventes,0.184,0.622,0.195,0,A,A,A,A
2023.75,NS,Entreprises,Prix de vente,0.292,0.647,0.061,0,A,A,A,A
2023.75,NS,Entreprises,Demande,0.21899999999999997,0.607,0.174,0,A,A,A,A
2023.75,NS,Entreprises,Importations,0.023,0.161,0.03,0.7859999999999999,A,A,A,A
2023.75,NS,Entreprises,Exportations,0.013000000000000001,0.147,0.013999999999999999,0.826,A,A,A,A
2023.75,NS,Entreprises,Résultat opérationnel,0.2,0.565,0.23399999999999999,0,A,A,A,A
2023.75,NS,Entreprises,Dépenses opérationnelles,0.465,0.44799999999999995,0.087,0,B,A,A,A
2023.75,NS,Entreprises,Rentabilité,0.109,0.525,0.366,0,A,B,B,A
2023.75,NS,Entreprises,Réserves de trésorerie,0.10800000000000001,0.52,0.289,0.083,A,A,A,A
2023.75,NS,Entreprises,Dépenses en capital,0.19399999999999998,0.557,0.10300000000000001,0.147,A,B,A,A
2023.75,NS,Entreprises,Dépenses liées à la formation,0.149,0.509,0.034,0.308,A,A,A,A
2023.75,NS,Entreprises,Budget de marketing,0.08,0.56,0.076,0.285,A,A,A,A
2023.75,NS,Entreprises,Dépenses liées à la recherche et au développement,0.046,0.28800000000000003,0.018000000000000002,0.648,A,A,A,A
2023.75,NS,Organismes communautaires à but non lucratif,Nombre d'employés,0.077,0.836,0.087,0,A,B,B,A
2023.75,NS,Organismes communautaires à but non lucratif,Postes vacants,0.107,0.461,0.049,0.38299999999999995,C,D,A,C
2023.75,NS,Organismes communautaires à but non lucratif,Ventes,0.127,0.175,0.057,0.6409999999999999,C,B,A,C
2023.75,NS,Organismes communautaires à but non lucratif,Prix de vente,0.054000000000000006,0.27,0.002,0.674,A,C,A,C
2023.75,NS,Organismes communautaires à but non lucratif,Demande,0.23,0.731,0.039,0,C,C,A,A
2023.75,NS,Organismes communautaires à but non lucratif,Importations,0,0.025,0.003,0.972,A,A,A,A
2023.75,NS,Organismes communautaires à but non lucratif,Exportations,0.004,0.033,0.006,0.9570000000000001,A,A,A,A
2023.75,NS,Organismes communautaires à but non lucratif,Résultat opérationnel,0.168,0.72,0.11199999999999999,0,C,C,B,A
2023.75,NS,Organismes communautaires à but non lucratif,Dépenses opérationnelles,0.397,0.562,0.04,0,C,C,A,A
2023.75,NS,Organismes communautaires à but non lucratif,Rentabilité,0.086,0.31,0.129,0.475,C,C,B,C
2023.75,NS,Organismes communautaires à but non lucratif,Réserves de trésorerie,0.025,0.578,0.2,0.198,A,C,B,C
2023.75,NS,Organismes communautaires à but non lucratif,Dépenses en capital,0.193,0.479,0.013000000000000001,0.315,C,C,A,C
2023.75,NS,Organismes communautaires à but non lucratif,Dépenses liées à la formation,0.114,0.515,0.078,0.293,B,C,B,C
2023.75,NS,Organismes communautaires à but non lucratif,Budget de marketing,0.03,0.537,0.08800000000000001,0.344,A,C,B,C
2023.75,NS,Organismes communautaires à but non lucratif,Dépenses liées à la recherche et au développement,0.013000000000000001,0.145,0.046,0.7959999999999999,A,B,B,B
2023.75,NS,Institutions commerciales à but non lucratif,Nombre d'employés,0.069,0.895,0.035,0,B,B,A,A
2023.75,NS,Institutions commerciales à but non lucratif,Postes vacants,0.017,0.713,0.032,0.237,A,E,A,E
2023.75,NS,Institutions commerciales à but non lucratif,Ventes,0.022000000000000002,0.223,0.039,0.716,A,E,B,E
2023.75,NS,Institutions commerciales à but non lucratif,Prix de vente,0.047,0.20199999999999999,0,0.7509999999999999,A,D,A,E
2023.75,NS,Institutions commerciales à but non lucratif,Demande,0.695,0.261,0.044000000000000004,0,E,E,B,A
2023.75,NS,Institutions commerciales à but non lucratif,Importations,0.01,0.08900000000000001,0,0.9009999999999999,A,D,A,D
2023.75,NS,Institutions commerciales à but non lucratif,Exportations,0.01,0.08,0.013000000000000001,0.898,A,D,A,D
2023.75,NS,Institutions commerciales à but non lucratif,Résultat opérationnel,0.19899999999999998,0.732,0.069,0,E,E,B,A
2023.75,NS,Institutions commerciales à but non lucratif,Dépenses opérationnelles,NA,NA,0.026000000000000002,0,NA,NA,A,A
2023.75,NS,Institutions commerciales à but non lucratif,Rentabilité,0.013999999999999999,NA,0.057,NA,A,NA,B,NA
2023.75,NS,Institutions commerciales à but non lucratif,Réserves de trésorerie,0.017,NA,NA,0.055999999999999994,A,NA,NA,B
2023.75,NS,Institutions commerciales à but non lucratif,Dépenses en capital,NA,NA,0.024,0.222,NA,NA,A,E
2023.75,NS,Institutions commerciales à but non lucratif,Dépenses liées à la formation,0.057,NA,0.008,NA,B,NA,A,NA
2023.75,NS,Institutions commerciales à but non lucratif,Budget de marketing,0.022000000000000002,NA,0.03,NA,A,NA,A,NA
2023.75,NS,Institutions commerciales à but non lucratif,Dépenses liées à la recherche et au développement,0.015,NA,0.004,NA,A,NA,A,NA
2023.75,NB,Institutions gouvernementales,Nombre d'employés,NA,NA,0,0,NA,NA,A,A
2023.75,NB,Institutions gouvernementales,Postes vacants,0.042,0.855,0.045,0.057,B,E,B,B
2023.75,NB,Institutions gouvernementales,Ventes,NA,NA,0,0.142,NA,NA,A,D
2023.75,NB,Institutions gouvernementales,Prix de vente,0.013000000000000001,0.845,0,0.142,A,E,A,D
2023.75,NB,Institutions gouvernementales,Demande,0.057,0.943,0,0,B,B,A,A
2023.75,NB,Institutions gouvernementales,Importations,0,0.838,0,0.162,A,E,A,E
2023.75,NB,Institutions gouvernementales,Exportations,0,0.825,0,0.175,A,E,A,E
2023.75,NB,Institutions gouvernementales,Résultat opérationnel,0.013000000000000001,0.987,0,0,A,A,A,A
2023.75,NB,Institutions gouvernementales,Dépenses opérationnelles,NA,NA,0,0,NA,NA,A,A
2023.75,NB,Institutions gouvernementales,Rentabilité,0,0.943,0,0.057,A,B,A,B
2023.75,NB,Institutions gouvernementales,Réserves de trésorerie,0,0.873,0,0.127,A,D,A,D
2023.75,NB,Institutions gouvernementales,Dépenses en capital,0.02,0.924,0.013000000000000001,0.042,A,C,A,B
2023.75,NB,Institutions gouvernementales,Dépenses liées à la formation,0,0.845,0.013000000000000001,0.142,A,E,A,D
