Group,Attribute,Year,QuestionNo,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Province,Region,Marker
Groupe d'âge,75 ans et plus,2013,agegr10_7 / vd1dhrs,0.069697,42.70324,0.011221,0.128173,20,Percentage of donations,Percentage of total donations,NL,10,...
Fréquence de la fréquentation religieuse,Au moins 3 fois par mois,2013,ree_02_3 / vd1dhrs,0.213357,32.36588,0.077683,0.349032,58,Percentage of donations,Percentage of total donations,NL,10,*
Fréquence de la fréquentation religieuse,Au moins 1 fois par mois,2013,ree_02_2 / vd1dhrs,0.131296,33.20638,0.045637,0.216956,58,Percentage of donations,Percentage of total donations,NL,10,*
Fréquence de la fréquentation religieuse,Au moins 1 fois par semaine,2013,ree_02_1 / vd1dhrs,0.380954,15.7069,0.263392,0.498516,108,Percentage of donations,Percentage of total donations,NL,10,
Situation d'activité,Employé.e,2013,dlfs_1 / vd1dhrs,0.493176,12.03289,0.376582,0.60977,224,Percentage of donations,Percentage of total donations,NL,10,
Genre,Femmes,2013,sex_2 / vd1dhrs,0.569317,10.19838,0.455243,0.683392,259,Percentage of donations,Percentage of total donations,NL,10,
Éducation,Diplôme d'études secondaires,2013,dh1ged_2 / vd1dhrs,0.214779,22.0759,0.121622,0.307935,80,Percentage of donations,Percentage of total donations,NL,10,*
Catégorie de revenu personnel,Moins de 20 000 $,2013,incg1_1 / vd1dhrs,0.419401,14.44792,0.300349,0.538453,127,Percentage of donations,Percentage of total donations,NL,10,
Catégorie de revenu familial,Moins de 20 000 $,2013,hhincg1_1 / vd1dhrs,0.038149,36.94757,0.010456,0.065843,32,Percentage of donations,Percentage of total donations,NL,10,...
Éducation,Sans diplôme d'études secondaires,2013,dh1ged_1 / vd1dhrs,0.147414,31.0371,0.057522,0.237307,58,Percentage of donations,Percentage of total donations,NL,10,*
Genre,Hommes,2013,sex_1 / vd1dhrs,0.430683,13.48119,0.316608,0.544757,166,Percentage of donations,Percentage of total donations,NL,10,
État civil,Marié.e/union de fait,2013,marstat2_1 / vd1dhrs,0.718566,6.463196,0.627319,0.809812,275,Percentage of donations,Percentage of total donations,NL,10,
Statut d'immigration,Né.e au Canada,2013,dcit2_1 / vd1dhrs,0.987282,0.632961,0.975004,0.999559,368,Percentage of donations,Percentage of total donations,NL,10,
Statut d'immigration,Naturalisé.e,2013,dcit2_2 / vd1dhrs,0.010051,59.60313,-0.00172,0.021821,9,Percentage of donations,Percentage of total donations,NL,10,...
Statut d'immigration,Non canadien.ne,2013,dcit2_3 / vd1dhrs,0.002668,55.00316,-0.00022,0.00555,6,Percentage of donations,Percentage of total donations,NL,10,...
Fréquence de la fréquentation religieuse,Pas du tout,2013,ree_02_5 / vd1dhrs,0.175138,22.45587,0.097868,0.252409,99,Percentage of donations,Percentage of total donations,NL,10,*
Situation d'activité,Pas dans la population active,2013,dlfs_3 / vd1dhrs,0.483857,12.51075,0.364924,0.60279,148,Percentage of donations,Percentage of total donations,NL,10,
Fréquence de la fréquentation religieuse,1 ou 2 fois par an,2013,ree_02_4 / vd1dhrs,0.099254,22.44422,0.055486,0.143022,65,Percentage of donations,Percentage of total donations,NL,10,*
Éducation,Diplôme post-secondaire,2013,dh1ged_3 / vd1dhrs,0.380579,16.96382,0.253735,0.507423,140,Percentage of donations,Percentage of total donations,NL,10,*
État civil,Séparé.e/divorcé.e,2013,marstat2_2 / vd1dhrs,0.06134,34.71241,0.019506,0.103174,37,Percentage of donations,Percentage of total donations,NL,10,...
État civil,"Célibataire, jamais marié.e",2013,marstat2_4 / vd1dhrs,0.175485,22.14873,0.09912,0.251849,80,Percentage of donations,Percentage of total donations,NL,10,*
Situation d'activité,Au chômage,2013,dlfs_2 / vd1dhrs,0.022967,38.42861,0.005627,0.040308,17,Percentage of donations,Percentage of total donations,NL,10,...
Éducation,Diplôme universtaire,2013,dh1ged_4 / vd1dhrs,0.257228,19.78905,0.157218,0.357239,111,Percentage of donations,Percentage of total donations,NL,10,*
État civil,Veuf.ve,2013,marstat2_3 / vd1dhrs,0.044609,36.58619,0.012543,0.076675,33,Percentage of donations,Percentage of total donations,NL,10,...
Catégorie de revenu personnel,100 000 $ à 119 999 $,2013,incg1_6 / vd1dhrs,0.004284,55.447,-0.00038,0.008951,4,Percentage of donations,Percentage of total donations,PE,11,...
Catégorie de revenu familial,100 000 $ à 119 999 $,2013,hhincg1_6 / vd1dhrs,0.097934,38.06182,0.024698,0.17117,37,Percentage of donations,Percentage of total donations,PE,11,...
Catégorie de revenu personnel,120 000 $ et plus,2013,incg1_7 / vd1dhrs,0.018494,43.29064,0.002764,0.034224,15,Percentage of donations,Percentage of total donations,PE,11,...
Catégorie de revenu familial,120 000 $ à 139 999 $,2013,hhincg1_7 / vd1dhrs,0.051331,42.14872,0.008823,0.093838,28,Percentage of donations,Percentage of total donations,PE,11,...
Catégorie de revenu familial,140 000 $ et plus,2013,hhincg1_8 / vd1dhrs,0.130148,26.02094,0.063611,0.196684,48,Percentage of donations,Percentage of total donations,PE,11,*
Catégorie de revenu personnel,20 000 $ à 39 999 $,2013,incg1_2 / vd1dhrs,0.281955,16.92366,0.188204,0.375707,122,Percentage of donations,Percentage of total donations,PE,11,*
Catégorie de revenu familial,20 000 $ à 39 999 $,2013,hhincg1_2 / vd1dhrs,0.162228,28.38065,0.071769,0.252688,75,Percentage of donations,Percentage of total donations,PE,11,*
Catégorie de revenu personnel,40 000 $ à 59 999 $,2013,incg1_3 / vd1dhrs,0.269089,18.90075,0.169163,0.369015,97,Percentage of donations,Percentage of total donations,PE,11,*
Catégorie de revenu familial,40 000 $ à 59 999 $,2013,hhincg1_3 / vd1dhrs,0.095092,24.92301,0.048529,0.141656,74,Percentage of donations,Percentage of total donations,PE,11,*
Catégorie de revenu personnel,60 000 $ à 79 999 $,2013,incg1_4 / vd1dhrs,0.051435,27.11572,0.024033,0.078837,52,Percentage of donations,Percentage of total donations,PE,11,*
Catégorie de revenu familial,60 000 $ à 79 999 $,2013,hhincg1_4 / vd1dhrs,0.24349,20.39493,0.145922,0.341058,73,Percentage of donations,Percentage of total donations,PE,11,*
Catégorie de revenu personnel,80 000 $ à 99 999 $,2013,incg1_5 / vd1dhrs,0.028912,32.72076,0.010325,0.047499,25,Percentage of donations,Percentage of total donations,PE,11,...
Catégorie de revenu familial,80 000 $ à 99 999 $,2013,hhincg1_5 / vd1dhrs,0.18732,26.64625,0.089253,0.285387,61,Percentage of donations,Percentage of total donations,PE,11,*
Groupe d'âge,15 à 24 ans,2013,agegr10_1 / vd1dhrs,0.131272,24.47452,0.068149,0.194395,26,Percentage of donations,Percentage of total donations,PE,11,...
Groupe d'âge,25 à 34 ans,2013,agegr10_2 / vd1dhrs,0.066486,35.1782,0.020534,0.112438,37,Percentage of donations,Percentage of total donations,PE,11,...
Groupe d'âge,35 à 44 ans,2013,agegr10_3 / vd1dhrs,0.185516,23.57297,0.099595,0.271437,57,Percentage of donations,Percentage of total donations,PE,11,*
Groupe d'âge,45 à 54 ans,2013,agegr10_4 / vd1dhrs,0.177421,21.61619,0.10207,0.252771,78,Percentage of donations,Percentage of total donations,PE,11,*
Groupe d'âge,55 à 64 ans,2013,agegr10_5 / vd1dhrs,0.1638,24.46103,0.085079,0.242521,97,Percentage of donations,Percentage of total donations,PE,11,*
Groupe d'âge,65 à 74 ans,2013,agegr10_6 / vd1dhrs,0.252752,18.10977,0.162821,0.342684,88,Percentage of donations,Percentage of total donations,PE,11,*
Groupe d'âge,75 ans et plus,2013,agegr10_7 / vd1dhrs,0.022753,28.06951,0.010205,0.035302,45,Percentage of donations,Percentage of total donations,PE,11,*
Fréquence de la fréquentation religieuse,Au moins 3 fois par mois,2013,ree_02_3 / vd1dhrs,0.070849,39.96158,0.015223,0.126475,42,Percentage of donations,Percentage of total donations,PE,11,...
Fréquence de la fréquentation religieuse,Au moins 1 fois par mois,2013,ree_02_2 / vd1dhrs,0.10717,24.61436,0.055342,0.158997,64,Percentage of donations,Percentage of total donations,PE,11,*
Fréquence de la fréquentation religieuse,Au moins 1 fois par semaine,2013,ree_02_1 / vd1dhrs,0.475189,11.90163,0.364073,0.586304,162,Percentage of donations,Percentage of total donations,PE,11,
Situation d'activité,Employé.e,2013,dlfs_1 / vd1dhrs,0.535826,11.37753,0.416049,0.655603,237,Percentage of donations,Percentage of total donations,PE,11,
Genre,Femmes,2013,sex_2 / vd1dhrs,0.531961,9.51842,0.432479,0.631444,250,Percentage of donations,Percentage of total donations,PE,11,
Éducation,Diplôme d'études secondaires,2013,dh1ged_2 / vd1dhrs,0.274793,19.15132,0.171396,0.378189,99,Percentage of donations,Percentage of total donations,PE,11,*
Catégorie de revenu personnel,Moins de 20 000 $,2013,incg1_1 / vd1dhrs,0.345831,15.22878,0.242357,0.449305,113,Percentage of donations,Percentage of total donations,PE,11,
Catégorie de revenu familial,Moins de 20 000 $,2013,hhincg1_1 / vd1dhrs,0.032457,33.21224,0.011278,0.053636,32,Percentage of donations,Percentage of total donations,PE,11,*
Éducation,Sans diplôme d'études secondaires,2013,dh1ged_1 / vd1dhrs,0.091583,35.54019,0.027633,0.155532,36,Percentage of donations,Percentage of total donations,PE,11,...
Genre,Hommes,2013,sex_1 / vd1dhrs,0.468039,10.81841,0.368556,0.567521,178,Percentage of donations,Percentage of total donations,PE,11,
État civil,Marié.e/union de fait,2013,marstat2_1 / vd1dhrs,0.700518,6.527,0.610685,0.790351,258,Percentage of donations,Percentage of total donations,PE,11,
Statut d'immigration,Né.e au Canada,2013,dcit2_1 / vd1dhrs,0.877283,5.132516,0.788818,0.965748,378,Percentage of donations,Percentage of total donations,PE,11,
Statut d'immigration,Naturalisé.e,2013,dcit2_2 / vd1dhrs,0.071614,55.5353,-0.00653,0.149753,19,Percentage of donations,Percentage of total donations,PE,11,...
Statut d'immigration,Non canadien.ne,2013,dcit2_3 / vd1dhrs,0.051103,47.16343,0.003749,0.098457,10,Percentage of donations,Percentage of total donations,PE,11,...
Fréquence de la fréquentation religieuse,Pas du tout,2013,ree_02_5 / vd1dhrs,0.1923,25.70217,0.095193,0.289407,90,Percentage of donations,Percentage of total donations,PE,11,*
Situation d'activité,Pas dans la population active,2013,dlfs_3 / vd1dhrs,0.413784,15.09024,0.291104,0.536464,150,Percentage of donations,Percentage of total donations,PE,11,
Fréquence de la fréquentation religieuse,1 ou 2 fois par an,2013,ree_02_4 / vd1dhrs,0.154494,27.40813,0.071299,0.237688,49,Percentage of donations,Percentage of total donations,PE,11,*
Éducation,Diplôme post-secondaire,2013,dh1ged_3 / vd1dhrs,0.368775,14.92273,0.260653,0.476896,148,Percentage of donations,Percentage of total donations,PE,11,
État civil,Séparé.e/divorcé.e,2013,marstat2_2 / vd1dhrs,0.072123,35.26517,0.022151,0.122094,47,Percentage of donations,Percentage of total donations,PE,11,...
État civil,"Célibataire, jamais marié.e",2013,marstat2_4 / vd1dhrs,0.191688,20.25069,0.115421,0.267955,72,Percentage of donations,Percentage of total donations,PE,11,*
Situation d'activité,Au chômage,2013,dlfs_2 / vd1dhrs,0.05039,46.59172,0.004263,0.096517,20,Percentage of donations,Percentage of total donations,PE,11,...
Éducation,Diplôme universtaire,2013,dh1ged_4 / vd1dhrs,0.26485,18.16525,0.170326,0.359374,123,Percentage of donations,Percentage of total donations,PE,11,*
État civil,Veuf.ve,2013,marstat2_3 / vd1dhrs,0.035671,29.53376,0.014973,0.05637,50,Percentage of donations,Percentage of total donations,PE,11,*
Catégorie de revenu personnel,100 000 $ à 119 999 $,2013,incg1_6 / vd1dhrs,0.026439,39.03149,0.006164,0.046714,20,Percentage of donations,Percentage of total donations,NS,12,...
Catégorie de revenu familial,100 000 $ à 119 999 $,2013,hhincg1_6 / vd1dhrs,0.095075,22.76244,0.052555,0.137594,69,Percentage of donations,Percentage of total donations,NS,12,*
Catégorie de revenu personnel,120 000 $ et plus,2013,incg1_7 / vd1dhrs,0.022969,48.37357,0.001139,0.0448,17,Percentage of donations,Percentage of total donations,NS,12,...
Catégorie de revenu familial,120 000 $ à 139 999 $,2013,hhincg1_7 / vd1dhrs,0.054654,26.67348,0.026012,0.083296,49,Percentage of donations,Percentage of total donations,NS,12,*
Catégorie de revenu familial,140 000 $ et plus,2013,hhincg1_8 / vd1dhrs,0.163665,22.41458,0.091589,0.235741,82,Percentage of donations,Percentage of total donations,NS,12,*
Catégorie de revenu personnel,20 000 $ à 39 999 $,2013,incg1_2 / vd1dhrs,0.210315,16.01746,0.144129,0.276501,147,Percentage of donations,Percentage of total donations,NS,12,
Catégorie de revenu familial,20 000 $ à 39 999 $,2013,hhincg1_2 / vd1dhrs,0.14129,23.26363,0.076711,0.205868,100,Percentage of donations,Percentage of total donations,NS,12,*
Catégorie de revenu personnel,40 000 $ à 59 999 $,2013,incg1_3 / vd1dhrs,0.158565,19.50386,0.097803,0.219327,125,Percentage of donations,Percentage of total donations,NS,12,*
Catégorie de revenu familial,40 000 $ à 59 999 $,2013,hhincg1_3 / vd1dhrs,0.222843,34.85366,0.070245,0.375442,104,Percentage of donations,Percentage of total donations,NS,12,...
Catégorie de revenu personnel,60 000 $ à 79 999 $,2013,incg1_4 / vd1dhrs,0.091029,27.36853,0.042081,0.139977,71,Percentage of donations,Percentage of total donations,NS,12,*
Catégorie de revenu familial,60 000 $ à 79 999 $,2013,hhincg1_4 / vd1dhrs,0.157482,28.04033,0.070723,0.244241,78,Percentage of donations,Percentage of total donations,NS,12,*
Catégorie de revenu personnel,80 000 $ à 99 999 $,2013,incg1_5 / vd1dhrs,0.058573,32.12788,0.0216,0.095546,38,Percentage of donations,Percentage of total donations,NS,12,*
Catégorie de revenu familial,80 000 $ à 99 999 $,2013,hhincg1_5 / vd1dhrs,0.117341,26.01898,0.057356,0.177326,65,Percentage of donations,Percentage of total donations,NS,12,*
Groupe d'âge,15 à 24 ans,2013,agegr10_1 / vd1dhrs,0.253413,29.4502,0.106784,0.400043,46,Percentage of donations,Percentage of total donations,NS,12,*
Groupe d'âge,25 à 34 ans,2013,agegr10_2 / vd1dhrs,0.091971,24.43025,0.047826,0.136117,62,Percentage of donations,Percentage of total donations,NS,12,*
Groupe d'âge,35 à 44 ans,2013,agegr10_3 / vd1dhrs,0.138659,16.73407,0.093071,0.184248,101,Percentage of donations,Percentage of total donations,NS,12,*
Groupe d'âge,45 à 54 ans,2013,agegr10_4 / vd1dhrs,0.189342,19.81387,0.115633,0.263051,115,Percentage of donations,Percentage of total donations,NS,12,*
Groupe d'âge,55 à 64 ans,2013,agegr10_5 / vd1dhrs,0.16464,20.46796,0.098432,0.230848,129,Percentage of donations,Percentage of total donations,NS,12,*
Groupe d'âge,65 à 74 ans,2013,agegr10_6 / vd1dhrs,0.11707,19.26514,0.072758,0.161381,93,Percentage of donations,Percentage of total donations,NS,12,*
Groupe d'âge,75 ans et plus,2013,agegr10_7 / vd1dhrs,0.044904,23.52779,0.024147,0.065661,46,Percentage of donations,Percentage of total donations,NS,12,*
Fréquence de la fréquentation religieuse,Au moins 3 fois par mois,2013,ree_02_3 / vd1dhrs,0.076787,26.00173,0.037559,0.116014,59,Percentage of donations,Percentage of total donations,NS,12,*
Fréquence de la fréquentation religieuse,Au moins 1 fois par mois,2013,ree_02_2 / vd1dhrs,0.124417,35.46364,0.037728,0.211106,72,Percentage of donations,Percentage of total donations,NS,12,...
Fréquence de la fréquentation religieuse,Au moins 1 fois par semaine,2013,ree_02_1 / vd1dhrs,0.348102,15.1505,0.244484,0.45172,152,Percentage of donations,Percentage of total donations,NS,12,
Situation d'activité,Employé.e,2013,dlfs_1 / vd1dhrs,0.637829,8.681227,0.529039,0.746619,334,Percentage of donations,Percentage of total donations,NS,12,
Genre,Femmes,2013,sex_2 / vd1dhrs,0.478961,11.88368,0.367132,0.59079,356,Percentage of donations,Percentage of total donations,NS,12,
Éducation,Diplôme d'études secondaires,2013,dh1ged_2 / vd1dhrs,0.210104,23.07325,0.114858,0.30535,123,Percentage of donations,Percentage of total donations,NS,12,*
Catégorie de revenu personnel,Moins de 20 000 $,2013,incg1_1 / vd1dhrs,0.432109,14.808,0.306393,0.557826,174,Percentage of donations,Percentage of total donations,NS,12,
Catégorie de revenu familial,Moins de 20 000 $,2013,hhincg1_1 / vd1dhrs,0.04765,36.37954,0.013592,0.081709,45,Percentage of donations,Percentage of total donations,NS,12,...
Éducation,Sans diplôme d'études secondaires,2013,dh1ged_1 / vd1dhrs,0.21256,38.58735,0.05141,0.37371,62,Percentage of donations,Percentage of total donations,NS,12,...
Genre,Hommes,2013,sex_1 / vd1dhrs,0.521039,10.92398,0.40921,0.632868,236,Percentage of donations,Percentage of total donations,NS,12,
État civil,Marié.e/union de fait,2013,marstat2_1 / vd1dhrs,0.58557,11.30353,0.455524,0.715615,371,Percentage of donations,Percentage of total donations,NS,12,
Statut d'immigration,Né.e au Canada,2013,dcit2_1 / vd1dhrs,0.94372,2.352832,0.900094,0.987345,519,Percentage of donations,Percentage of total donations,NS,12,
Statut d'immigration,Naturalisé.e,2013,dcit2_2 / vd1dhrs,0.046178,47.47074,0.003109,0.089247,26,Percentage of donations,Percentage of total donations,NS,12,...
Statut d'immigration,Non canadien.ne,2013,dcit2_3 / vd1dhrs,0.010103,46.32388,0.000908,0.019297,10,Percentage of donations,Percentage of total donations,NS,12,...
Fréquence de la fréquentation religieuse,Pas du tout,2013,ree_02_5 / vd1dhrs,0.37466,19.17107,0.233541,0.51578,214,Percentage of donations,Percentage of total donations,NS,12,*
Situation d'activité,Pas dans la population active,2013,dlfs_3 / vd1dhrs,0.321974,15.83822,0.221783,0.422165,205,Percentage of donations,Percentage of total donations,NS,12,
Fréquence de la fréquentation religieuse,1 ou 2 fois par an,2013,ree_02_4 / vd1dhrs,0.076034,21.45093,0.04399,0.108079,66,Percentage of donations,Percentage of total donations,NS,12,*
Éducation,Diplôme post-secondaire,2013,dh1ged_3 / vd1dhrs,0.261712,16.45713,0.177091,0.346334,188,Percentage of donations,Percentage of total donations,NS,12,
État civil,Séparé.e/divorcé.e,2013,marstat2_2 / vd1dhrs,0.063884,29.18098,0.027257,0.10051,56,Percentage of donations,Percentage of total donations,NS,12,*
État civil,"Célibataire, jamais marié.e",2013,marstat2_4 / vd1dhrs,0.329422,21.78926,0.188397,0.470448,126,Percentage of donations,Percentage of total donations,NS,12,*
Situation d'activité,Au chômage,2013,dlfs_2 / vd1dhrs,0.040197,38.26336,0.009978,0.070415,25,Percentage of donations,Percentage of total donations,NS,12,...
Éducation,Diplôme universtaire,2013,dh1ged_4 / vd1dhrs,0.315624,15.8776,0.217164,0.414083,189,Percentage of donations,Percentage of total donations,NS,12,
État civil,Veuf.ve,2013,marstat2_3 / vd1dhrs,0.021124,28.00854,0.0095,0.032749,39,Percentage of donations,Percentage of total donations,NS,12,*
Catégorie de revenu personnel,100 000 $ à 119 999 $,2013,incg1_6 / vd1dhrs,0.015818,41.8144,0.002823,0.028812,12,Percentage of donations,Percentage of total donations,NB,13,...
Catégorie de revenu familial,100 000 $ à 119 999 $,2013,hhincg1_6 / vd1dhrs,0.093715,27.16768,0.043693,0.143738,48,Percentage of donations,Percentage of total donations,NB,13,*
Catégorie de revenu personnel,120 000 $ et plus,2013,incg1_7 / vd1dhrs,0.024458,35.16571,0.00756,0.041356,16,Percentage of donations,Percentage of total donations,NB,13,...
Catégorie de revenu familial,120 000 $ à 139 999 $,2013,hhincg1_7 / vd1dhrs,0.064975,25.22786,0.03277,0.097181,43,Percentage of donations,Percentage of total donations,NB,13,*
Catégorie de revenu familial,140 000 $ et plus,2013,hhincg1_8 / vd1dhrs,0.106105,20.63773,0.063082,0.149127,71,Percentage of donations,Percentage of total donations,NB,13,*
Catégorie de revenu personnel,20 000 $ à 39 999 $,2013,incg1_2 / vd1dhrs,0.245103,16.49657,0.165662,0.324544,163,Percentage of donations,Percentage of total donations,NB,13,
Catégorie de revenu familial,20 000 $ à 39 999 $,2013,hhincg1_2 / vd1dhrs,0.144023,34.22335,0.047182,0.240863,73,Percentage of donations,Percentage of total donations,NB,13,...
Catégorie de revenu personnel,40 000 $ à 59 999 $,2013,incg1_3 / vd1dhrs,0.201309,20.36323,0.120769,0.28185,125,Percentage of donations,Percentage of total donations,NB,13,*
Catégorie de revenu familial,40 000 $ à 59 999 $,2013,hhincg1_3 / vd1dhrs,0.246047,20.67352,0.146108,0.345986,114,Percentage of donations,Percentage of total donations,NB,13,*
Catégorie de revenu personnel,60 000 $ à 79 999 $,2013,incg1_4 / vd1dhrs,0.09373,28.49363,0.041258,0.146203,80,Percentage of donations,Percentage of total donations,NB,13,*
Catégorie de revenu familial,60 000 $ à 79 999 $,2013,hhincg1_4 / vd1dhrs,0.130904,28.15484,0.058492,0.203316,85,Percentage of donations,Percentage of total donations,NB,13,*
Catégorie de revenu personnel,80 000 $ à 99 999 $,2013,incg1_5 / vd1dhrs,0.034603,30.62332,0.013783,0.055422,28,Percentage of donations,Percentage of total donations,NB,13,...
Catégorie de revenu familial,80 000 $ à 99 999 $,2013,hhincg1_5 / vd1dhrs,0.136342,26.02135,0.066637,0.206047,75,Percentage of donations,Percentage of total donations,NB,13,*
Groupe d'âge,15 à 24 ans,2013,agegr10_1 / vd1dhrs,0.115492,22.83829,0.06367,0.167315,41,Percentage of donations,Percentage of total donations,NB,13,*
Groupe d'âge,25 à 34 ans,2013,agegr10_2 / vd1dhrs,0.074726,29.26892,0.031754,0.117697,59,Percentage of donations,Percentage of total donations,NB,13,*
Groupe d'âge,35 à 44 ans,2013,agegr10_3 / vd1dhrs,0.1167,22.83004,0.064354,0.169046,84,Percentage of donations,Percentage of total donations,NB,13,*
Groupe d'âge,45 à 54 ans,2013,agegr10_4 / vd1dhrs,0.161077,21.55085,0.092874,0.229279,99,Percentage of donations,Percentage of total donations,NB,13,*
Groupe d'âge,55 à 64 ans,2013,agegr10_5 / vd1dhrs,0.281863,22.43464,0.157623,0.406102,115,Percentage of donations,Percentage of total donations,NB,13,*
Groupe d'âge,65 à 74 ans,2013,agegr10_6 / vd1dhrs,0.153612,20.59047,0.091469,0.215756,100,Percentage of donations,Percentage of total donations,NB,13,*
Groupe d'âge,75 ans et plus,2013,agegr10_7 / vd1dhrs,0.09653,32.32921,0.035216,0.157844,51,Percentage of donations,Percentage of total donations,NB,13,*
Fréquence de la fréquentation religieuse,Au moins 3 fois par mois,2013,ree_02_3 / vd1dhrs,0.113549,25.8683,0.055839,0.171259,72,Percentage of donations,Percentage of total donations,NB,13,*
Fréquence de la fréquentation religieuse,Au moins 1 fois par mois,2013,ree_02_2 / vd1dhrs,0.096861,30.11031,0.039559,0.154163,69,Percentage of donations,Percentage of total donations,NB,13,*
Fréquence de la fréquentation religieuse,Au moins 1 fois par semaine,2013,ree_02_1 / vd1dhrs,0.397857,13.66323,0.291054,0.504659,168,Percentage of donations,Percentage of total donations,NB,13,
Situation d'activité,Employé.e,2013,dlfs_1 / vd1dhrs,0.569195,10.04252,0.456888,0.681502,300,Percentage of donations,Percentage of total donations,NB,13,
Genre,Femmes,2013,sex_2 / vd1dhrs,0.424527,11.70893,0.326865,0.52219,333,Percentage of donations,Percentage of total donations,NB,13,
Éducation,Diplôme d'études secondaires,2013,dh1ged_2 / vd1dhrs,0.25339,16.99491,0.168782,0.337998,127,Percentage of donations,Percentage of total donations,NB,13,*
Catégorie de revenu personnel,Moins de 20 000 $,2013,incg1_1 / vd1dhrs,0.384979,15.58033,0.267133,0.502826,125,Percentage of donations,Percentage of total donations,NB,13,
Catégorie de revenu familial,Moins de 20 000 $,2013,hhincg1_1 / vd1dhrs,0.077888,31.77353,0.029266,0.126511,40,Percentage of donations,Percentage of total donations,NB,13,*
Éducation,Sans diplôme d'études secondaires,2013,dh1ged_1 / vd1dhrs,0.134063,24.9351,0.068385,0.199742,52,Percentage of donations,Percentage of total donations,NB,13,*
Genre,Hommes,2013,sex_1 / vd1dhrs,0.575473,8.637707,0.47781,0.673135,216,Percentage of donations,Percentage of total donations,NB,13,
État civil,Marié.e/union de fait,2013,marstat2_1 / vd1dhrs,0.681063,6.700766,0.5914,0.770726,335,Percentage of donations,Percentage of total donations,NB,13,
Statut d'immigration,Né.e au Canada,2013,dcit2_1 / vd1dhrs,0.897809,5.687659,0.797481,0.998137,487,Percentage of donations,Percentage of total donations,NB,13,
